id,scene,question,answer,evidence,qa_type
1,15、EXT. BELLA'S HOUSE/INT. BELLA'S TRUCK (CONTINUOUS) - NIGHT,How does Edward kiss Bella during their final moment?,"He kisses her gently at first, then urgently with a painful edge as if it's a goodbye.","He begins carefully, gently... but it changes, he becomes urgent, with an almost painful edge, as if it were goodbye.",detailed description
2,27、INT. BELLA'S BEDROOM - ANOTHER DAY,"In [27、INT. BELLA'S BEDROOM - ANOTHER DAY], What is Bella's emotional state in the living room scene?","Bella is emotionally numb and in pain, feeling a void after loss.","Bella sits on the couch, blank, as the rain pounds. Charlie watches her, concerned. Bella (V.O.) mentions a huge hole punched through her chest.",character states
3,21、EXT. WOODS - DAY,"In [21、EXT. WOODS - DAY], What is Edward's emotional state during his farewell to Bella?",Agonized and resolute,"Here, for the first time, we SEE how truly agonizing this really is for Edward.",character states
4,21、EXT. WOODS - DAY,"In [21、EXT. WOODS - DAY], What is Bella's emotional state when Edward rejects her?",Desperate and heartbroken,"Desperation wells up in her, overwhelming dignity. Tears sting Bella's eyes.",character states
5,11、INT. CULLEN HOUSE - CARLISLE'S ROOM - NIGHT,Why is Bella concerned about Edward's safety?,Victoria would come after him for killing her mate.,Bella mentions Victoria's threat based on Edward's past action.,causal/relational queries
6,23、EXT. BELLA'S HOUSE - NIGHT,"In [23、EXT. BELLA'S HOUSE - NIGHT], What is Charlie's emotional state when he pores over the map?",Beside himself with worry,"Charlie, beside himself with worry, pores over a map with BILLY BLACK",character states
7,7、INT. FORKS HIGH SCHOOL - ENGLISH CLASS - DAY,What occurs in the flashback scene involving James and Bella?,James grabs Bella's arm and bites her,"FLASHPOP TO 'Twilight' - In the ballet studio, JAMES grabs Bella's arm and BITES --",detailed description
8,1、EXT. FOREST - ECU ON THE TULIP - DAY,How is Bella searching the woods?,"Desperately with short, surreal cuts","Bella Swan, desperately searching the woods -- SHORT, SURREAL CUTS of her frenetic quest",detailed description
9,48、INT. BELLA'S HOUSE - LIVING ROOM - ANOTHER DAY,Why did Bella call Jake?,To check on him and apologize for her feelings.,"Bella (O.S.) Hey Jake. Just checking to see how you're doing. And to say I'm sorry, about, you know... how I feel",causal/relational queries
10,74、EXT. BELLA'S HOUSE - NIGHT,What does Jacob tell Bella to reassure her?,"Don't worry, we've got this place covered. She won't get near you or Charlie.","JACOB: Don't worry, we've got this place covered. She won't get near you or Charlie.",dialogue/beliefs
11,60、EXT. JACOB'S HOUSE (CONTINUOUS) - DAY,Why does Jacob blame the Cullens?,They started all this by existing.,They started all this by existing.,causal/relational queries
12,72、INT. MASERATI - SAME,Why did Victoria steal cars?,To throw James off the scent.,James hated cars... to throw him off the scent,causal/relational queries
13,29、INT. TANYA'S ALASKAN HOME (CONTINOUS) - DAY,"In [29、INT. TANYA'S ALASKAN HOME (CONTINOUS) - DAY], What is Esme's emotional state?",Desolate,Esme desolate; Emmett blank.,character states
14,29、INT. TANYA'S ALASKAN HOME (CONTINOUS) - DAY,"In [29、INT. TANYA'S ALASKAN HOME (CONTINOUS) - DAY], What is Jasper's emotional state?",Self-contempt,JASPER (with self-contempt),character states
15,32、EXT. BELLA'S HOUSE - DAY,"In [32、EXT. BELLA'S HOUSE - DAY], What is Bella's behavioral state when Bob greets her?",Distracted and unresponsive,"Bella, in her own world, doesn't respond.",character states
16,7、INT. FORKS HIGH SCHOOL - ENGLISH CLASS - DAY,"In [7、INT. FORKS HIGH SCHOOL - ENGLISH CLASS - DAY], What does Edward do to Bella's arm during their conversation?","turns her wrist over, runs his hand over the horseshoe-shaped scar","He turns her wrist over, runs his hand over the horseshoe shaped SCAR on her forearm.",detailed description
17,6、INT. FORKS HIGH SCHOOL - CORRIDOR - DAY,What action does Alice take before leaving?,Hugs Bella again and races off before she can change her mind,Alice hugs her again and races off before she can change her mind,detailed description
18,32、EXT. BELLA'S HOUSE - DAY,"In [32、EXT. BELLA'S HOUSE - DAY], What is Bella's emotional state when Charlie suggests she move to Jacksonville?","Detached, as she looks away",She looks away. That's how it feels to her.,character states
19,30、EXT. SOUTH AMERICA - ANDES (ALICE'S VISION) - DAY,"In [30、EXT. SOUTH AMERICA - ANDES (ALICE'S VISION) - DAY], What is Edward's behavioral state as he runs toward the cliff?",Trying to outrun his memories,"he starts running, like he's trying to outrun his memories",character states
20,30、EXT. SOUTH AMERICA - ANDES (ALICE'S VISION) - DAY,"In [30、EXT. SOUTH AMERICA - ANDES (ALICE'S VISION) - DAY], What is Edward's emotional state when he is standing on the mountaintop?",Agonized,face agonized,character states
21,37、EXT. FOREST - DAY,When does the rustling restart?,After Nate disappears.,"No answer. He turns to find that Nate has vanished. TIM: Think it's gone? No answer. He turns to find that Nate has vanished. TIM'S POV - BEHIND HIM - something gives chase, flattening foliage and bending thin trees in its path.",temporal references
22,2、EXT. MEADOW - DAY,"In [2、EXT. MEADOW - DAY], What reflects a surreal dreamlike version of the forest?",The wallpaper behind the mirror,"The MIRROR, mounted on a wall with wallpaper reflecting a surreal dreamlike version of the forest behind Bella.",objects/props
23,35、EXT. JACOB BLACK'S HOUSE - DAY,"In [35、EXT. JACOB BLACK'S HOUSE - DAY], What is Bella's emotional state when Jacob greets her?",Surprised by his affection but doesn't mind.,"Bella's surprised by his affection, but doesn't mind.",character states
24,13、INT. CULLEN HOUSE - KITCHEN - NIGHT,How long has Carlisle been practicing his work?,Centuries.,Centuries of practice.,temporal references
25,6、INT. FORKS HIGH SCHOOL - CORRIDOR - DAY,What does Bella do when she sees Jasper?,"She tries to hide Alice's present, hoping no one noticed","Over Alice's shoulder, Bella sees JASPER, keeping his distance. He offers her a pleasant nod. She tries to hide Alice's present, hoping no one noticed",detailed description
26,28、EXT. TANYA'S ALASKAN HOME - DAY,"In [28、EXT. TANYA'S ALASKAN HOME - DAY], What is Bella's emotional state according to her voiceover?","Feeling her presence is a burden, implying sadness.",Bella (V.O.)'s line about it being better for them not having her around,character states
27,11、INT. CULLEN HOUSE - CARLISLE'S ROOM - NIGHT,What does Edward believe about Alice's role in protecting him?,Alice will see Victoria coming and she won't win.,Edward states Alice's ability to foresee Victoria's attack.,causal/relational queries
28,43、INT. BELLA'S BEDROOM - NIGHT,What does Bella say about Jacob?,He's been keeping me afloat.,"BELLA
He's been keeping me afloat.",dialogue/beliefs
29,19、INT. BELLA'S BEDROOM - DAY,"In [19、INT. BELLA'S BEDROOM - DAY], What action does Edward take with Bella's scrapbook?",Pulls it out and takes a closer look,"He pulls it out, takes a closer look",character states
30,27、INT. BELLA'S BEDROOM - ANOTHER DAY,"In [27、INT. BELLA'S BEDROOM - ANOTHER DAY], How is Bella physically positioned in her bedroom scene?",Bella is curled up in a ball on the floor.,"In the darkness, Bella is curled up in a ball on her floor.",character states
