doc_title,chunk_id,fact,scene_context
107、INT. APC,doc_106_chunk_2,Ripley is separated from the others.,Group discussion: Burke takes Ripley aside.
113、INT. OPERATIONS,doc_112_chunk_3,Hicks approves of Ripley's handling of the situation.,
113、INT. OPERATIONS,doc_112_chunk_3,Ripley agrees to Bishop's plan to continue analysis in medical.,
1、INT. NARCISSUS,doc_0_chunk_3,Ripley is the sole survivor of the Nostromo.,Capsule scene: Ripley identified as sole survivor of the Nostromo.
119、INT. MED LAB ANNEX - OPERATING ROOM,doc_118_chunk_6,Ripley commits to discussing Newt's proposal later.,"Darkened room: Newt proposes to fill in for someone, Ripley agrees to discuss it later."
121、INT. MED LAB ANNEX,doc_120_chunk_5,Ripley exits the room.,the room
130、INT. OPERATIONS,doc_129_chunk_6,Ripley receives the M-41A pulse-rifle from Hicks.,
134、INT. MED LAB - ANNEX,doc_133_chunk_0,Ripley left Newt in the O.R.,Ripley moving through the lab and annex to the O.R.
133、INT. CORRIDOR,doc_132_chunk_0,Ripley refuses to hear Gorman's words.,Corridor outside med lab
135、INT. MED LAB - O.R.,doc_134_chunk_0,Ripley locates Newt asleep under the bed.,darkened chamber
132、INT. OPERATIONS,doc_131_chunk_0,Ripley is receiving instructions from Hicks.,Weapon training session with Hicks
138、INT. OPERATING ROOM - TIGHT ON RIPLEY - MED LAB,doc_137_chunk_5,The wall switch is disabled from outside.,"At the door, attempting to turn on the lights."
140、INT. OPERATING ROOM,doc_139_chunk_4,Ripley triggers the fire control system.,in a room within the complex
142、INT. OPERATING ROOM,doc_141_chunk_1,The creature is separated from Ripley.,
104、INT. APC,doc_103_chunk_1,Ripley is at Gorman's body with Hicks.,at Gorman's body during the pulse check
147、INT. OPERATIONS,doc_146_chunk_1,Ripley receives a flamethrower from Hicks.,"Corridor, aliens approaching (Hudson reports 17 meters)."
147、INT. OPERATIONS,doc_146_chunk_1,Ripley lights her flamethrower.,"Corridor, aliens approaching (Hudson reports 17 meters)."
147、INT. OPERATIONS,doc_146_chunk_6,Ripley has Newt in her arms.,"Room during alien attack, ceiling explodes"
148、INT. MED LAB CORRIDOR,doc_147_chunk_1,Ripley's rifle fails to fire when she squeezes the trigger.,"Corridor, alien advancing"
138、INT. OPERATING ROOM - TIGHT ON RIPLEY - MED LAB,doc_137_chunk_4,The creature is trapped under the cot.,"Room with cot, Ripley traps creature under cot"
148、INT. MED LAB CORRIDOR,doc_147_chunk_0,Ripley hears the door lock.,med lab door
155、INT. AIR DUCT,doc_154_chunk_1,Ripley is trapped.,in the duct
155、INT. AIR DUCT,doc_154_chunk_2,The glistening apparitions are closing in on Ripley.,
159、INT. SERVICE TUNNEL,doc_158_chunk_0,Ripley sees Newt's tearstreaked face.,At a grating in a lighted area.
161、INT. SERVICE TUNNEL,doc_160_chunk_2,Ripley was shielded by Hicks during the acid incident.,Tunnel during the acid incident
142、INT. OPERATING ROOM,doc_141_chunk_6,The creature's tail is removed from Ripley's throat.,Room during creature attack
142、INT. OPERATING ROOM,doc_141_chunk_5,The beast is forced away from Ripley's face.,Room during beast attack
