doc_title,chunk_id,description,scene_context
107、EXT. L'AQUILA- MORNING,doc_106_chunk_1,Her limpid brown eyes twinkle.,
120、EXT. CORSO FREDERICO- NIGHT,doc_119_chunk_0,CLARA slips her arm through his.,"Pedestrian shopping street, walking with Jack"
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_2,At CLARA's insistence,
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_3,CLARA does the same on the lips.,
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_3,Behind the mischief in hereyes is something doubtful.,
"112、EXT. L'AQUILA, CORSO FREDERICO II - DAY",doc_111_chunk_2,CLARA moves her chair to sit closer to JACK.,
"112、EXT. L'AQUILA, CORSO FREDERICO II - DAY",doc_111_chunk_2,"Under the table, her knee presses against his.",
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_5,kisses him.,
"112、EXT. L'AQUILA, CORSO FREDERICO II - DAY",doc_111_chunk_5,She beams happily at JACK,"In a cafe, during a conversation about America"
"112、EXT. L'AQUILA, CORSO FREDERICO II - DAY",doc_111_chunk_5,CLARA insists on paying,"In a cafe, after the waiter brings coffee"
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_6,"CLARA orders, full of Italian charm, putting JACK at hisease.",
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_2,She looks genuinely delighted.,"Restaurant, arranging meeting at Locanda Grapelli"
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_4,She points at her heart.,
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_4,She looks at him.,
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_4,She fishes about in her handbag... ...and produces a SILVER BOX.,
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_3,catches the glow of his warmth and blossoms.,
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_0,She considers a crowded timetable.,During the drink suggestion conversation with Jack
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_0,CLARA looks at him mischievously.,After asking where to meet
122、INT. CLARA'S APARTMENT- MORNING,doc_121_chunk_0,CLARA comes out of the bathroom.,"In a small room, Jack is searching the bedside cabinet when Clara comes out of the bathroom."
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_2,CLARA hiccups.,During a conversation with Jack
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_2,CLARA looks down at the phone.,"During a conversation with Jack, phone ringing"
131、INT. CAR- DAY,doc_130_chunk_0,CLARA climbs in and fastens her seat-belt.,"In a car, on a picnic trip to the mountains."
131、INT. CAR- DAY,doc_130_chunk_0,She puts the RED PURSE between her legs.,"In a car, on a picnic trip to the mountains."
131、INT. CAR- DAY,doc_130_chunk_0,She looks at him.,"In a car, on a picnic trip to the mountains."
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_5,She refuses firmly.,Gypsy offers rose to Clara
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_5,She looks at him and smiles.,After Jack's comment about the illusion
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_5,Her smile is only a little bit sad.,After Jack's comment about the illusion
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_1,She isn't upset. It's just her way of letting both men know that she's in charge.,"Restaurant, asserting authority while ordering"
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_1,CLARA sighs.,"Restaurant, after the waiter leaves"
119、EXT. LOCANDA GRAPPELLI- NIGHT,doc_118_chunk_1,CLARA smiles back.,"Restaurant, in response to Jack's comment about small towns"
"112、EXT. L'AQUILA, CORSO FREDERICO II - DAY",doc_111_chunk_6,CLARA seems to sense this.,
"112、EXT. L'AQUILA, CORSO FREDERICO II - DAY",doc_111_chunk_6,She smiles to herself.,
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_1,She feigns complete perplexity.,Conversation about usual meeting place
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_1,The twinkle in her eye. She's testing him.,Conversation about usual meeting place
"113、EXT. CORSO FREDERICO II, L'AQUILA- DAY",doc_112_chunk_1,But CLARA doesn't care.,After Jack suggests Locanda Grapelli
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_1,"She eats, savoring the ice cream.",Eating ice cream
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_1,She scoops a spoonful dripping with nuts and chocolate sauce and holds it out to JACK.,Eating ice cream
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_1,sensing his teasing,Eating ice cream
135、INT. CAR- CONTINUOUS,doc_134_chunk_13,"She places her arms around his neck and raises her feet from the smooth stones, wrapping her legs around his waist.",
135、INT. CAR- CONTINUOUS,doc_134_chunk_13,She tries to push herself onto him but he resists.,
135、INT. CAR- CONTINUOUS,doc_134_chunk_10,CLARA is standing in the middle.,By the lake
135、INT. CAR- CONTINUOUS,doc_134_chunk_10,"she takes his hand under the water, holding it out in front of them.",By the lake
135、INT. CAR- CONTINUOUS,doc_134_chunk_2,She pouts her reply.,"In the car, the track disappears into a wood."
135、INT. CAR- CONTINUOUS,doc_134_chunk_12,"She kisses him, pressing herself against him, her skin and body as pure and warm as the water.",
135、INT. CAR- CONTINUOUS,doc_134_chunk_5,"CLARA gets out of the car, dumbstruck.","Hidden valley, by the lake, after arriving in the car"
135、INT. CAR- CONTINUOUS,doc_134_chunk_5,CLARA turns towards him,"Hidden valley, by the lake, after Jack checks the ruined hamlet"
135、INT. CAR- CONTINUOUS,doc_134_chunk_8,"She doesn't wait for his reply, but turns and runs through the grass towards the water.",
156、EXT. POV FROM TELESCOPIC SIGHTS- DAY,doc_155_chunk_0,She kisses him. It is a long and loving kiss.,JACK and CLARA meet
137、EXT. WOODS- DAY,doc_136_chunk_3,shivers with disgust,"Via Lampedusa, after viewing photographs"
158、EXT. TOWN SQUARE- DAY,doc_157_chunk_1,She swears in Italian. Obscenities. Then throws herself around JACK and squeezes him with all her strength. There are tears in her eyes.,
137、EXT. WOODS- DAY,doc_136_chunk_4,looks unhappy,Conversation with Jack about gun in purse
135、INT. CAR- CONTINUOUS,doc_134_chunk_3,CLARA lets go of the seat.,"Inside a car, after Jack stops the car and turns off the engine, surrounded by trees."
135、INT. CAR- CONTINUOUS,doc_134_chunk_3,She grips the seat again.,"Inside a car, surrounded by trees, after Jack's dialogue about rolling forward without the motor."
136、EXT. LAKESIDE- DAY,doc_135_chunk_1,CLARA reaches for the RED PURSE.,"Picnic setting, tense moment"
136、EXT. LAKESIDE- DAY,doc_135_chunk_1,CLARA hesitates for a moment.,"Picnic setting, tense moment"
136、EXT. LAKESIDE- DAY,doc_135_chunk_1,She reaches into her purse.,"Picnic setting, tense moment"
136、EXT. LAKESIDE- DAY,doc_135_chunk_1,When CLARA withdraws her right hand she is holding a tube of SUNTAN LOTION.,"Picnic setting, tense moment"
136、EXT. LAKESIDE- DAY,doc_135_chunk_2,"she commences smoothing it into her skin, rubbing it around her breasts, pushing them aside, pressing them upwards",Clara applying suntan lotion to her body
136、EXT. LAKESIDE- DAY,doc_135_chunk_2,"she caresses the lotion into her belly and down her thighs, bending at the waist as she works it into her shins",Clara applying suntan lotion to her body
136、EXT. LAKESIDE- DAY,doc_135_chunk_2,She proffers him the SUNTAN LOTION.,Clara applying suntan lotion to her body
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_0,CLARA grins at her sundae like a little girl.,"Outside coffee bar section, seated with young people"
137、EXT. WOODS- DAY,doc_136_chunk_7,She's upset but decides not to press her demand.,
137、EXT. WOODS- DAY,doc_136_chunk_7,kisses him,
136、EXT. LAKESIDE- DAY,doc_135_chunk_3,"Suddenly, sits up.","Picnic area, Jack frozen, Clara sits up"
"159、EXT. CASTEL DEL MONTE, TOWN SQUARE- DAY",doc_158_chunk_0,She looks at him.,"Festival setting, Jack instructing Clara to go to her apartment"
"159、EXT. CASTEL DEL MONTE, TOWN SQUARE- DAY",doc_158_chunk_0,"She wants to, but she doesn't.","Festival setting, Jack instructing Clara to go to her apartment"
"83、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_82_chunk_2,she initially resists,
"83、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_82_chunk_2,"CLARA comes, not wanting to.",
"159、EXT. CASTEL DEL MONTE, TOWN SQUARE- DAY",doc_158_chunk_1,She looks worried.,
"159、EXT. CASTEL DEL MONTE, TOWN SQUARE- DAY",doc_158_chunk_1,perplexed,
158、EXT. TOWN SQUARE- DAY,doc_157_chunk_0,JACK and CLARA have to shout at one another above the noise of the band.,"In a crowd with a band, during a conversation with Jack."
158、EXT. TOWN SQUARE- DAY,doc_157_chunk_0,Their happiness clouds over. But the clouds pass quickly.,"In a crowd with a band, during a conversation with Jack."
66、INT. BAR- DAY,doc_65_chunk_0,"She is drinking and laughing with friends, young Italians like her.",Inside neon-lit bar
66、INT. BAR- DAY,doc_65_chunk_0,She catches sight of JACK.,Inside neon-lit bar
"83、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_82_chunk_0,CLARA turns away: just enough to let him know this is against the rules.,"Naked scene, Jack attempts to kiss Clara and moves to her lower body."
"83、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_82_chunk_0,"her fingers (already ensnared in his hair) tighten their grip, stopping him from going further.","Naked scene, Jack attempts to kiss Clara and moves to her lower body."
135、INT. CAR- CONTINUOUS,doc_134_chunk_0,is startled by such an insignificant track.,
135、INT. CAR- CONTINUOUS,doc_134_chunk_0,Now she's anxious.,
135、INT. CAR- CONTINUOUS,doc_134_chunk_0,This is not what she expected.,
"84、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_83_chunk_0,She looks at him.,"In bed, during discussion of Morboso"
"84、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_83_chunk_0,her eyes searching his.,"In bed, during discussion of Morboso"
"83、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_82_chunk_1,"she looks back at him, her expression fixed yet curious",
"83、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_82_chunk_1,"she is moving against his tongue, using her sex like a mouth to kiss him in return",
"84、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_83_chunk_1,"CLARA watches him, confused but fascinated.",During a conversation with Jack
"84、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_83_chunk_1,She lights herself a cigarette.,During a conversation with Jack
"84、INT. BROTHEL, VIA LAMPEDUSA- NIGHT",doc_83_chunk_1,She counts it.,During a conversation with Jack
135、INT. CAR- CONTINUOUS,doc_134_chunk_7,"She kicks off her shoes, which curve through the air... and unzips her skirt.","Lakeside under walnut trees, preparing to swim"
135、INT. CAR- CONTINUOUS,doc_134_chunk_7,She bends and steps daintily from her knickers.,"Lakeside under walnut trees, preparing to swim"
135、INT. CAR- CONTINUOUS,doc_134_chunk_7,Then turns to face JACK.,"Lakeside under walnut trees, preparing to swim"
135、INT. CAR- CONTINUOUS,doc_134_chunk_7,She is coquettish- and tosses her auburn hair to one side.,"Lakeside under walnut trees, preparing to swim"
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_3,She turns the phone to silent.,
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_3,And looks up at JACK.,
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_3,CLARA takes a deep breath.,
121、EXT. COFFEE BAR- NIGHT,doc_120_chunk_3,She points at her head.,
"33、EXT. L'AQUILA, VIA LAMPEDUSA- EVENING",doc_32_chunk_0,Entering the apartment block,"Apartment block, Jack passes a sign for a modelling agency"
"33、EXT. L'AQUILA, VIA LAMPEDUSA- EVENING",doc_32_chunk_0,She catches JACK's eye.,"Apartment block, Jack passes a sign for a modelling agency"
130、EXT. CASTEL DEL MONTE- DAY,doc_129_chunk_0,"waiting on the Via Strinella near the entrance to the Parco della Resistanza, sheltering in the shade of a tree",On Via Strinella near Parco della Resistanza entrance
