doc_title,chunk_id,text,scene_context
16、INT. CABIN,doc_15_chunk_16,"Pretty darn good, ya want some?",Cafeteria table: Marge responds to Gary's question about the fricasse.
16、INT. CABIN,doc_15_chunk_16,Whatcha got there?,Cafeteria table: Marge asks Gary about the flimsy he hands her.
11、INT. PROWLER,doc_10_chunk_0,You look in his citation book?,"In a car, Marge and Lou discuss a citation book and a vehicle."
11、INT. PROWLER,doc_10_chunk_0,Uh-huh.,"In a car, Marge and Lou discuss a citation book and a vehicle."
18、INT. CAR,doc_17_chunk_3,They bitin'?,"Mille Lacs Lake, late evening, stormy, near a hut on the frozen lake"
12、EXT. CABIN,doc_11_chunk_6,"Geez, that's a good lead. The Blue Ox, that's that trucker's joint out there on I-35?",Lou reports on Blue Ox motel registration; Marge asks about location
12、EXT. CABIN,doc_11_chunk_6,"Oh, yah?",Lou states two men had company; Marge responds with agreement
16、INT. CABIN,doc_15_chunk_21,How ya doin'?,"Downtown Radisson Hotel reception desk, Marge speaking with clerk about reservation"
16、INT. CABIN,doc_15_chunk_21,"Real good. I'm Mrs. Gunderson, I have a reservation.","Downtown Radisson Hotel reception desk, Marge speaking with clerk about reservation"
16、INT. CABIN,doc_15_chunk_21,"Is there a phone down here, ya think?","Downtown Radisson Hotel reception desk, Marge speaking with clerk about reservation"
18、INT. CAR,doc_17_chunk_2,Norm?,"Radisson hotel room, on the phone"
16、INT. CABIN,doc_15_chunk_39,"No, I - Mike - wyncha sit overthere, I'd prefer that.","In a booth, Marge and Mike discuss seating arrangement."
16、INT. CABIN,doc_15_chunk_39,"No, just so I can see ya, ya know. Don't have to turn my neck.","In a booth, Marge and Mike discuss seating arrangement."
16、INT. CABIN,doc_15_chunk_39,"No, no, that's fine.","In a booth, Marge and Mike discuss seating arrangement."
16、INT. CABIN,doc_15_chunk_17,Mm.,"With Gary, discussing two calls to Minneapolis from the Blue Ox."
19、INT. HUT,doc_18_chunk_0,"Oh, pretty good. They bitin'?","Interior: soft orange light, electric heater; with Norm discussing hotel, fishing, and health"
19、INT. HUT,doc_18_chunk_0,"Oh, fine.","Interior: soft orange light, electric heater; with Norm discussing hotel, fishing, and health"
19、INT. HUT,doc_18_chunk_0,"No, no.","Interior: soft orange light, electric heater; with Norm discussing hotel, fishing, and health"
16、INT. CABIN,doc_15_chunk_41,It sounds like you're doin' really super.,"With Mike, discussing his work"
11、INT. PROWLER,doc_10_chunk_1,"I'm not sure I agree with you a hunnert percent on your policework, there, Lou.","With Lou, discussing vehicle plates and a joke about personalized plates."
11、INT. PROWLER,doc_10_chunk_1,"Yah, I think that vehicle there probly had dealer plates. DLR?","With Lou, discussing vehicle plates and a joke about personalized plates."
11、INT. PROWLER,doc_10_chunk_1,"Yah. Say, Lou, ya hear the one about the guy who couldn't afford personalized plates, so he went and changed his name to J2L 4685?","With Lou, discussing vehicle plates and a joke about personalized plates."
11、INT. PROWLER,doc_10_chunk_1,Yah.,"With Lou, discussing vehicle plates and a joke about personalized plates."
14、INT. STRIPPER CLUB,doc_13_chunk_0,Where you girls from?,Deserted club: talking to two young women (Hooker One and Hooker Two) about hometowns.
