doc_title,chunk_id,description,scene_context
169 门口 外 夜,doc_168_chunk_0,小四在墙头上蹲着不说话。,
157冰店 内 夜,doc_156_chunk_1,小四仍旧自顾自的坐在原位上。,
116台球室 内 夜,doc_115_chunk_0,小四拿着手电筒走进台球室,
116台球室 内 夜,doc_115_chunk_0,小四走到里面,
116台球室 内 夜,doc_115_chunk_0,小四震惊的看着血泊里的人,
159 家里 内 夜,doc_158_chunk_0,小四躲在自己的柜子里打开手电筒看着日本女人的照片发呆。,
159 家里 内 夜,doc_158_chunk_0,小四在图书馆的桌子前发着呆，随后无奈的埋头爬在桌上。,
159 家里 内 夜,doc_158_chunk_0,小四在家里看着大姐的首饰盒犹豫着。,
148小马家 内 日,doc_147_chunk_0,小四带着小明在小马家做客,小马家，做客
131教学楼下 外 夜,doc_130_chunk_0,小四在楼下吹口哨,下课后，楼下
131教学楼下 外 夜,doc_130_chunk_0,小四靠在一棵树下等着小明,树下，等待小明
14 篮球场 内 日,doc_13_chunk_0,小四起身走出去。,学校礼堂，广播叫号时
157冰店 内 夜,doc_156_chunk_0,小四在冰店向老板娘询问滑头的去向。,冰店，小四询问滑头去向
157冰店 内 夜,doc_156_chunk_2,小四起身刚想走,冰店
157冰店 内 夜,doc_156_chunk_2,小四突然一巴掌打向滑头,冰店
157冰店 内 夜,doc_156_chunk_2,小四头也不回的走出冰店,冰店
147草坪上 外 日,doc_146_chunk_0,小明和小四坐在树下聊天。,树下聊天
145办公室 内 日,doc_144_chunk_0,小四站在黑板面前，在他的旁边是学校没收的棒球棍。,办公室
145办公室 内 日,doc_144_chunk_0,站在一旁的小四仇视着前方拿起棒球棍。,办公室
176 小猫家 内 日,doc_175_chunk_0,小四走到小猫的房间拿出柜子后的刀。,
11 教室 内 夜,doc_10_chunk_0,小四揉着眼睛从教室里走出来。,楼道
11 教室 内 夜,doc_10_chunk_0,小四走进另一间教室打开灯,另一间教室
151小四家 内 日,doc_150_chunk_0,小四在家里桌上认真的写着作业。,家里
151小四家 内 日,doc_150_chunk_0,小四在一侧的房间里面认真看着书。,图书馆
112路边 外 夜,doc_111_chunk_0,小四在看自己的刀。,路边，雨天
112路边 外 夜,doc_111_chunk_0,小四站在一边看着他们,路边，雨天
158 小马家 外 夜,doc_157_chunk_0,小四跟着小明妈妈走了进去,
158 小马家 外 夜,doc_157_chunk_0,小四离开,
164 电影院门口 外 夜,doc_163_chunk_0,小四站在小翠对面,教会图书馆
164 电影院门口 外 夜,doc_163_chunk_0,小四拿出一把钱给端着木盒的小女孩,教会图书馆
164 电影院门口 外 夜,doc_163_chunk_0,小四走到小翠身边将电影票给小翠,教会图书馆
167 操场 外 夜,doc_166_chunk_0,小四追过去,操场
167 操场 外 夜,doc_166_chunk_0,小四站在门前打不开门,操场
171 小马家 外 日,doc_170_chunk_0,小四走到小马面前。,房间外
171 小马家 外 日,doc_170_chunk_0,小四离开。,房间外
177 路边 外 夜,doc_176_chunk_0,小四低着头站在路边,
177 路边 外 夜,doc_176_chunk_0,小四将衣服拉下来盖住刀,
