id,scene,question,answer,evidence,qa_type
1,11 教室 内 夜,"在[11 教室 内 夜]中, 白衣男孩被押到滑头跟前时的状态是什么？",求饶并被殴打,白衣男孩：对不起啦，对不起啦。不要打我啦。滑头拿过砖头......,character states
2,8 学校 外 夜,"在[8 学校 外 夜]中, 三角裤的画外音表现出什么特点？",爱开玩笑且喜欢挑衅,三角裤画外音：带回家送给你老母。,character states
3,30 靶场 外 日,217的人为什么跑开？,小四踢了光头，导致他们害怕,小四冲上前，几个人害怕的往后退。217的人跑开,causal/relational queries
4,76舞台侧 内 夜,二条对小猫的提议有何反应？,草，你唱猫王？我还唱康尼·弗朗西斯呢，也不照照镜子。,二条：草，你唱猫王？我还唱康尼·弗朗西斯呢，也不照照镜子。,dialogue/beliefs
5,17 教室 外 日,"在[17 教室 外 日]中, 滑头在主任来时表现出什么状态？",装作没事发生,滑头立马装作没事发生的样子,character states
6,24 走廊 内 日,"在[24 走廊 内 日]中, 老师的情绪状态如何？",无精打采,老师拿着书本无精打采的走过他们身边,character states
7,11 教室 内 夜,"在[11 教室 内 夜]中, 滑头在与二条对话时的情绪如何？",不耐烦,滑头不耐烦的靠在墙上。,character states
8,10 教学楼 内 夜,男孩说了什么？,不要跑！往哪里跑！,男孩: 不要跑！往哪里跑！,dialogue/beliefs
9,68路上 外 夜,哈尼如何回应山东的对话？,这一巴掌是没申请就办演唱会的押金。,哈尼：这一巴掌是没申请就办演唱会的押金。,dialogue/beliefs
10,65 剧场 内 夜,少年组组长对课外活动的态度是什么？,支持但要求不要玩过头。,少年组组长画外音: 你们从事这个课外活动呢，我们这边，当然是赞成啦。可是玩，别玩的太过分。,dialogue/beliefs
11,32 台球室 内 日,灯亮后，光头如何处理蜡烛？,尴尬地吹灭蜡烛,光头刚点燃蜡烛，灯就亮了。光头只得尴尬的把蜡烛吹灭挠着头走开了。,detailed description
12,67剧场侧门  外 夜,小马对小弟说什么？,进去一下就出来，会死啊。,小马:进去一下就出来，会死啊。,dialogue/beliefs
