doc_title,chunk_id,fact,scene_context
大话西游(11),doc_10_chunk_4,至尊宝坠崖,悬崖边
大话西游(12),doc_11_chunk_6,至尊宝叫紫霞姑娘的名字七百八十五次。,盘丝洞新房布置后
大话西游(3),doc_2_chunk_1,至尊宝安然无恙地走出来。,春三十娘房间外
大话西游(13),doc_12_chunk_1,至尊宝被推进洞来。,洞中，春三十娘闯入时
大话西游(13),doc_12_chunk_7,至尊宝戴上了金箍,
大话西游(3),doc_2_chunk_5,至尊宝的梦结束,
大话西游(2),doc_1_chunk_0,至尊宝是斧头帮的帮主。,五岳山，春三十娘驾临，斧头帮帮众前来求助。
大话西游(11),doc_10_chunk_3,至尊宝被铁扇公主踹倒。,铁扇公主踹倒至尊宝
大话西游(2),doc_1_chunk_2,至尊宝被春三十娘打败。,至尊宝试图杀春三十娘但失败。
大话西游(2),doc_1_chunk_2,至尊宝向春三十娘求饶。,春三十娘称赞至尊宝有骨气后。
大话西游(2),doc_1_chunk_5,至尊宝掉进了粪坑。,倒立用双手走路时掉进粪坑
大话西游(2),doc_1_chunk_4,至尊宝被要求不分昼夜查看所有经过这里的人的脚底板。,
大话西游(2),doc_1_chunk_4,至尊宝被要求如果发现脚底板有三颗痣，立刻通知春三十娘。,
大话西游(14),doc_13_chunk_5,至尊宝救了唐僧,
大话西游(14),doc_13_chunk_5,至尊宝阻止了紫霞的自刎,
大话西游(12),doc_11_chunk_7,至尊宝正在做梦,紫霞与青霞对话中，至尊宝在做梦
大话西游(6),doc_5_chunk_7,至尊宝被少女击昏,
大话西游(6),doc_5_chunk_4,至尊宝被少女击昏。,少女打至尊宝时
大话西游(6),doc_5_chunk_4,至尊宝被少女叫醒。,第二天早晨
大话西游(6),doc_5_chunk_1,脚心多了三颗痣,少女盖章后，至尊宝脱鞋检查脚心
大话西游(6),doc_5_chunk_1,照妖镜中显出猴子的模样,至尊宝使用照妖镜查看
大话西游(6),doc_5_chunk_1,醒来时已身在洞中,被洞门砸昏后醒来
大话西游(9),doc_8_chunk_1,至尊宝拔出了紫青宝剑。,
大话西游(7),doc_6_chunk_1,至尊宝到达了市集,市集
大话西游(6),doc_5_chunk_5,至尊宝的手被绑在一起,夜晚，手绑在一起
大话西游(7),doc_6_chunk_0,至尊宝承诺要杀了少女。,
大话西游(7),doc_6_chunk_0,至尊宝承诺要带少女走。,
大话西游(7),doc_6_chunk_0,少女将紫青宝剑交给至尊宝。,
大话西游(9),doc_8_chunk_0,至尊宝被确认为牛魔王的妹夫。,牛魔王介绍妹妹香香和妹夫至尊宝的场景
大话西游(9),doc_8_chunk_2,至尊宝在后院找到了紫霞。,后院
大话西游(8),doc_7_chunk_4,至尊宝被砸昏。,
大话西游(8),doc_7_chunk_4,至尊宝醒来时四周空无一人。,
大话西游(7),doc_6_chunk_5,至尊宝一觉醒来。,夜色降临后
大话西游(9),doc_8_chunk_5,至尊宝被指定在二更时分在指定地点等待铁扇公主。,
大话西游(9),doc_8_chunk_5,至尊宝被指定在二更时分在指定地点与紫霞见面。,
大话西游(10),doc_9_chunk_5,至尊宝被打昏,路中央，香香出现后打昏至尊宝
大话西游(3),doc_2_chunk_2,至尊宝是孙悟空的转世。,五岳山，旁白揭示身份。
大话西游(4),doc_3_chunk_1,菩提老祖在帮助至尊宝捉妖。,捉妖现场
大话西游(4),doc_3_chunk_1,蜘蛛精和白骨精在保护至尊宝。,捉妖现场
大话西游(6),doc_5_chunk_0,至尊宝回到洞中时，洞中空无一人。,
大话西游(6),doc_5_chunk_0,至尊宝无法借助月光穿梭时空。,
大话西游(11),doc_10_chunk_0,至尊宝处于昏倒状态,
大话西游(10),doc_9_chunk_2,至尊宝发现紫霞身受重伤,寻找紫霞途中
大话西游(4),doc_3_chunk_0,至尊宝获得了照妖镜。,房间内，至尊宝刚回到房间后
大话西游(4),doc_3_chunk_4,至尊宝被春三十娘软禁。,
大话西游(4),doc_3_chunk_4,至尊宝被神秘力量引到水帘洞。,
大话西游(5),doc_4_chunk_2,至尊宝消失,洞中
大话西游(5),doc_4_chunk_2,至尊宝回到洞中,洞中
大话西游(4),doc_3_chunk_5,五百年前，唐三藏为了赎至尊宝一命，牺牲了他自己。,
大话西游(4),doc_3_chunk_5,玉皇大帝特意安排至尊宝五百年后重投人间。,
大话西游(4),doc_3_chunk_5,至尊宝还没有变成真正的孙悟空托世。,
大话西游(4),doc_3_chunk_5,至尊宝还没有遇上那个给他三颗痣的人。,
大话西游(10),doc_9_chunk_6,至尊宝得知青霞决定嫁给他。,
