doc_title,chunk_id,description,scene_context
137、INT. FIDDLER'S GREEN ATRIUM - NIGHT,doc_136_chunk_5,Cholo shoots.,
137、INT. FIDDLER'S GREEN ATRIUM - NIGHT,doc_136_chunk_6,Cholo (Calmly reloading),
102、INT. DEAD RECKONING - NIGHT,doc_101_chunk_0,CHOLO moves to the RED FIRING BUTTON.,
127、INT. SUBWAY TUNNEL - NIGHT,doc_126_chunk_0,CHOLO walks with determination along the deserted tracks under the river.,
104、INT. DEAD RECKONING - NIGHT,doc_103_chunk_0,CHOLO reaches down and pushes the button.,"On the control panel, a clock clicks down to midnight."
14、EXT. TOP OF MAIN STREET - UNIONTOWN - NIGHT,doc_13_chunk_0,CHOLO pulls up alongside on his bike.,"On the edge of town, during a mortar fire."
126、EXT. DEPOT - NIGHT,doc_125_chunk_0,"CHOLO jumps out of the T-BIRD and runs to the steel doors, unlocking them with a mag-key.",
24、INT. UNIONTOWN STATE STORE - NIGHT,doc_23_chunk_5,"Cholo, closest to Mike, pulls his crossbow and fires an arrow through the Zombie's head.",
137、INT. FIDDLER'S GREEN ATRIUM - NIGHT,doc_136_chunk_7,Cholo shoots another narrow.,
137、INT. FIDDLER'S GREEN ATRIUM - NIGHT,doc_136_chunk_7,This one hits Kaufman in the shoulder.,
143、INT. FIDDLER'S GREEN PARKING GARAGE - NIGHT,doc_142_chunk_8,"The Cholo Thing reaches for Kaufman, vengeance in its eyes.","Outside the car at a gas station, after Kaufman is injured and tries to return to the vehicle."
108、INT. DEAD RECKONING - NIGHT,doc_107_chunk_0,CHOLO charges RILEY. Grabs him around the throat.,
108、INT. DEAD RECKONING - NIGHT,doc_107_chunk_0,Cholo reaches out after it.,
11、EXT. DEAD RECKONING - NIGHT,doc_10_chunk_4,Cholo grins.,
11、EXT. DEAD RECKONING - NIGHT,doc_10_chunk_4,"Cholo mounts a MOTORCYCLE, REVS the engine, and heads out.",
24、INT. UNIONTOWN STATE STORE - NIGHT,doc_23_chunk_6,"Cholo tucks away the crossbow, grabs a box of Cohibas off a counter, and runs outside with Foxy.",
22、EXT. MAIN STREET - UNIONTOWN - NIGHT,doc_21_chunk_0,"CHOLO and MIKE, on Cholo's bike, joining up with FOXY, a red-haired guerilla on his own motorcycle. The three drive toward the end of town.",
120、EXT. HILLSIDE HOME DRIVEWAY - NIGHT,doc_119_chunk_1,"Cholo is faster. With no time to reload, in agony, he pulls a FISTFUL OF ARROWS from his quiver and DRIVES THEM THROUGH THE WALKER'S FACE AND SKULL.",
106、INT. DEAD RECKONING - NIGHT,doc_105_chunk_0,CHOLO punches the button again. Again. Nothing happens.,
106、INT. DEAD RECKONING - NIGHT,doc_105_chunk_0,"CHOLO'S eyes fall to the ""Game Boy"" in Riley's hand.",
29、INT. SUBWAY TUNNEL - DAWN,doc_28_chunk_5,Cholo looks up at the TV monitor.,
29、INT. SUBWAY TUNNEL - DAWN,doc_28_chunk_4,Cholo shrugs out of Riley's grasp.,
