doc_title,chunk_id,description,scene_context
树林，日，外,doc_76_chunk_0,欧阳非凡在跳舞,
麦当劳，日，内,doc_93_chunk_0,欧阳非凡递给林真心一本数学课本,
操场，日，外,doc_74_chunk_0,欧阳非凡冲过来护住林真心,操场：水球大战
林真心家，日，内,doc_105_chunk_0,欧阳非凡又唠叨了几句,
公园，夜，外,doc_102_chunk_0,欧阳非凡将林真心的手放在自己的衣兜里。,
树林，日，外几个人围成一圈。,doc_77_chunk_0,欧阳非凡转动瓶子，瓶子对准了徐太宇。,
垃圾场，日，外,doc_18_chunk_0,欧阳非凡走过来倒垃圾，转过身后垃圾桶滚落到他脚下。,
桥上，日，外,doc_96_chunk_0,欧阳非凡和林真心在散步。,
篮球场，日，外,doc_48_chunk_0,欧阳非凡转过身。,篮球场中场休息
篮球场，日，外,doc_48_chunk_0,欧阳非凡没说话，似乎陷入了回忆之中。,篮球场中场休息
空地，夜，外,doc_79_chunk_0,欧阳非凡拿着灯出现在不远处，看到林真心和徐太宇坐在一起，脸上有些失落。,
篮球场，日，外,doc_13_chunk_0,欧阳非凡进球,
篮球场，日，外,doc_13_chunk_0,欧阳非凡看向林真心那个方向,
画面组合,doc_68_chunk_0,欧阳非凡出现，从林真心手里拿过了传单,福利社门口
操场，日，外,doc_73_chunk_4,旁边的欧阳非凡看了她一眼。,五十四周年校庆，水球大战开始前。
垃圾场，日，外,doc_23_chunk_0,揪住徐太宇的衣领,
垃圾场，日，外,doc_23_chunk_0,互相瞪眼,
操场，日，外,doc_73_chunk_2,欧阳非凡突然走下讲台鞠躬,
操场，日，外,doc_73_chunk_2,欧阳非凡打断,
操场，日，外,doc_73_chunk_0,欧阳非凡上台。,校庆模拟考表扬会
山上，夜，外回忆画面。,doc_97_chunk_0,欧阳非凡在一旁看着。,树下，许愿事件
山上，夜，外回忆画面。,doc_97_chunk_0,欧阳非凡和徐太宇聊天。,帐篷前，聊天事件
海滩，日，外回忆内容。,doc_49_chunk_0,岸边的欧阳非凡冲过去抱住了徐太宇。,海滩，阿远呛水沉入后
海滩，日，外回忆内容。,doc_49_chunk_0,欧阳非凡将徐太宇拉回岸上。,海滩，阿远呛水沉入后
福利社，日，外,doc_12_chunk_0,欧阳非凡冲着里面的女生露出微笑,福利社，女生们欢呼
福利社，日，外,doc_12_chunk_0,欧阳非凡走到正在挑选饮料的林真心旁边拿走了一个饮料,福利社，林真心在挑选饮料
福利社，日，外,doc_12_chunk_0,欧阳非凡走到柜台前结账,福利社，女生们围上去
食堂门口，日，外,doc_62_chunk_0,欧阳非凡和陶敏敏坐在一起。,
食堂门口，日，外,doc_62_chunk_0,欧阳非凡愣愣的看着她走进了食堂,食堂
食堂门口，日，外,doc_62_chunk_0,欧阳非凡站起来,食堂
食堂门口，日，外,doc_62_chunk_0,欧阳非凡离开了,食堂
游泳池，日，外,doc_38_chunk_0,男孩儿也出现在楼梯口，是欧阳非凡。,游泳池楼梯口，欧阳非凡出现
篮球场，日，外,doc_17_chunk_0,欧阳非凡谈着吉他,户外，树旁，女生围着
篮球场，日，外,doc_17_chunk_0,欧阳非凡朝林真心这边挥了一下手。,户外，树旁，女生围着
教导主任室门口，日，外,doc_37_chunk_0,欧阳非凡朝这边走过来,校园布告栏附近
教导主任室门口，日，外,doc_37_chunk_0,欧阳非凡走过,校园布告栏附近
教导主任室门口，日，外,doc_37_chunk_0,欧阳非凡突然转过身,校园布告栏附近
教导主任室门口，日，外,doc_37_chunk_0,欧阳非凡靠近林真心,校园布告栏附近
教导主任室门口，日，外,doc_37_chunk_0,欧阳非凡笑了笑,校园布告栏附近
教导主任室门口，日，外,doc_37_chunk_0,欧阳非凡转身走了,校园布告栏附近
