doc_title,chunk_id,fact,scene_context
"29、INT. GREAT HALL, WHITEHALL PALACE - DAY",doc_28_chunk_14,Bess explicitly agrees to allow Raleigh to ask a question.,
19、EXT. WHITEHALL PALACE - DAY,doc_18_chunk_1,Bess Throckmorton is among the maids-of-honour of Queen Elizabeth.,"Palace entrance, Queen Elizabeth's arrival"
167、INT. RALEIGH'S HOUSE - DAY,doc_166_chunk_0,Bess Throckmorton is resting on a bed.,inner room
"105、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_104_chunk_4,Bess is summoned by the Queen's ladies to join them,"Hallway, Queen's ladies hurry by and summon Bess"
167、INT. RALEIGH'S HOUSE - DAY,doc_166_chunk_3,The Queen forgives Bess.,Queen and Bess in a private moment with Raleigh and a baby present.
"23、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_22_chunk_1,The doorkeeper stands aside for Bess.,Entrance to inner rooms: doorkeeper allows Bess to pass
"29、INT. GREAT HALL, WHITEHALL PALACE - DAY",doc_28_chunk_6,Bess is staring at Raleigh.,"At a meal, Elizabeth notices Bess staring at Raleigh."
"37、INT PRESENCE CHAMBER, WHITEHALL PALACE - DAY",doc_36_chunk_1,Bess speaks to Raleigh.,"Chamber, after Elizabeth and the Archduke depart."
"23、INT. ANTECHAMBER, WHITEHALL PALACE - DAY",doc_22_chunk_0,Bess Throckmorton is late.,Crowd of petitioners waiting to see the Queen
"24、INT. GREAT HALL, WHITEHALL PALACE - DAY",doc_23_chunk_2,Bess understands the question posed to her.,"Bess is asked 'Where is he, then?'"
39、EXT. WINDSOR GREAT PARK - DAY,doc_38_chunk_6,Bess is part of the group of mounted courtiers and Queen's ladies.,"Park: The group of mounted courtiers and Queen's ladies, including Bess, is the destination of the approaching riders."
46、INT. QUEEN'S PRIVATE QUARTERS - DAY,doc_45_chunk_2,Bess is informed by Elizabeth that Mr. Raleigh is eager to sail away to his infant colony.,Elizabeth addresses Bess regarding Raleigh's eagerness to sail to his infant colony.
49、INT. QUEEN'S PRIVATE QUARTERS - DAY,doc_48_chunk_0,Bess Throckmorton is assigned to hold the Queen's hair out of the water during the bath.,"Queen's private quarters, bath"
10、INT. ST PAUL'S CATHEDRAL - DAY,doc_9_chunk_0,Bess Throckmorton is back in her place among the ladies.,"Cathedral, royal party entering"
10、INT. ST PAUL'S CATHEDRAL - DAY,doc_9_chunk_1,Bess prays with Elizabeth.,"At the altar, Elizabeth kneels to pray and Bess joins her."
162、INT. BESS THROCKMORTON'S BEDROOM - DAY,doc_161_chunk_0,Bess's face lights up with a radiant smile after hearing the cry of a newborn.,
108、INT. PRIVATE CHAPEL - NIGHT,doc_107_chunk_0,The marriage ceremony between Bess and Raleigh is being held in secret.,Secret wedding ceremony
108、INT. PRIVATE CHAPEL - NIGHT,doc_107_chunk_0,"The only witness to the marriage ceremony is Margaret, who is Bess's maid of honour.",Secret wedding ceremony
"25、INT. HALLWAY, WHITEHALL PALACE - DAY",doc_24_chunk_1,Raleigh singles out Bess with his gaze.,May 1 Blue Draft
"29、INT. GREAT HALL, WHITEHALL PALACE - DAY",doc_28_chunk_8,Bess is instructed by Elizabeth to talk to Raleigh.,At court: Elizabeth instructs Bess to talk to Raleigh.
42、EXT. LONDON ALLEY - NIGHT,doc_41_chunk_0,Bess enters a building.,"London alley, entering a building"
74、INT. BESS'S BEDROOM - NIGHT,doc_73_chunk_0,Bess knows that Walsingham refers to her affair with Raleigh.,Room: Confrontation with Walsingham
74、INT. BESS'S BEDROOM - NIGHT,doc_73_chunk_0,Bess is too terrified to speak.,Room: Confrontation with Walsingham
"75、INT. QUEEN'S PRIVATE QUARTERS, WHITEHALL PALACE - DAY",doc_74_chunk_0,Bess is lifted into the air by the dancing master during the La Volta dance performance.,Dance instruction scene: Queen and courtiers watching Bess perform La Volta.
