doc_title,chunk_id,fact,scene_context
56、INT. PITCH'S LAIR - NIGHT,doc_55_chunk_1,Pitch creates a crude image of the Sandman using nightmare sand.,
102、EXT. STREETS OF BURGESS - NIGHT,doc_101_chunk_0,Pitch commands the Nightmares to attack the Guardians.,Scene where Pitch gives a signal to send a wave of Nightmares toward the Guardians.
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_6,Pitch's Nightmares are transformed back into golden Dreamsand.,ON PITCH: The scene shows Pitch witnessing the transformation of his Nightmares.
80、EXT. ICEBERG - ANTARCTIC CIRCLE - DAY,doc_79_chunk_6,Pitch captures Baby Tooth and holds her in his fist.,"Scene 99: Pitch produces Baby Tooth from his coat and physically restrains her, causing her visible distress."
80、EXT. ICEBERG - ANTARCTIC CIRCLE - DAY,doc_79_chunk_7,Pitch successfully obtains Jack's staff through coercion.,
80、EXT. ICEBERG - ANTARCTIC CIRCLE - DAY,doc_79_chunk_7,Pitch refuses to release Baby Tooth after Jack surrenders the staff.,
21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS,doc_20_chunk_2,Pitch successfully corrupts Dreamsand into Nightmare sand.,
21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS,doc_20_chunk_2,Pitch creates a Nightmare from corrupted sand.,
21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS,doc_20_chunk_2,Pitch sends a Nightmare to deliver a message to others.,
118、EXT. POND - NIGHT,doc_117_chunk_4,Pitch is captured and carried underground by a mass of black sand.,The forest scene where black sand whips latch onto Pitch and pull him beneath the earth.
118、EXT. POND - NIGHT,doc_117_chunk_4,Pitch is sealed underground as the hole in the earth closes above him.,The forest scene where the earth seals shut after Pitch is pulled down.
117、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_116_chunk_4,Pitch realizes he no longer has power over the children.,"Scene 129: After Jamie runs through him, Pitch experiences a moment of realization and devastation."
117、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_116_chunk_4,Pitch flees into the forest after seeing the Guardians approach.,"Scene 129: Following his loss of power, Pitch turns and runs away as the Guardians stand together."
61、EXT. EMPTY STREET - CONTINUOUS,doc_60_chunk_9,Pitch successfully transforms Sandy's Dreamsand into Nightmare sand as part of his plan.,Scene following Sandy's consumption: Sandy's Golden Dreamsand turns black and merges with Pitch's Nightmare sand.
61、EXT. EMPTY STREET - CONTINUOUS,doc_60_chunk_9,Pitch's plan to eliminate Sandy and absorb his power is confirmed to have worked.,Scene following Sandy's defeat: Pitch expresses delight and acknowledges the success of his plan.
61、EXT. EMPTY STREET - CONTINUOUS,doc_60_chunk_6,Pitch successfully strikes Sandy with an arrow that causes an explosion and begins corrupting Sandy's body.,Scene 74: Pitch attacks Sandy during the confrontation at the Guardians' location.
61、EXT. EMPTY STREET - CONTINUOUS,doc_60_chunk_6,Pitch makes direct eye contact with Sandy while laughing during Sandy's corruption.,Scene 74: Pitch engages in a visual and emotional confrontation with Sandy as the corruption takes effect.
86、INT. NORTH POLE - FACTORY FLOOR,doc_85_chunk_1,Pitch appears through the manifestation of black sand enveloping the globe in the factory.,"Scene: The North Pole factory, where black sand rises and forms Pitch before the Yetis and Elves."
86、INT. NORTH POLE - FACTORY FLOOR,doc_85_chunk_1,Pitch declares the cancellation of Christmas toys for the current and all future years.,"Scene: The North Pole factory, immediately after Pitch's emergence from the black sand."
88、INT. NORTH POLE - DAY,doc_87_chunk_0,Pitch successfully causes the belief in the Guardians to be lost in all but one child worldwide.,"Scene: Pitch observes the lights representing belief going out across North's globe, with only one remaining."
88、INT. NORTH POLE - DAY,doc_87_chunk_0,Pitch acknowledges that a single child still believes in the Guardians.,"Scene: After all other lights go out, Pitch observes the last remaining light and says 'One.'"
63、EXT. BURGESS FOREST - NIGHT,doc_62_chunk_0,Pitch survives a crash-landing in a forested area.,Scene following crash: Pitch pulls himself from the mud and weeds among the trees where he has crash-landed.
63、EXT. BURGESS FOREST - NIGHT,doc_62_chunk_0,Pitch is present and operational after an explosive blast that dispersed his Nightmares.,"Scene following crash: Scores of Nightmares regroup behind Pitch after the blast, with Pitch at the center."
63、EXT. BURGESS FOREST - NIGHT,doc_62_chunk_0,Pitch expresses approval of another character's actions by acknowledging they know how to have fun.,Scene following crash: Pitch speaks after observing the sleigh enter North's Snowglobe Portal.
