doc_title,chunk_id,fact,scene_context
13、INT. CORPORATE APARTMENT - MOMENTS LATER,doc_12_chunk_0,Cal agrees to take the rental property.,Rental property viewing at a beige location.
20、INT. CORPORATE APARTMENT - EVENING,doc_19_chunk_2,Cal agrees to allow Robbie to use a curse once.,"After Molly bolts to the TV, Cal and Robbie stand awkwardly."
18、INT. BAR - LATER,doc_17_chunk_9,Cal stopped drinking from the wimpy red straw.,
18、INT. BAR - LATER,doc_17_chunk_10,Cal refuses Jacob's offer.,
15、INT. FURNITURE STORE - LATER,doc_14_chunk_0,Cal agrees to the salesman's request to give advice.,"Furniture store: Cal is approached by a salesman who asks to give advice, and Cal responds with 'Sure.'"
20、INT. CORPORATE APARTMENT - EVENING,doc_19_chunk_5,Cal decided to take a class.,Cal tells Robbie and Molly he decided to take a class.
24、INT. FOOD COURT,doc_23_chunk_0,Cal refuses the offer of Sbarro's pizza.,food court
24、INT. FOOD COURT,doc_23_chunk_0,Cal agrees to spend three thousand dollars on clothes.,food court
18、INT. BAR - LATER,doc_17_chunk_5,Cal agrees to accept a drink from Jacob.,Bar: Jacob offers to buy Cal a drink and Cal agrees.
18、INT. BAR - LATER,doc_17_chunk_2,Cal is left alone after Bernie exits.,At the bar
18、INT. BAR - LATER,doc_17_chunk_1,Cal receives a cologne gift containing a gift receipt.,Bernie hands Cal a cologne gift with a gift receipt.
26、EXT. MALL - MOMENTS LATER,doc_25_chunk_1,Cal is wearing an overcoat and a sweater.,Dressing room in a new store
35、INT. BAR - THAT NIGHT,doc_34_chunk_0,Cal is drinking a martini.,"Bar, another night"
35、INT. BAR - THAT NIGHT,doc_34_chunk_6,Cal commits to buying a drink for Kate despite her refusal.,"After Kate refuses a drink, Cal states he is buying one anyway."
36、INT. CORPORATE APARTMENT - LATER,doc_35_chunk_4,Cal becomes inseparable with Jacob,
35、INT. BAR - THAT NIGHT,doc_34_chunk_12,Cal's compliment is genuine.,
4、INT. LEXUS SUV,doc_3_chunk_0,Cal stops himself from speaking during a conversation about their 25-year marriage.,"Car, during Tracy's question about their 25-year marriage"
11、INT. BAR - LATER,doc_10_chunk_1,Cal decides Jacob Palmer is gay.,Bar scene: Cal observes Jacob Palmer with two women and makes the decision.
40、INT. CAL'S CORPORATE APARTMENT - AFTERNOON (NEXT DAY),doc_39_chunk_0,Cal promises to bring Nanna the deli she likes.,"Kitchen, Cal on phone with Nanna"
19、EXT. THE WEAVER BACKYARD - DAY (ONE WEEK LATER),doc_18_chunk_0,Cal is leaving his house.,Cal's house yard and driveway
33、INT. TRACY'S OFFICE - LATER,doc_32_chunk_0,"Cal was in a happy, loving relationship with Tracy at the time of the photo.",Office: Photo of Cal and Tracy is noticed and described.
70、EXT. HOME DEPOT - CONTINUOUS ACTION,doc_69_chunk_0,Cal hires three day laborers.,
64、EXT. THE WEAVER BACKYARD - LATE EVENING,doc_63_chunk_4,The charade is over,"Kitchen: After Cal instructs Tracy to operate the device, the charade ends."
18、INT. BAR - LATER,doc_17_chunk_7,Cal is extremely drunk.,
68、EXT. U-HAUL CENTER - CONTINUOUS ACTION,doc_67_chunk_0,Cal has rented a truck.,
79、EXT. WEAVER BACKYARD,doc_78_chunk_1,Cal saw Tracy Boyle for the first time 25 years ago.,"Party scene, Cal enters and the backstory is revealed."
74、INT. CLAIRE AND BERNIE'S LIVING ROOM - CONTINUOUS ACTION,doc_73_chunk_1,The envelope is addressed to Cal.,Bernie examining an envelope with Cal's name
7、INT. LEXUS SUV,doc_6_chunk_2,Cal threatens to leave the car if Tracy continues talking.,"Car scene: Tracy reminiscing about Christmas party, Cal threatens to leave if she continues talking."
36、INT. CORPORATE APARTMENT - LATER,doc_35_chunk_1,Cal bids farewell to a new girl on a new morning.,The next morning
79、EXT. WEAVER BACKYARD,doc_78_chunk_0,Cal's backyard has been transformed into a miniature golf course with a windmill.,Backyard: Transformation of Cal's Shangri-La
79、EXT. WEAVER BACKYARD,doc_78_chunk_0,Cal is standing behind the miniature golf course and wearing a tuxedo.,Backyard: Cal present at the transformed backyard
43、INT. MIDDLE SCHOOL - NEXT NIGHT,doc_42_chunk_6,"Cal slept with Kate, the English teacher.","Doorway scene: Cal and Tracy are interrupted by Kate, the English teacher."
46、EXT. SCHOOL - CONTINUOUS ACTION,doc_45_chunk_0,Cal and Tracy have a shared phrase: 'the perfect combination of sexy and cute'.,"Tracy racing to car, Cal and Tracy talking, Kate's interruption"
