doc_title,chunk_id,fact,scene_context
序场（用抓拍的素材，在后期剪接时增加的内容）,doc_0_chunk_0,梁小武是靳小勇的哥们。,
序场（用抓拍的素材，在后期剪接时增加的内容）,doc_0_chunk_0,梁小武是胡梅梅的靠山。,
序场（用抓拍的素材，在后期剪接时增加的内容）,doc_0_chunk_0,梁小武是梁长有的儿子。,
二十二、厢房里，夜,doc_23_chunk_2,梁小武揭示了靳小勇手臂上的纹身。,房内
十七、街口的信箱旁，夜晚(实拍时删去),doc_18_chunk_0,梁小武将五六个身份证投入了邮筒。,街上，华灯初放
二十一、靳小勇家，夜,doc_22_chunk_0,梁小武独自先进了厢房。,院子里，快到厢房门口时
十、回春药店，下午,doc_10_chunk_0,小武抱着孩子,药店
二十、药店里，夜,doc_21_chunk_0,小武收到了几张一百元的钞票。,店里，更胜给小武钱
十、回春药店，下午,doc_10_chunk_2,梁小武被郝有亮看到,药店，城建局联合办公期间
二、客车上，上午,doc_2_chunk_0,小武获得了干部乘客的钱包,车里，汾阳县城边缘
四十五、胡梅梅家院子外，下午（因拍摄“穿帮”，剪接时删去）,doc_46_chunk_0,小武被工人骑车驮着前往回春药店。,街头，小武被工人骑车驮着前往回春药店。
四十三、志新街，下午,doc_44_chunk_0,三兔没有看见小武。,街道
四、县城中央街道，上午,doc_4_chunk_0,梁小武承诺帮忙寻找丢失的身份证。,自行车上，更胜请求帮忙找身份证。
四十七、胡梅梅往处，下午,doc_48_chunk_1,小武用打火机播放了《致爱丽丝》的曲子。,
五十三、梦巴黎歌厅,doc_54_chunk_0,小武决定与胡梅梅合唱。,
六十六、梁家院子，早上,doc_67_chunk_0,梁小武鼻子流血。,
五十三、梦巴黎歌厅,doc_54_chunk_1,小武没有接红包。,歌厅内
六十七、小武家，上午,doc_68_chunk_0,小武的鼻血止住了。,家中，小武在镜子前
五十九、胡梅梅家院子里，中午,doc_60_chunk_0,胡梅梅搬走了。,院子里，小武询问胡梅梅下落
五十九、胡梅梅家院子里，中午,doc_60_chunk_0,早晨来了辆车，帮胡梅梅拉东西走了。,院子里，小武询问胡梅梅下落
五十八、汽车站，晨（剪接时删去，节奏过馒）,doc_59_chunk_0,梁小武未在第一班车下车人群中找到胡梅梅,车站，第一班车到达时
五十五、南羹楼下，下午,doc_56_chunk_0,小武腰上挂着一台崭新的“摩托罗拉”汉字型寻呼机。,与吴胖子打台球时
六十、胡梅梅住处，中午,doc_61_chunk_0,胡梅梅的床是空的,屋里，小武冲进后
六十八、梁家院子里，上午,doc_69_chunk_0,小武与三多之间关系陌生。,小武家的院子
六十九、村口，中午（实拍时删去）,doc_70_chunk_0,小武停止了打扑克活动。,路边，摩托车驶来后
七十一、小武家，中午,doc_72_chunk_1,梁小武给妈妈买了金戒指。,饭桌旁，大家吃饭时
八十、派出所，夜,doc_81_chunk_0,小武被手铐铐着的状态被解除。,屋里，警察离开后
八十二、街道上，上午（实拍时删去）,doc_83_chunk_0,梁小武被铐在路边的电线杆上。,八十二a街道上，上午
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,小武比胡梅梅高,二十九A、西门外汾州市场马路
二十九、汾阳市场，下午（实拍时修改）,doc_30_chunk_1,小武在西门外汾州市场二楼,二十九A、西门外汾州市场马路
三十二、发廊外，傍晚,doc_33_chunk_0,小武被胡梅梅亲了一口。,傍晚的街道
三十二、发廊外，傍晚,doc_33_chunk_0,小武愣在了街上。,傍晚的街道
七十七、街头闹市，黄昏,doc_78_chunk_0,小武被街上的人追捕。,街上
九、街上，中午,doc_9_chunk_0,小武身上没有烟,十字路口
七十八、派出所，夜,doc_79_chunk_0,小武的呼机和钱被老警察收走并锁进柜子。,屋内沙发上
七十八、派出所，夜,doc_79_chunk_0,小武被老警察铐在摩托车上。,屋内摩托车边
九、街上，中午,doc_9_chunk_1,小武将三兔从人群中带出。,马路旁，记者采访事件
四十九、浴室下午,doc_50_chunk_0,浴室中没有其他人。,浴室
七十、村里的筒上，中午（实拍时删去）,doc_71_chunk_0,小武吹哨呐失败。,贴着红‘寿’字的门洞边
