doc_title,chunk_id,text,scene_context
场106，日，体操馆内单杠辅具区,doc_105_chunk_0,太久没练罗，这样就不行罗！撑着！再来一个！,在体操训练场，黄教练辅助阿信练习单杠辅具。
场23，日，体操馆跳台区,doc_22_chunk_0,跳！,跳台：小阿信害怕不敢跳，黄教练命令跳。
场123，日，体操馆内,doc_122_chunk_0,阿信！,在体操馆，黄教练试图阻止阿信
场19，日，体操馆倒立练习区/二楼器材室,doc_18_chunk_0,右脚在前左脚在后，两手伸直与肩同宽，上半身往前……,新队员面向墙壁练习倒立
场19，日，体操馆倒立练习区/二楼器材室,doc_18_chunk_0,五指分开，同时左脚向后摆，右脚蹬地！不要怕，蹬上去！,黄教练通过小窗户指导器材室内的小阿信练习倒立
场125，日，体操馆内,doc_124_chunk_0,她担心你把体操当成终身目标，到时候会因为右脚的关系遇到挫折……没想到，我们这样作，反而让你误会。,回现实场景，黄教练与阿信对话，主题为体操目标和右脚挫折。
场124，日，教练办公室内,doc_123_chunk_0,阿信是队上弹跳力最好、爆发力最强的选手，真的不再考虑一下？,第36场（隐藏部分）：教练办公室内，黄教练与林太太讨论阿信的体操训练。
场124，日，教练办公室内,doc_123_chunk_0,林太太，阿信好不容易成为一个体操选手，难道你要他放弃？,第36场（隐藏部分）：教练办公室内，黄教练与林太太讨论阿信的体操训练。
场131，夜，体操馆内,doc_130_chunk_0,这双鞋只是辅助，目的是要训练你左腿承担住落地的重力，等抓住窍门，就可以脱掉鞋子……,跳马助跑道前，黄教练指导阿信体操鞋使用
场129，日，到夜阿信家/田埂/街道/大树下/河堤/体操舘内/电话秘书公司,doc_128_chunk_1,放轻松，像平常那样。（国语）,在跳马训练中，黄教练指导阿信。
场137，日，国际体操馆内,doc_136_chunk_0,阿信！,比赛场地：黄教练叫住阿信，表达骄傲。
场137，日，国际体操馆内,doc_136_chunk_0,阿信……我……,比赛场地：黄教练叫住阿信，表达骄傲。
场137，日，国际体操馆内,doc_136_chunk_0,我只想说……你是我带过最好的选手。,比赛场地：黄教练叫住阿信，表达骄傲。
场137，日，国际体操馆内,doc_136_chunk_0,不管比赛结果如何，教练都以你为荣！,比赛场地：黄教练叫住阿信，表达骄傲。
场122，夜，体操馆办公室内,doc_121_chunk_0,把不够的地方补满…………把不够的长度补满！,停止翻阅体操书籍后，倒茶时灵机一现，提到补满长度。
场32，日，体操馆内跳马区,doc_31_chunk_0,阿信，空中翻转爆发力很不错喔，但落地稳定度要再加强，知道吗？,跳马跑道，黄教练对阿信讨论落地稳定度
场32，日，体操馆内跳马区,doc_31_chunk_0,小树，动作很漂亮！但是……你可不可以笑一点啊！裁判又没有欠你钱……,跳马跑道，黄教练对小树讨论表情
场99，日，体操馆办公室,doc_98_chunk_0,阿信？是阿信吗？,办公室内，黄教练询问阿信是否在器材室。
场99，日，体操馆办公室,doc_98_chunk_0,教练常跟你们讲，体操选手一辈子只有一次巅峰期，我等你回来。,器材室无人回应后，黄教练在办公室谈论体操选手巅峰期。
场99，日，体操馆办公室,doc_98_chunk_0,人生就像拉单杠，你要会上，也要会下，掉下来，再爬起来就好了！不是吗？,黄教练望向器材室方向，谈论人生如拉单杠。
场28，日，县立体育舘,doc_27_chunk_1,放轻松，不要摔得狗吃屎就好。,在跑道底端跳马处，黄教练鼓励小阿信放松。
场28，日，县立体育舘,doc_27_chunk_1,去吧！注意左脚，手推远远。,在跑道底端跳马处，黄教练指导小阿信跳马动作。
场112，日，体操馆办公室,doc_111_chunk_0,坐。,场景1：在教练办公室，黄教练让阿信坐下。
场112，日，体操馆办公室,doc_111_chunk_0,其实你们小时候看的那个影片，里面的选手其实不是我。,场景1：在教练办公室，黄教练解释影片中的选手不是他。
场112，日，体操馆办公室,doc_111_chunk_0,我会来当教练，本来只是想说有一个自己喜欢而且稳定的工作，没想到你跟小树会这么优秀……。我现在才知道，原来当教练也是会有瓶颈的。对不起，我真的不知道该怎么解决你左脚的问题……,场景1：在教练办公室，黄教练表达当教练的瓶颈和对左脚问题的歉意。
场123，日，体操馆内,doc_122_chunk_2,别谢我，要谢你妈……,
场123，日，体操馆内,doc_122_chunk_2,出钱作这双鞋的，是你妈！,
场123，日，体操馆内,doc_122_chunk_2,你知道你小时候得过小儿麻痹吗？,
场123，日，体操馆内,doc_122_chunk_2,你妈一直很自责，说自己没把你顾好，才会让你得病。如果不是她从小每天帮你按摩，你的左脚会萎缩得比现在还严重！,
场123，日，体操馆内,doc_122_chunk_2,从小到大，只要是可以让你开心的事，她都不会阻止……,
场108，日，体操馆内吊环辅具区,doc_107_chunk_0,腿伸直，用点力，再用点力。,吊环训练辅助中，黄教练指导阿信
场108，日，体操馆内吊环辅具区,doc_107_chunk_0,这样就不行罗！,阿信吃不消停下来后，黄教练刺激
场108，日，体操馆内吊环辅具区,doc_107_chunk_0,唉！慢点，慢点！,阿信加速旋转导致黄教练吃力时
场108，日，体操馆内吊环辅具区,doc_107_chunk_0,这样做就对了！小树，过来帮阿信。,黄教练闪到腰后，叫小树帮忙
场27，日，体操馆跳马区,doc_26_chunk_0,阿信！注意右脚！,跳马练习中，黄教练提醒小阿信注意右脚。
场27，日，体操馆跳马区,doc_26_chunk_0,小树，阿信进步很快，动作越来越像你罗！,训练场，黄教练与小小树交谈，讨论阿信进步。
场102，日，体操馆内,doc_101_chunk_0,阿信！,阿信排队准备练习跳马时，黄教练叫阿信过来。
场102，日，体操馆内,doc_101_chunk_0,现在还不能练单项，会受伤。去跑步练体能。,黄教练示意阿信过来后，指示他去跑步练体能。
场36，日，教练办公室,doc_35_chunk_0,阿信是队上弹跳力最好、爆发力最强的选手，真的不再考虑一下？,教练办公室内，黄教练与妈妈讨论阿信的训练计划。
场36，日，教练办公室,doc_35_chunk_0,阿信，过来一下！,教练办公室内，黄教练召唤阿信。
场36，日，教练办公室,doc_35_chunk_0,阿信，东西收一收，先跟妈妈回去。,教练办公室内，黄教练要求阿信与妈妈回家。
场36，日，教练办公室,doc_35_chunk_0,先回去跟你妈谈谈。,教练办公室内，黄教练建议阿信与妈妈沟通。
场36，日，教练办公室,doc_35_chunk_0,我已经把你从比赛名单替除了……,教练办公室内，黄教练告知阿信已被移出比赛名单。
