doc_title,chunk_id,text,scene_context
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_2,I'm honored. And now you've made,
1、INT. MOVIE THEATRE - CONTINUOUS,doc_0_chunk_3,"Gentlemen, I give you: the Monster of Paradise Falls!","On stage in a crowded auditorium, presenting the Monster of Paradise Falls"
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_9,"Oh, you're not leaving?","Inside a house, Muntz questions Carl and Russell about leaving after dinner."
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_0,"So how are things stateside? Almost tempted to go back a few times, but I have unfinished work here... Please.",Dining room: Muntz speaking with Carl and Russell
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_0,I hope you're hungry because Epsilon is the finest chef I've never had.,Dining room: Muntz speaking with Carl and Russell
"139、INT. DIRIGIBLE, COCKPIT",doc_138_chunk_0,"Where are you, Fredricksen?",Cockpit: Muntz speaks to Fredricksen.
111、INT. CAVE - CONTINUOUS,doc_110_chunk_1,Oh. Would you like to?,"At the Spirit of Adventure, Muntz responds to Carl's surprise about not entering the ship."
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_4,"They called me a fraud, those... dah! But once I bring back this creature, my name will be cleared.",Back of room: Muntz speaks about being called a fraud and his plan to clear his name with the bird.
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_4,"Beautiful, isn't it? I've spent a lifetime tracking it. Sometimes years go by between sightings...",At a full size skeleton: Muntz comments on the skeleton's beauty and his tracking efforts.
"110、EXT. MOUNTAIN, CAVE ENTRANCE",doc_109_chunk_3,"Well, you're a man of good taste!","After Carl shakes Muntz's hand, Muntz compliments Carl's taste."
118、EXT. MOUNTAIN - NIGHT - CONTINUOUS,doc_117_chunk_6,Get away from my bird!,"Muntz descending from dirigible, speaking to someone about the bird"
"150、INT. DIRIGIBLE, COCKPIT",doc_149_chunk_0,What? Calm down! One at a time!,"On the ship, Muntz speaks with Dog Walla about the bird being gone."
"138、INT. DIRIGIBLE, RAMP ROOM - CONTINUOUS",doc_137_chunk_1,Nice talking with you.,"Inside building, speaking with Russell, farewell."
"117、INT. DIRIGIBLE, COCKPIT",doc_116_chunk_0,You lost them?,Muntz questioning Beta and Gamma about losing the target (Dug)
"117、INT. DIRIGIBLE, COCKPIT",doc_116_chunk_0,Wait. Wait a minute. Dug...,"Muntz muttering to himself about Dug, while looking at radar tracking device"
"138、INT. DIRIGIBLE, RAMP ROOM - CONTINUOUS",doc_137_chunk_0,"Alpha! Fredricksen's coming back. Guard that bird. If you see the old man, you know what to do.",Airship interior: Muntz warns Alpha of Fredricksen's return and orders to guard the bird.
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_5,"I've tried to smoke it out of that deathly labyrinth where it lives... Can't go in after it. Once in, there's no way out. Lost so many dogs...",Muntz in reverie: discussing the labyrinth and lost dogs.
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_5,"And here they come, these bandits, and think the bird is theirs to take! But they soon find that this mountain is a very dangerous place.",Muntz in reverie: warning about bandits and the mountain's danger.
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_1,"Any last words, Fredricksen? Come on, spit it out!",Muntz demands last words from Carl after knocking him against a trophy.
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_0,"Most of the collection is housed in the world's top museums: New York, Munich, London... `Course I kept the best for myself.","Room of artifacts, speaking with Carl and Russell about his collection."
1、INT. MOVIE THEATRE - CONTINUOUS,doc_0_chunk_2,Adventure is out there!,Newsreel: Muntz strikes signature thumbs up stance
"158、INT. DIRIGIBLE, TROPHY ROOM",doc_157_chunk_2,Enough! I'm taking that bird back with me alive or dead!,Confronting Carl over the bird; threatening to take it by force
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_2,"Oh, you recognize it? I'm impressed! That's an interesting story there...","In a room, Muntz responds to Carl's comment about the Giant Somalian Leopard Tortoise."
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_2,"Hm, excellent choice. I found it on safari with Roosevelt.","After a dog brings champagne, Muntz speaks to Carl about the tortoise found on safari with Roosevelt."
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_2,"He and I fell into a habit of playing gin rummy in the evenings. And did he cheat? Oh, he was horrible!",Muntz continues the story about playing gin rummy with Roosevelt.
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_10,"No, the boy's right. You haven't had dessert. Epsilon here makes a delicious Cherries Jubilee.","In a house, Muntz speaks to Carl about dessert and Epsilon's cooking."
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_10,"Oh, you really must stay. I insist! We have so much more to talk about!","In a house, Muntz insists Carl stay for more conversation."
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_10,It's here.,"In a house at the window, Muntz sees the bird and says 'It's here'."
"114、INT. DIRIGIBLE, DINING ROOM",doc_113_chunk_10,(to dogs) Get them!,"In a house, Muntz orders the dogs to get Carl and Russell."
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_3,"Oh dear, broken translator. It's that loose wire again. (leans down, fixes it)There you go big fella.",Alpha interrupts with dinner announcement; Muntz fixes broken translator.
113、INT. DIRIGIBLE - TROPHY ROOM,doc_112_chunk_3,"Well, dinner is served! Right this
way.","After Russell comments on Alpha's voice, Muntz laughs and invites to dinner."
1、INT. MOVIE THEATRE - CONTINUOUS,doc_0_chunk_6,And I will not come back until I do!,"Departure scene: Muntz addresses the crowd before his dirigible lifts off, declaring he will not return until he captures the Monster of Paradise Falls."
