doc_title,chunk_id,fact,scene_context
61、INT. CITY COUNCIL HALL - EVENING,doc_60_chunk_3,"Julie confronts Principal Merkin about his selective concern regarding ""Heaven"".","Scene during a public meeting where the community discusses the impact of ""Heaven""."
83、EXT. NIGHTCLUB/CINCINNATI STREET - NIGHT,doc_82_chunk_1,The target character expresses respect for Ted's decision to keep his word.,Scene following dialogue about Ted's commitment to his work; location unspecified.
8、INT. TEACHER'S LOUNGE - TECUMSEH HIGH SCHOOL - DAY,doc_7_chunk_1,Julie emerges from an air vent in the room.,Scene: Julie's head appears framed by the air duct after it opens and crashes.
8、INT. TEACHER'S LOUNGE - TECUMSEH HIGH SCHOOL - DAY,doc_7_chunk_1,Julie is holding a digital camera at the time of her discovery.,Scene: Julie is seen holding a digital camera when she is revealed in the air duct.
83、EXT. NIGHTCLUB/CINCINNATI STREET - NIGHT,doc_82_chunk_0,Julie participates in rushing down the street with Ted in the rain.,
83、EXT. NIGHTCLUB/CINCINNATI STREET - NIGHT,doc_82_chunk_0,Julie is physically drenched from the rain.,
83、EXT. NIGHTCLUB/CINCINNATI STREET - NIGHT,doc_82_chunk_0,Julie embraces Ted and engages in kissing.,
72、EXT. HOLIDAY INN - NIGHT,doc_71_chunk_0,Julie arrives at the scene on a Harley motorcycle wearing a purple strapless prom dress and a black motorcycle jacket.,
72、EXT. HOLIDAY INN - NIGHT,doc_71_chunk_0,Julie offers Ted a lift on her motorcycle.,
72、EXT. HOLIDAY INN - NIGHT,doc_71_chunk_0,Julie allows Ted to ride on her motorcycle by letting him wrap his arms around her waist.,
9、INT. TED'S OFFICE - NEWSROOM - DAY,doc_8_chunk_6,Julie helps Ted get up from the ground.,Scene following Christy's rejection: Julie assists Ted after he is left kneeling and humiliated.
9、INT. TED'S OFFICE - NEWSROOM - DAY,doc_8_chunk_6,Julie informs Ted that the situation is an actual emergency.,Scene following Christy's rejection: Julie clarifies the reality of the situation to Ted.
99、INT./EXT. NELSON'S HOUSE - EVENING,doc_98_chunk_3,Julie is acknowledged by Ted as the inspiration for the magazine 'EXPOSED!'.,Scene where Ted reveals the magazine concept to Julie.
99、INT./EXT. NELSON'S HOUSE - EVENING,doc_98_chunk_3,Julie expresses willingness to take on the role of editor-in-chief for the magazine 'EXPOSED!'.,Scene where Julie responds to Ted's announcement about the magazine.
95、EXT. JULIE'S HOUSE - DAY,doc_94_chunk_0,Julie receives a magazine with a personal dedication addressed to her.,"Scene at Julie's front door, where Charlie hands her a copy of 'Heaven' containing a dedication."
95、EXT. JULIE'S HOUSE - DAY,doc_94_chunk_0,Julie is explicitly identified as the recipient of a dedication that refers to her as 'My Partner in Crime'.,"Scene at Julie's front door, upon reading the dedication in the magazine."
99、INT./EXT. NELSON'S HOUSE - EVENING,doc_98_chunk_4,Julie accepts Ted's invitation to dance.,Scene where the song 'People' plays; Julie takes Ted's hand when he asks for a dance.
99、INT./EXT. NELSON'S HOUSE - EVENING,doc_98_chunk_4,Julie dances with Ted.,Scene where Ted and Julie begin dancing in the background while Charlie and Jimmy react.
99、INT./EXT. NELSON'S HOUSE - EVENING,doc_98_chunk_4,Julie kisses Ted.,Scene where Ted and Julie are dancing and kissing in the background.
