doc_title,chunk_id,fact,scene_context
25. 小区内，夜，外,doc_24_chunk_0,严守一的手机关机。,
27. 小区内，夜，外,doc_26_chunk_0,严守一删除了武月的信息。,
20. 严守一家，夜，内,doc_19_chunk_0,严守一的手机处于关机状态。,场景8：于文娟在家中拨打严守一手机时，系统提示手机已关机。
2. 门前土路，日，外,doc_1_chunk_0,严守一带着表嫂沿着山路向镇里骑去。,沿着山路向镇里骑去
26. 公路上，夜，外,doc_25_chunk_0,严守一的手机已经开机。,
11. 公路上，日，外,doc_10_chunk_0,严守一发觉自己没带手机。,场景4：收费站交路费时。
30. 卧室，夜，内,doc_29_chunk_3,严守一肩背上留有上下牙齿咬过的印痕。,于文娟要求严守一脱衣服时
28. 严守一家，夜，内,doc_27_chunk_0,严守一镇静下来。,
37. 严守一老家大院内，日，外,doc_36_chunk_0,严守一提出替费墨喝酒的请求被砖头哥拒绝。,场景14：奶奶过寿宴席
16. 市立戏剧学院教室，日 ，内,doc_15_chunk_2,严守一的手机被扔进了垃圾桶。,场景6：教室
16. 市立戏剧学院教室，日 ，内,doc_15_chunk_2,教室里只剩下严守一。,场景6：教室
13. 严守一家，日，内,doc_12_chunk_0,严守一在手机上看到了武月的来电记录。,鞋柜处查看手机
59. 小岛，日，外,doc_58_chunk_0,严守一的节目《有一说一》正在播出。,住处，日，内
30. 卧室，夜，内,doc_29_chunk_4,严守一离婚了,街道办事处
30. 卧室，夜，内,doc_29_chunk_4,严守一多次尝试联系于文娟但未成功,台词短训班结业时
30. 卧室，夜，内,doc_29_chunk_4,严守一和沈雪的关系发生了变化,台词短训班结业时
33. 车厢内，日，内,doc_32_chunk_1,严守一的手机显示武月来电,费墨和沈雪对话期间
55. 严守一家，夜，内,doc_54_chunk_0,严守一睡着了。,场景21：床边
68. 某酒店小厅，日，内,doc_67_chunk_0,严守一被确认为本书序的作者。,新书发布会现场
53. 病房，日，内,doc_52_chunk_1,严守一的手机来电者是沈雪。,场景20
58. 医院楼下，日，外,doc_57_chunk_0,严守一往南京寄过两次钱，但都被退了回来。,场景22
52. 育婴房，日，内,doc_51_chunk_0,严守一得知文娟在离婚时怀孕。,场景19：摇篮旁，费墨告知严守一文娟在离婚时怀孕。
68. 某酒店小厅，日，内,doc_67_chunk_3,严守一收到了武月的短消息,
69. 洗手间，日，内,doc_68_chunk_0,严守一发送了短信。,
71. 新书发布会的厅堂，日，内,doc_70_chunk_0,严守一删除了武月的短信,场景29：电梯内
76. 严守一家，日，内,doc_75_chunk_1,手机处于开机状态。,
72. 宾馆5楼走廊，日，内,doc_71_chunk_0,严守一的手机无法接通。,戏剧学院，日
60. 洗脚屋，夜，内,doc_59_chunk_1,严守一的手机在口袋里振动。,
65. 公路上，夜，外,doc_64_chunk_0,沈雪为严守一的儿子买了衣服。,
41. 路上，日，外,doc_40_chunk_0,严守一给老家装了一部电话。,
41. 路上，日，外,doc_40_chunk_0,严守一被老太太托付捎红枣给费墨。,
74. 火车站月台，日，外,doc_73_chunk_2,严守一无言以对。,沈雪对严守一说明李燕的发现后
19. 小树林，夜，外,doc_18_chunk_0,严守一明确拒绝了于文娟关于回家吃饭的请求。,马路上，于文娟电话询问是否回家吃饭
9. 回家路上，日，外,doc_8_chunk_0,严守一的声音第一次在世界上传得这么远。,
9. 回家路上，日，外,doc_8_chunk_0,严守一作为电视台有一说一的节目主持人。,
9. 回家路上，日，外,doc_8_chunk_0,严守一的声音开始传遍中国的千家万户。,
88. 严守一家，日，内,doc_87_chunk_0,严守一的住址是北京市朝阳区大西洋新城 3门210楼21B,严守一的家中
61. 严守一家，夜，内,doc_60_chunk_0,严守一的手机掉在地上。,场景24：厕所，沈雪闯入时。
81. 严守一家门口，日，内,doc_80_chunk_0,严守一的手机位于桌面上。,严守一住所，沈雪进入时
