doc_title,chunk_id,text,scene_context
109、INT. CARGO SHIP HANGAR - DAY,doc_108_chunk_0,Han!,"Hangar, Rey calls out to Han as they approach the Falcon."
104、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_103_chunk_0,Huge!,"Below decks, Rey speaking with Finn about the mistake."
113、INT. MILLENNIUM FALCON - COCKPIT - DAY,doc_112_chunk_0,Compressor.,Hangar: Rey tells Han to use the compressor.
106、INT. CARGO SHIP CORRIDOR E - DAY,doc_105_chunk_0,FINN!!!!,"On the ship, Rey calls out for Finn after he vanishes."
138、INT. MAZ' CASTLE - BASEMENT CORRIDOR - DAY,doc_137_chunk_2,I'm never touching that again. I don't want any part of this.,Maz offers the lightsaber; Rey refuses.
124、INT. MILLENNIUM FALCON - LOUNGE AREA - DAY,doc_123_chunk_4,The Jedi were real?,Rey and Han Solo discuss the Jedi
137、INT. MAZ'S CASTLE - CRYPT ROOM - DAY,doc_136_chunk_5,"No, come back!","Jakku, Rey (child) watching starship fly away, held by Unkar Plutt"
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_7,You can't just go. I won't let you.,"Finn moves Rey away, Rey protests his departure"
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_7,"Finn, what are you talking about?","Finn says he's not who Rey thinks, Rey asks for explanation"
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_0,Can you see them?,Crawl space: Rey asks Finn if he can see the others.
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_0,They have blasters...,Under the gang: Rey and Finn whisper about the gang having blasters.
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_6,"Wait wait wait wait. If we close the blast doors in that corridor, we can trap both gangs!","Corridor, Rey and Finn discussing trapping gangs by closing blast doors"
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_6,Resetting the fuses should do it.,"Corridor, Rey and Finn resetting fuses to trap gangs"
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_5,Finn!,"Rey, Finn, and Maz present; Rey objects to Finn leaving without BB-8."
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_5,What about BB-8? We're not done yet. We have to get him back to your base.,"Rey, Finn, and Maz present; Rey objects to Finn leaving without BB-8."
107、INT. CARGO SHIP CORRIDOR B - DAY,doc_106_chunk_0,Finn!,Corridor: Rey sees Finn alive after the Rathtar attack.
107、INT. CARGO SHIP CORRIDOR B - DAY,doc_106_chunk_0,That was lucky!,Corridor: Rey and Finn discuss the escape.
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_0,What fight?,Maz's location: Rey asks about the fight after Finn and Han express their need for help.
119、INT. MILLENNIUM FALCON - DAY,doc_118_chunk_0,I can fix that!,Cockpit: Rey and Han during electrical overload
119、INT. MILLENNIUM FALCON - DAY,doc_118_chunk_0,Try transferring auxiliary power to the secondary tank--,Cockpit: Rey and Han during coolant leak
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_7,Oh no.,Container area: Rey speaks with Finn about wrong fuses
102、INT. CARGO SHIP - BELOW FLOOR GRATING - DAY,doc_101_chunk_7,Wrong fuses.,Container area: Rey speaks with Finn about wrong fuses
105、INT. CARGO SHIP CORRIDOR A - DAY,doc_104_chunk_1,What do they look like?,Corridor: Rey asks Finn about gang members battling a rathtar.
105、INT. CARGO SHIP CORRIDOR A - DAY,doc_104_chunk_1,Are you sure?,Corner with rathtar: Rey questions Finn's direction.
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_6,What are you doing?,"Interrupting Han, Maz, and Finn at the table"
135、INT. MAZ'S CASTLE - TABLE - DAY,doc_134_chunk_8,Don't go.,Finn asks Rey to come with him.
124、INT. MILLENNIUM FALCON - LOUNGE AREA - DAY,doc_123_chunk_3,Why'd he leave?,Rey asks Han about Luke's departure.
131、EXT. MAZ'S CASTLE - DAY,doc_130_chunk_0,Clean?,Castle: Rey questions Han about the 'clean ship'.
