doc_title,chunk_id,description,scene_context
27、INT. STACKERS - LATER,doc_26_chunk_3,Peter pulls Carl away from the Waitress.,
90、INT. FANCY RESTAURANT - NIGHT,doc_89_chunk_2,Peter leaves.,
46、INT. RUDY'S,doc_45_chunk_3,Carl looks over Lucy's shoulder at Peter and shakes his head.,
92、EXT. FANCY RESTAURANT,doc_91_chunk_2,PETER opens up,
23、INT. CARL'S APARTMENT - LATER,doc_22_chunk_6,Peter is pushed out the door by Carl.,"Inside Carl's apartment, after an argument."
23、INT. CARL'S APARTMENT - LATER,doc_22_chunk_0,Peter STUMBLES IN.,"Scene: Carl's apartment, after a knock on the door."
27、INT. STACKERS - LATER,doc_26_chunk_1,"Peter says if you want to be sitting so bad, why don't you say something.",
90、INT. FANCY RESTAURANT - NIGHT,doc_89_chunk_1,PETER (ignoring Lucy's tone) I like your suit-ey. Hugo Boss?,
129、INT. PETER'S LAW OFFICE,doc_128_chunk_0,Peter's phone rings. Peter picks it up.,
129、INT. PETER'S LAW OFFICE,doc_128_chunk_0,covering the phone,
46、INT. RUDY'S,doc_45_chunk_4,Peter turns to Carl.,
46、INT. RUDY'S,doc_45_chunk_4,Peter's snickering behind him.,
46、INT. RUDY'S,doc_45_chunk_2,Peter and Carl shake hands.,
46、INT. RUDY'S,doc_45_chunk_2,"Peter turns to Carl, smiling.",
38、INT. RUDY'S,doc_37_chunk_2,"Peter and Lucy laugh, not realizing that Carl is serious.",
38、INT. RUDY'S,doc_37_chunk_2,They leave.,
71、INT. PETER'S LAW OFFICE,doc_70_chunk_1,Peter picks up the phone.,
71、INT. PETER'S LAW OFFICE,doc_70_chunk_1,Peter hangs up.,
25、INT. CARL'S APARTMENT - MORNING,doc_24_chunk_1,We CLOSE IN ON CARL'S MOUTH.,
25、INT. CARL'S APARTMENT - MORNING,doc_24_chunk_1,Carl clearly not wanting to says yes. I will come to brunch.,BACK TO CARL AND PETER.
38、INT. RUDY'S,doc_37_chunk_0,"Peter, Lucy and Rooney, who's clearly been there for a little while, comes up to him.",
38、INT. RUDY'S,doc_37_chunk_0,Peter a normal-sized beer is fine with me.,
145、EXT. RUDY'S,doc_144_chunk_0,Peter comes outside. He's drunk and is still wearing the crown.,"Outside, after Carl is already standing there."
145、EXT. RUDY'S,doc_144_chunk_0,Peter realizes Carl's leaving.,"Outside, when a cab pulls up."
2、INT. RUDY'S - MOMENTS LATER,doc_1_chunk_0,"Among the patrons is our hero Carl, his best friend PETER, Peter's girlfriend LUCY, their party friend ROONEY and his ex-girlfriend, Kath who's still a little red-eyed.","Scene: Inside Rudy's, a dive bar, during New Year's Eve celebration."
71、INT. PETER'S LAW OFFICE,doc_70_chunk_0,Peter is sitting in his fancy law office.,"Peter's law office, scene involving Carl visiting with burgers."
71、INT. PETER'S LAW OFFICE,doc_70_chunk_0,Peter is eating a burger.,"Peter's law office, scene involving Carl visiting with burgers."
27、INT. STACKERS - LATER,doc_26_chunk_0,"Peter stands with Carl, Lucy and Kath while waiting with a big crowd of people to sit down for brunch.",
27、INT. STACKERS - LATER,doc_26_chunk_0,"Peter tells Carl, If you don't want to be here, you don't have to be.",
27、INT. STACKERS - LATER,doc_26_chunk_0,"Peter mentions his Oakleys, polarized lenses, indestructible, and the cost of two fifty.",
144、INT. RUDY'S - NIGHT,doc_143_chunk_0,"Peter, Lucy, Rooney, Norman, Tony, Loan Recipients, several Persian Woman -- all of Carl's friends along with everyone that he's met on his Yes journey have gathered at Rudy's.","Rudy's, gathering of Carl's friends and people from his Yes journey."
144、INT. RUDY'S - NIGHT,doc_143_chunk_0,PETER Why does he want us here?,"Rudy's, during the gathering of Carl's friends and people from his Yes journey."
