doc_title,chunk_id,text,scene_context
14、INT. VENTILATION SHAFT - CONT.,doc_13_chunk_0,What are the choices?,"In a shaft intersection, PAYTON (on radio) asks BOWER about the choices."
32、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_31_chunk_2,"This is no regular transport. We're not out collecting data off the belt or hauling cargo... we are the cargo. It was a single launch trajectory for...That's as far as his memory allows, his words trailing off.","Control room, speaking with BOWER about being the cargo"
25、INT. SLEEP CHAMBER/CONTROL DESK,doc_24_chunk_0,Bower...? You alright? BOWER!?,"Continued scene: PAYTON speaks to Bower, asking if he is alright."
31、INT. MESS HALL - LATER,doc_30_chunk_16,"with that marking, she's got to be part of the passenger manifest. Possibly a glitch in the LFS support system, a breakdown in the main grid must have woken passengers, instead of the flight crew.",On radio: discussing passenger manifest and system glitch.
20、INT. VENTILATION SHAFT - CONT.,doc_19_chunk_0,I remember... being interviewed. My mother seeing me on the news. This flight was... like no other. We weren't just pilots...,"Shaft, PAYTON on radio discussing flight memories"
12、INT. VENTILATION SHAFT - LATER,doc_11_chunk_0,How we doing?,"In a shaft, PAYTON asks BOWER about progress over radio."
32、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_31_chunk_1,"Either way we can't assume help will be coming. On-board or off. Out here, there is no rescue. There is no turning around. This thing wasn't even built... to return.","In a spacecraft, PAYTON discusses the lack of rescue and the ship's design."
42、INT. INFIRMARY,doc_41_chunk_1,"No, no, no. You're talking about- Eden was lost because of a mechanical failure, I simple as that. A systems malfunction.","In a space setting, PAYTON speaks to BOWER about Eden's loss."
13、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_12_chunk_0,"Power surges keep coming across in longer increments, just like you said.","Control desk, discussing power surges and plans to run a dyno or get pizza."
13、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_12_chunk_0,I'm gonna keep trying to get inside and run a dyno. Or at least try to get a pizza delivered.,"Control desk, discussing power surges and plans to run a dyno or get pizza."
31、INT. MESS HALL - LATER,doc_30_chunk_13,Is that you!?,"PAYTON on radio, asking 'Is that you?', as Bower flips radio off and a hunter turns back."
35、INT. OFFICERS QUARTERS,doc_34_chunk_2,And then we would be no closer to getting out of this situation with even less time to regain control of the ship.,"On a ship, PAYTON speaks to BOWER about regaining control of the ship and saving the crew."
35、INT. OFFICERS QUARTERS,doc_34_chunk_2,"Our job is to obtain control of this ship. Once we've taken control of the systems, finding them would be easy. Are you hearing me? We save the ship... we can save them all.","On a ship, PAYTON speaks to BOWER about regaining control of the ship and saving the crew."
33、INT. OFFICER'S QUARTERS - CONT.,doc_32_chunk_1,What?,"BOWER questions PAYTON about his wife on the flight, referencing the recruitment and breeding tests."
18、INT. VENTILATION SHAFT,doc_17_chunk_0,Yeah. I'm kidding you.,"On radio, PAYTON reassures BOWER after his shock."
18、INT. VENTILATION SHAFT,doc_17_chunk_0,"There ya go. Now just breath. Easy, pal. Easy. We'll get you through this. We'll figure this out together. Hear me? I do remember something.","On radio, PAYTON reassures BOWER after his shock."
102、INT. CORRIDOR - CONT.,doc_101_chunk_2,STOP IT!,"Struggle with GALLO, PAYTON enraged"
102、INT. CORRIDOR - CONT.,doc_101_chunk_2,I'll FUCKING CARVE YOU UP!,"Struggle with GALLO, PAYTON threatening to carve GALLO"
26、INT. STORAGE COMPARTMENT - CONT.,doc_25_chunk_0,Bower? Do you hear me? Bower...?,"INT. SLEEP CHAMBER/CONTROL DESK - CONT., Payton trying to contact Bower"
16、INT. VENTILATION SHAFT - LATER,doc_15_chunk_1,"Easy, pal. Breath easy. Listen to me-",Shaft: PAYTON calms BOWER during panic
16、INT. VENTILATION SHAFT - LATER,doc_15_chunk_1,"Calm down. Listen, you gave it a shot. Let's get you back here.",Shaft (via radio): PAYTON reassures BOWER
35、INT. OFFICERS QUARTERS,doc_34_chunk_1,"Hold it, hold it! Think about this for a SECOND","On a ship, searching for a passenger with BOWER."
35、INT. OFFICERS QUARTERS,doc_34_chunk_1,"No, listen to me! LISTEN! You know how big this ship is and there's no way of knowing exactly where- If you go on some wild goose chase to try to find her-","On a ship, searching for a passenger with BOWER."
44、INT. CORRIDOR,doc_43_chunk_0,Why do you say that?,"Corridor, PAYTON (on radio) questions BOWER's confusion"
21、INT. SLEEP CHAMBER/CONTROL DESK,doc_20_chunk_0,Bower!? What happened? Bower!?,"Console, PAYTON radioing Bower during power surge"
102、INT. CORRIDOR - CONT.,doc_101_chunk_3,It's for the best... Corporal.,Room: PAYTON and GALLO speaking together about the injection.
20、INT. VENTILATION SHAFT - CONT.,doc_19_chunk_1,We were... heroes. We were-,"Shaft, radio conversation with BOWER about intruder and past heroism"
20、INT. VENTILATION SHAFT - CONT.,doc_19_chunk_1,What?,"Shaft, radio conversation with BOWER about intruder and past heroism"
20、INT. VENTILATION SHAFT - CONT.,doc_19_chunk_1,What's wrong?,"Shaft, radio conversation with BOWER about intruder and past heroism"
23、INT. SLEEP CHAMBER/CONTROL DESK,doc_22_chunk_0,Bower...!?,"In a room, PAYTON speaks with BOWER about BOWER's escape."
23、INT. SLEEP CHAMBER/CONTROL DESK,doc_22_chunk_0,"Jesus, don't scare me like that! Where are you?","In a room, PAYTON speaks with BOWER about BOWER's escape."
46、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_45_chunk_0,Bower!? Bower!? Answer me God Dammit!,"At flickering monitors, PAYTON gripping radio, calling Bower"
36、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_35_chunk_0,Alright. I'll lay out a path for you and see if we can by-pass the main security doors.,"Inside ship, PAYTON (via radio) instructs BOWER on bypassing security doors to reach flight decks."
36、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_35_chunk_0,Back toward the flight decks. Back to me.,"Inside ship, PAYTON (via radio) instructs BOWER on bypassing security doors to reach flight decks."
32、INT. SLEEP CHAMBER/CONTROL DESK - CONT.,doc_31_chunk_0,If they're in there... why haven't they thrown the security hammer into lock down? Seal and freeze it until the emergency units wake?,"At the doors, PAYTON discusses security protocols with BOWER"
44、INT. CORRIDOR,doc_43_chunk_10,"Bower, you tell this asshole the chain of command and a direct order to-","On ship, PAYTON (on radio) instructs BOWER to relay chain of command and a direct order to SHEPARD."
102、INT. CORRIDOR - CONT.,doc_101_chunk_1,STAY BACK-,Fight scene: PAYTON warns GALLO to stay back.
