doc_title,chunk_id,fact,scene_context
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_6,The target character gave up his private practice.,
75、INT. GARAGE -- NIGHT,doc_74_chunk_2,St. Luc physically intervenes by pulling the doorman off Forsythe.,
65、INT. INCINERATOR ROOM -- NIGHT,doc_64_chunk_1,St. Luc examines the parasite under a light source near the incinerator.,
75、INT. GARAGE -- NIGHT,doc_74_chunk_1,St. Luc is struck in the temple by the doorman.,
75、INT. GARAGE -- NIGHT,doc_74_chunk_1,St. Luc fires a gun three times into the doorman's upper body.,
55、INT. HALLWAY -- NIGHT,doc_54_chunk_1,St. Luc rushes to assist Mrs. Spergazzi when she is slumping.,
55、INT. HALLWAY -- NIGHT,doc_54_chunk_1,St. Luc asks Mr. Spergazzi what happened to Mrs. Spergazzi.,
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_27,St. Luc agrees to consider the proposal to work together.,"Scene: At the end of a meeting, before leaving the room."
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_27,St. Luc is responsible for opening the store.,"Scene: Before departing, he states the need to open the store."
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_3,St. Luc is the head of the medical clinic.,Scene where the detective identifies St. Luc at the crime scene.
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_3,St. Luc examined the chalk outline of Hobbes's body at the crime scene.,Scene where Annabelle's corpse is being removed and the detective speaks to St. Luc.
55、INT. HALLWAY -- NIGHT,doc_54_chunk_4,St. Luc assigns Nurse Forsythe to treat a patient for second-degree burns in apartment 703.,
55、INT. HALLWAY -- NIGHT,doc_54_chunk_4,St. Luc instructs Nurse Forsythe to wait for him in apartment 703 and not open the door for anyone except himself.,
65、INT. INCINERATOR ROOM -- NIGHT,doc_64_chunk_0,St. Luc retrieves the tattered corpse of Spergazzi's parasite from the incinerator using the hook on the poker's tip.,
65、INT. INCINERATOR ROOM -- NIGHT,doc_64_chunk_0,"St. Luc uses a flashlight to illuminate the interior of the incinerator, revealing the parasite's corpse.",
43、INT. ST. LUC'S OFFICE -- NIGHT,doc_42_chunk_1,St. Luc agrees to have supper at Forsythe's place.,"Scene: In St. Luc's office, after Forsythe invites him for a late supper."
43、INT. ST. LUC'S OFFICE -- NIGHT,doc_42_chunk_1,St. Luc indicates that he will be delayed due to a meeting with Rollo at Tudor's.,"Scene: In St. Luc's office, during conversation with Forsythe."
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_6,St. Luc confirms he did not touch or move anything at the scene before the detective arrived.,
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_6,"St. Luc knew Emil Hobbes, who was a doctor and professor during St. Luc's time in medical school.",
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_6,St. Luc identifies Emil Hobbes as his professor in urology and a seminar instructor in psychopharmacology.,
52、INT. ST. LUC'S OFFICE -- NIGHT,doc_51_chunk_2,St. Luc decides to go to Forsythe's place to verify the outcome of her confrontation with the man she stabbed.,
52、INT. ST. LUC'S OFFICE -- NIGHT,doc_51_chunk_2,St. Luc agrees to let Forsythe accompany him to her place after initially hesitating.,
52、INT. ST. LUC'S OFFICE -- NIGHT,doc_51_chunk_2,St. Luc retrieves his black leather doctor's bag before leaving with Forsythe.,
65、INT. INCINERATOR ROOM -- NIGHT,doc_64_chunk_5,"St. Luc is injured, as evidenced by scratches and bleeding.","Basement scene: After the confrontation with the man, St. Luc is seen scratched and bleeding while staggering up the steps."
65、INT. INCINERATOR ROOM -- NIGHT,doc_64_chunk_5,St. Luc exits the basement after the confrontation with the man.,Basement scene: St. Luc staggers up the basement steps following the man's death.
81、INT. GYM -- NIGHT,doc_80_chunk_0,St. Luc successfully helps Forsythe to sit up.,
81、INT. GYM -- NIGHT,doc_80_chunk_0,St. Luc determines there is no detectable injury in Forsythe.,
81、INT. GYM -- NIGHT,doc_80_chunk_0,St. Luc begins removing the barricade from the door after assessing Forsythe's condition.,
71、INT. MAIN DOORS -- NIGHT,doc_70_chunk_3,St. Luc attempts to contact the nurse by asking Mr. Spergazzi to let him speak to her.,
71、INT. MAIN DOORS -- NIGHT,doc_70_chunk_3,St. Luc moves toward the door after learning the nurse has left to look for him.,
71、INT. MAIN DOORS -- NIGHT,doc_70_chunk_3,St. Luc exits through the stairway leading to the incinerator.,
27、INT. ST. LUC'S EXAMINATION ROOM -- NIGHT,doc_26_chunk_3,St. Luc writes in Parkins' file.,
27、INT. ST. LUC'S EXAMINATION ROOM -- NIGHT,doc_26_chunk_3,St. Luc instructs Parkins to get dressed.,
27、INT. ST. LUC'S EXAMINATION ROOM -- NIGHT,doc_26_chunk_3,St. Luc provides Parkins with a slip of paper for hospital X-rays.,
27、INT. ST. LUC'S EXAMINATION ROOM -- NIGHT,doc_26_chunk_3,St. Luc directs Parkins to go to the hospital for diagnostic imaging.,
82、INT. STAIRWELL -- NIGHT,doc_81_chunk_2,"St. Luc releases Forsythe, resulting in her sinking to the floor.",
82、INT. STAIRWELL -- NIGHT,doc_81_chunk_2,St. Luc abandons Forsythe in the presence of the swarming residents.,
82、INT. STAIRWELL -- NIGHT,doc_81_chunk_2,St. Luc begins moving up the stairs while engaging in physical confrontation with the residents.,
83、INT. SWIMMING POOL -- NIGHT,doc_82_chunk_0,St. Luc reaches the door leading from the South Tower into the swimming pool.,
83、INT. SWIMMING POOL -- NIGHT,doc_82_chunk_0,St. Luc enters the swimming pool area through the door from the South Tower.,
83、INT. SWIMMING POOL -- NIGHT,doc_82_chunk_0,St. Luc observes two women swimming in the deep end of the pool.,
75、INT. GARAGE -- NIGHT,doc_74_chunk_4,"St. Luc successfully avoids a collision with another car by swerving, though he damages his fender on a concrete post.",
75、INT. GARAGE -- NIGHT,doc_74_chunk_4,"St. Luc uses a gun to shoot at residents emerging from another car, causing one to fall back and block the others.",
75、INT. GARAGE -- NIGHT,doc_74_chunk_4,St. Luc physically removes Forsythe from the car and carries her toward the incinerator door.,
75、INT. GARAGE -- NIGHT,doc_74_chunk_0,St. Luc locates Forsythe's car in the middle of the exit ramp.,Garage scene: St. Luc finds Forsythe's car during his search.
75、INT. GARAGE -- NIGHT,doc_74_chunk_0,St. Luc removes the doorman's gun from its holster.,Garage scene: St. Luc takes the doorman's weapon during the confrontation.
75、INT. GARAGE -- NIGHT,doc_74_chunk_0,St. Luc uses the doorman's gun to attack the doorman.,Garage scene: St. Luc strikes the doorman with the gun.
82、INT. STAIRWELL -- NIGHT,doc_81_chunk_1,St. Luc attempts to move up the stairs to reach the main doors where Rollo and the police are expected to be.,
82、INT. STAIRWELL -- NIGHT,doc_81_chunk_1,St. Luc is physically impeded by residents who attack him on the stairs.,
82、INT. STAIRWELL -- NIGHT,doc_81_chunk_1,St. Luc successfully prevents Forsythe from falling completely when she is dragged from his shoulders.,
82、INT. STAIRWELL -- NIGHT,doc_81_chunk_1,St. Luc supports Forsythe's limp body against the stairway wall.,
77、INT. GYM -- NIGHT,doc_76_chunk_0,St. Luc brings Forsythe into the gym and lays her down on a gym mat.,The gym scene: St. Luc enters the gym with Forsythe and places her on a mat.
77、INT. GYM -- NIGHT,doc_76_chunk_0,St. Luc barricades the gym door using a box horse and a weight-lifting table.,"The gym scene: After entering, St. Luc secures the door with equipment."
77、INT. GYM -- NIGHT,doc_76_chunk_0,St. Luc kneels beside Forsythe while she regains consciousness.,The gym scene: St. Luc positions himself beside Forsythe as she begins to wake.
41、INT. ST. LUC'S OFFICE -- NIGHT,doc_40_chunk_0,St. Luc identifies that Annabelle was a popular girl around Starliner Towers.,
41、INT. ST. LUC'S OFFICE -- NIGHT,doc_40_chunk_0,"St. Luc discovers that three or four men have unidentified, pathogenic abdominal growths.",
41、INT. ST. LUC'S OFFICE -- NIGHT,doc_40_chunk_0,St. Luc determines that Hobbes was unaware of Annabelle's social connections at Starliner Towers.,
