doc_title,chunk_id,text,scene_context
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_12,"Yeah, you could say it's me.",
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_3,I'm too moved by your gentility to speak.,
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_2,You said.,Scene with Rayette in a room with a stereo; Bobby responds to her reminding him about helping pick a song.
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_0,"Go on, get up there...","Scene: At a bowling alley, Bobby speaks to Rayette, encouraging her to bowl her turn."
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_7,You can sing the song.,
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_7,"That's right, hand.",
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_8,No. How much do I owe you?,A diner; Bobby speaks to a waitress who is asking if he needs anything else.
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_1,... and stay relaxed this time.,
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_1,"Now don't loft it, just release it like I told you.",
102、EXT. MEN'S ROOM - GAS STATION - DAY,doc_101_chunk_0,"Hey, wait a minute.","Remote angle at a truck stop; Bobby calls out to the semi driver as he exits the men's room, before having a brief exchange and getting into the passenger seat."
123、INT. BOBBY'S CAR - FREEWAY - DAY,doc_122_chunk_0,I can't take this shit anymore.,
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_6,"Wasn't it, ladies?",
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_6,"Yeah, why don't you do that.",
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_7,"Okay. Go ahead. I'll settle up for the beers... An' walk Rayette over with you, will you.","Scene: At a bowling alley, Bobby speaks to Elton after a game, agreeing to join him later and asking him to take Rayette home."
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_5,"Yeah, great. Why don't you throw Z's for frames, and then roll a strike on the last ball in the last frame of a losing game? Just wonderful.","Scene in a bowling alley; Bobby speaks to Rayette after her performance, responding sarcastically to her excitement."
138、EXT. REAR OF DINER - LATE NIGHT,doc_137_chunk_1,Rayette...,
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_4,You're playing the other side.,
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_4,Cerveza.,
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_4,"Now, now.",
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_4,But you heal fast.,
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_1,You're not going to play it again.,"In a room, Bobby stops Rayette from replaying a song; the conversation is about playing music."
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_1,No.,"In a room, Bobby refuses Rayette's request to play the other side of a record; the conversation is about playing music."
140、EXT. SIGNAL HILL RIG - DAY,doc_139_chunk_11,"Christ Almighty, what's happening here?",
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_13,"Well, you seem very professional...","Scene: At a scoring table, Bobby speaks to Twinky after she writes down her number and mentions being a professional."
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_13,"Yeah, I can see how she'd come in handy.","Scene: At a scoring table, Bobby speaks to Twinky after glancing at Betty, referring to her small stature."
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_2,"Elton and Stoney know how I feel about you. An' they're just goin' to think I'm not too nice a guy, which I'm not, an' that you're a hell of a person puttin' up with me, that's all.",
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_2,"Sssh, come on now... Be a good girl.",
140、EXT. SIGNAL HILL RIG - DAY,doc_139_chunk_8,Hey! What's goin' on?!,
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_2,It's not the damn ball.,
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_2,"No, I'm not mad at you, hand. It'll
be all right. Just spot and follow
through...",
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_2,Shit.,
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_2,"Nice ball, El.",
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_6,"Why'nt you take 'at sign off your tit, Ray, an' let's go on out.","Scene: In a room, Bobby speaks to Rayette, suggesting they go out somewhere."
113、INT. RAYETTE'S LIVING ROOM - NIGHT,doc_112_chunk_6,"I don't know, I'll holler up Elton an' Stoney...","Scene: In a room, Bobby speaks to Rayette, suggesting he call friends to go out."
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_9,Am I on TV?,Scene with Twinky and Betty; Bobby is asked if he is the person who sells cars on TV.
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_9,"Well, I don't claim to have sold 'em all. They still have some left, I believe.",Scene with Twinky and Betty; Bobby responds to being credited for selling all the cars on TV.
115、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_114_chunk_2,"Elton and Stoney know how I feel about you. An' they're just goin' to think I'm not too nice a guy, which I'm not, an' that you're a hell of a person puttin' up with me, that's all.",
115、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_114_chunk_2,"Sssh, come on now... Be a good girl.",
140、EXT. SIGNAL HILL RIG - DAY,doc_139_chunk_12,"Tell me what in the hell's going on, Elton!",Scene with Elton and two other men; Bobby confronts Elton about his situation.
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_3,I'm not going to get up an' leave you.,"In a private setting with Rayette, discussing leaving her."
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_3,Now let's go over to El's an' have a good time.,"In a private setting with Rayette, suggesting they go out."
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_3,"Well now, what do you think?","In a private setting with Rayette, responding to her question about love."
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_1,"No one would want to hit on you, you look too pathetic.",
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_1,"Come on, DiPesto. We can still have a good time.",
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_1,I'm going on over there...,
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_1,I know you're not.,
11、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_10_chunk_1,I'm sorry.,
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_10,I leave it to you.,"Scene: In a diner, Bobby responds to Betty who mistakes his name."
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_10,Twinky?,"Scene: In a diner, Bobby reacts to Twinky's nickname while speaking with Betty and Twinky."
114、INT. BOWLING ALLEY - NIGHT,doc_113_chunk_10,"Well, Betty and Twinky, it sure is nice talking to you girls. I just wish I had more time...","Scene: In a diner, Bobby speaks to Betty and Twinky before leaving."
115、EXT. BOWLING ALLEY PARKING LOT - NIGHT,doc_114_chunk_1,"No one would want to hit on you, you look too pathetic.",
