doc_title,chunk_id,description,scene_context
13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY,doc_12_chunk_4,The Hammer makes the realization.,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_6,The Hammer calls out from the bathroom.,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_12,The Hammer shakes his head in frustration.,
13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY,doc_12_chunk_1,The Hammer quickly removes his feet from the table.,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_10,This puts the Hammer into a neurotic fit.,
13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY,doc_12_chunk_6,The Hammer stops himself and glances over Esther's shoulder.,
14、EXT. MRS. CARVER'S HOUSE - SHABAT,doc_13_chunk_1,The Hammer pulls a bottle of wine out from a paper bag.,
19、INT. KARATE ROOM - CONTINUOUS,doc_18_chunk_3,The Hammer is a bit taken back.,
23、INT. KWANZAA LIBERATION FRONT HQ - MOMENTS LATER,doc_22_chunk_11,He hands it to the Hammer.,
13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY,doc_12_chunk_5,"HAMMER I'm sorry to hear about Santa. He was a good friend, but my days...",
23、INT. KWANZAA LIBERATION FRONT HQ - MOMENTS LATER,doc_22_chunk_13,The Hammer returns the gesture.,
19、INT. KARATE ROOM - CONTINUOUS,doc_18_chunk_0,The Hammer returns the gesture.,"Inside, as the Group Leader bows with his hands folded in front of him as a sign of respect."
13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY,doc_12_chunk_10,The Hammer looks directly into the camera and shakes his head proudly.,"CUT TO: The Hammer is in the office with Esther, preparing to leave."
23、INT. KWANZAA LIBERATION FRONT HQ - MOMENTS LATER,doc_22_chunk_2,The Hebrew Hammer embraces Mohammed in a warm hug.,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_7,The Hammer begins his walk back to the table.,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_7,The Hammer sits down.,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_1,The Hammer exchanges looks with Esther.,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_1,"The Hammer says Mom, I think we've had enough.",
