doc_title,chunk_id,text,scene_context
211、INT. LANDY'S OFFICE -- DAY,doc_210_chunk_0,I guess I owe you an apology.,
204、INT. AIRPORT TERMINAL,doc_203_chunk_0,It's a hell of a risk.,Airport: Landy and Cronin discuss the risk of Bourne's actions.
203、INT. CRONIN'S OFFICE -- DAY,doc_202_chunk_0,They don't know.,"Office, discussing Vosen's knowledge of Bourne's survival."
301、EXT. HOSPITAL -- LATE AFTERNOON,doc_300_chunk_0,"Oh, my God...","Landy examines the Blackbriar Operations File in her backpack, discovering future victims with 'US citizen' stamps."
140、INT. DAY. LANDY'S OFFICE -- CRI,doc_139_chunk_0,This just keeps getting worse...,"At her desk, Landy reacts to Cronin's report on Daniels' passport and bank transfer."
209、INT. LANDY'S OFFICE,doc_208_chunk_0,Bourne?,"Landy and Cronin, Landy questions Bourne"
146、INT. DAY. PENSIONE -- TANGIER,doc_145_chunk_1,It's Pamela Landy for him. Would you tell him it's urgent?,"Scene A: Landy's office, day 148CA, speaking to an assistant about urgent matter with Kramer."
163、INT. HUB - DAY,doc_162_chunk_3,I'm asking on what basis you're continuing this operation.,Office confrontation with Vosen regarding the operation and Nicky Parsons
163、INT. HUB - DAY,doc_162_chunk_3,"This is about Daniels, not Nicky!",Office confrontation with Vosen regarding the operation and Nicky Parsons
163、INT. HUB - DAY,doc_162_chunk_3,You don't know the circumstances!,Office confrontation with Vosen regarding the operation and Nicky Parsons
163、INT. HUB - DAY,doc_162_chunk_3,You don't have the authority to kill her or Bourne!,Office confrontation with Vosen regarding the operation and Nicky Parsons
163、INT. HUB - DAY,doc_162_chunk_3,She's one of our own. You start down this path...where does it end?!,Office confrontation with Vosen regarding the operation and Nicky Parsons
205、INT. CRONIN'S OFFICE,doc_204_chunk_0,Maybe we should communicate back.,"With Cronin, discussing Bourne's communication."
205、INT. CRONIN'S OFFICE,doc_204_chunk_0,Because I think I know what,"With Cronin, discussing Bourne's communication."
205、INT. CRONIN'S OFFICE,doc_204_chunk_0,Bourne's looking for.,"With Cronin, discussing Bourne's communication."
190、INT. DAY. LANDY'S OFFICE -- DAY,doc_189_chunk_0,Confirmed?,Cronin reports Bourne and Nicky are dead; Landy asks for confirmation.
190、INT. DAY. LANDY'S OFFICE -- DAY,doc_189_chunk_0,Get me a copy of Bourne's personnel file.,Cronin states death not confirmed; Landy requests Bourne's personnel file.
258、INT. CRONIN'S CAR -- DAY,doc_257_chunk_0,What just happened?,"In a sedan, Landy questions Cronin about Bourne entering Vosen's safe."
258、INT. CRONIN'S CAR -- DAY,doc_257_chunk_0,What?!,"In a sedan, Landy reacts to Cronin's news about Bourne."
258、INT. CRONIN'S CAR -- DAY,doc_257_chunk_0,East 71st Street.,"In a sedan, Landy gives the destination East 71st Street to Cronin."
96、INT. DAY. POSH HOTEL -- NEW YORK CITY,doc_95_chunk_0,Nothing for me.,Restaurant: Declining menu with waiter
8、INT. KRAMER'S OFFICE -- DAY,doc_7_chunk_4,Right.,"With Kramer, discussing Bourne's last known location and current search."
8、INT. KRAMER'S OFFICE -- DAY,doc_7_chunk_4,I think he's looking for something he hasn't found.,"With Kramer, discussing Bourne's last known location and current search."
8、INT. KRAMER'S OFFICE -- DAY,doc_7_chunk_4,I'm not sure. Maybe he hasn't gotten his memory back yet. Not all of it.,"With Kramer, discussing Bourne's last known location and current search."
213、INT. LANDY'S OFFICE,doc_212_chunk_0,Wait. Wait.,"At her desk, Landy speaks."
96、INT. DAY. POSH HOTEL -- NEW YORK CITY,doc_95_chunk_2,This doesn't feel like Bourne to me.,"With Vosen, discussing Bourne's threat and Treadstone."
96、INT. DAY. POSH HOTEL -- NEW YORK CITY,doc_95_chunk_2,"Probably because it's coming from you, Noah.","With Vosen, discussing Bourne's threat and Treadstone."
141、INT. VOSEN'S OFFICE,doc_140_chunk_3,"You just decide? No oversight.
No checks and balances.",Landy and Vosen discussing lethal action authorization without oversight
8、INT. KRAMER'S OFFICE -- DAY,doc_7_chunk_5,If he just wanted to hurt us he could have sent this tape to CNN.,Kramer and Landy discussing a threat and a tape.
314、INT. OFFICE -- LATE AFTERNOON,doc_313_chunk_0,You better get a good lawyer.,"Room, Landy speaks and then exits."
8、INT. KRAMER'S OFFICE -- DAY,doc_7_chunk_2,"His girlfriend, Marie. She was killed in India three weeks ago.",Cronin shows Kramer a picture of Marie; Landy explains Marie was his girlfriend killed in India three weeks ago.
100、INT. DAY. CRI HUB -- NEW YORK CITY,doc_99_chunk_1,"So, what, Bourne met Ross for breakfast and then, at noon the same day Bourne calls Ross to demand a meet at Waterloo?",Landy questions Bourne and Ross's meeting timeline with CRONIN and VOSEN present.
100、INT. DAY. CRI HUB -- NEW YORK CITY,doc_99_chunk_3,"I mean if your people use their cell phones as much as mine do, the list should be pretty small","In a room with technicians, Landy speaks to Cronin about cell phone usage and a small list."
96、INT. DAY. POSH HOTEL -- NEW YORK CITY,doc_95_chunk_4,I'm going to the office now. I'll make my own introductions.,Landy informs Vosen he is going to the office to make his own introductions.
100、INT. DAY. CRI HUB -- NEW YORK CITY,doc_99_chunk_5,"Neal Daniels. He's Station Chief in Madrid now, isn't he?","In a room with computer screen, Landy speaks with Cronin about Neal Daniels' position as Station Chief in Madrid."
100、INT. DAY. CRI HUB -- NEW YORK CITY,doc_99_chunk_2,"The guy you're after is a CIA operative with clearance above Top Secret. He was committing treason by talking to Ross. Do you really think, while doing that, he used a cell phone he knows we can track?","Landy discusses the CIA operative and cell phone tracking with TECH 3, VOSEN, and WILLS."
100、INT. DAY. CRI HUB -- NEW YORK CITY,doc_99_chunk_2,"Yeah, I'd look at all the people whose cell phones were switched off the entire period Ross was in Turin.",Landy responds to WILLS' question about having a better idea.
215、INT. HUB -- BACK ROOM,doc_214_chunk_0,"You were born 4/15/71 in Nixa, Missouri.",
100、INT. DAY. CRI HUB -- NEW YORK CITY,doc_99_chunk_4,"Now check everything in Ross's apartment against those names. Look for common patterns, look for - CRONIN Initials .....Bring that up on main.",The HUB: Landy instructs the HUB employees to check Ross's apartment against the names on screen for common patterns and CRONIN initials.
131、INT. HUB,doc_130_chunk_0,"The only way this has a happy ending, Noah, is if we find a way to bring Bourne in voluntarily.",Landy and Vosen discuss bringing Bourne in voluntarily.
100、INT. DAY. CRI HUB -- NEW YORK CITY,doc_99_chunk_6,Heavy?,Landy and Vosen discussing Daniels and Bourne
299、EXT. NEW YORK -- HOSPITAL -- LATE AFTERNOON,doc_298_chunk_0,/15/71 isn't much of a code. My guess is Vosen's already on his way.,"Sidewalk outside the lobby, speaking to Bourne"
299、EXT. NEW YORK -- HOSPITAL -- LATE AFTERNOON,doc_298_chunk_0,"This isn't us, David. What they turned you into, what they're doing with Blackbriar... This has to stop.","Sidewalk outside the lobby, speaking to Bourne"
141、INT. VOSEN'S OFFICE,doc_140_chunk_1,"I think the world's well aware we have a rendition and lethal action capability at this point, Noah.",Landy and Vosen: enemy playbook and authority to kill
141、INT. VOSEN'S OFFICE,doc_140_chunk_1,You still don't have the authority to kill him.,Landy and Vosen: enemy playbook and authority to kill
96、INT. DAY. POSH HOTEL -- NEW YORK CITY,doc_95_chunk_3,So what happened at Waterloo?,Speaking with Vosen about the Waterloo incident.
96、INT. DAY. POSH HOTEL -- NEW YORK CITY,doc_95_chunk_3,And the reporter ended up dead?,Speaking with Vosen about the Waterloo incident.
96、INT. DAY. POSH HOTEL -- NEW YORK CITY,doc_95_chunk_3,So what was he doing?,Speaking with Vosen about the Waterloo incident.
96、INT. DAY. POSH HOTEL -- NEW YORK CITY,doc_95_chunk_3,The real question is how you managed to get in a fire fight in the middle of a public train station.,Speaking with Vosen about the Waterloo incident.
163、INT. HUB - DAY,doc_162_chunk_2,"No. Noah, what are you doing?",Speaking to Vosen about his actions
163、INT. HUB - DAY,doc_162_chunk_2,Now. I want to know what's going on.,Speaking to Vosen about the current situation
