doc_title,chunk_id,text,scene_context
35. 曹总车里 夜内,doc_34_chunk_0,而且现在呢，越长越恐怖。好，感谢这位听众。,车内，陈末向听众广播。
25. 播音室 日内,doc_24_chunk_0,幺鸡一发飙，收听率狂飙。见了鬼了！,查看播音收听率数据时
40. 重庆街头 夜外,doc_39_chunk_0,有的爱情自然发生…,画外音：爱情主题
41. 公司楼下 日外,doc_40_chunk_0,有的爱情无故消失。你看得见，但无法改变。,下雨的街道，陈末在楼上窗户，画外音表达爱情无故消失。
21. 播音室／面馆 夜内 （互切）,doc_20_chunk_2,下一个,播音中，陈末继续主持节目。
30. 播音室 日 内,doc_29_chunk_0,我好像听到了我的名字。,下楼时，陈末听到小容的对话。
30. 播音室 日 内,doc_29_chunk_0,她的话太污了，赶紧把耳朵堵起来。,下楼时，陈末对幺鸡说她的话太污。
20. 胡同 日外,doc_19_chunk_0,我觉得老城区也快拆了，就别撕了。,老城区街道，陈末与荔枝讨论老城区拆除。
20. 胡同 日外,doc_19_chunk_0,欸！,老城区街道，陈末回应荔枝要求撕小广告。
24. 办公室 日内,doc_23_chunk_0,我的粉丝们疯了吗？每天守着收音机，不用关心这个社会吗？快拍我马屁！,电台，小容离开后，陈末自言自语。
16. 天台 日外,doc_15_chunk_0,在我家蹭吃蹭住成了一种默契。可怕的是，我居然习惯了他们的存在。,分外卖时，陈末的内心独白
16. 天台 日外,doc_15_chunk_0,你说你们啊，四肢健全，你打断一胳膊，你出去讨饭也行啊！,分外卖时，陈末对猪头和茅十八说话
16. 天台 日外,doc_15_chunk_0,烫、烫、烫嘴！,吃饭时，陈末对猪头说烫嘴
1、雨夜 街头\出租车内,doc_0_chunk_0,"我希望有个如你一般的人，如山涧清爽的风，如古城温暖的光，只要最后是你就好。今天你路
过了谁，谁丢失了你呢？从你的全世界路过……",重庆街头雨天，车载电台播放陈末节目台词。
3. 雨夜 街头,doc_2_chunk_0,"我偷偷的告诉你，有一个地方，叫稻城。我要和我最心爱的人，一起去趟那里，看蔚蓝的天空，
看白色的雪山，看金黄的草地……",户外，女孩通过收音机收听陈末节目，分享稻城旅行计划。
13. 重庆街头 日外,doc_12_chunk_0,是一个没有梦想的发明家。,茅十八发明电饭锅时，陈末画外音
13. 重庆街头 日外,doc_12_chunk_0,在发明的路途上老是闯祸。成功吸引了人民女警察荔枝的注意力。,电饭锅爆炸后，荔枝出场，陈末画外音
34. 播音室 夜内,doc_33_chunk_0,这里是 City Radio FM90.2，从你的全世界路过。我是陈末。,电台直播开场
34. 播音室 夜内,doc_33_chunk_0,可是，生活是漫长的，如果你在生活当中做了一个错误的决定，你就肯定彻底地陷入了煎熬，而且很恐怖。拿我自己举个例子吧。我的前女友，当她放弃我之后，就彻底地陷入了煎熬。,电台直播中，陈末回应观众女的婚姻问题
12. 天台 日外,doc_11_chunk_0,这是我妈，三年前开始老年痴呆，其他都挺好，就是做饭太不讲道理。什么都往锅里搁。,饭桌旁，陈末画外音描述家庭成员
12. 天台 日外,doc_11_chunk_0,这是我表弟，茅十八。,饭桌旁，陈末画外音描述家庭成员
12. 天台 日外,doc_11_chunk_0,喜欢倒腾电器。,饭桌旁，陈末画外音描述家庭成员
21. 播音室／面馆 夜内 （互切）,doc_20_chunk_1,你好。,电台节目：陈末与听众讨论感情问题。
21. 播音室／面馆 夜内 （互切）,doc_20_chunk_1,你觉得你这怀疑有道理吗？,电台节目：陈末与听众讨论感情问题。
21. 播音室／面馆 夜内 （互切）,doc_20_chunk_1,俗话说，天涯何处无芳草，春风一吹绿油油。你这一绿起来呀，挡都挡不住。,电台节目：陈末与听众讨论感情问题。
21. 播音室／面馆 夜内 （互切）,doc_20_chunk_0,从你的全世界路过，大家好，我是陈末。今天的节目有点儿不一样，我们伟大的总监呢，给我配了一位才华横溢的实习生。,播音中，介绍节目和实习生
21. 播音室／面馆 夜内 （互切）,doc_20_chunk_0,她的名字叫作：幺鸡。当然，大家也可以不用理她。,播音中，介绍实习生幺鸡
2. 播音室 夜内,doc_1_chunk_0,我是陈末。,播音室，与小容对话
2. 播音室 夜内,doc_1_chunk_0,这位听众，你好。,播音室，接电话，与听众对话
2. 播音室 夜内,doc_1_chunk_0,噢！生日快乐。,播音室，接电话，与生日女孩对话
