doc_title,chunk_id,text,scene_context
121、INT. RADIO STATION - DAY,doc_120_chunk_0,"This is WRFN Radio Free Newberry cause that's what it does. Bringing you New Ones for the Nineties, a fresh new format designed to pull you out of what's come before, and reel you into what's coming soon--","Radio console, Debi introduces WRFN Radio Free Newberry's format."
169、INT. DEEJAY BOOTH,doc_168_chunk_0,Sit.,Studio: Debi tells Martin to sit after an embrace
183、INT. MARTIN'S SUITE - NIGHT - INTERCUT,doc_182_chunk_3,Are you there?,"Phone call with Martin, checking if he is there."
183、INT. MARTIN'S SUITE - NIGHT - INTERCUT,doc_182_chunk_3,Pick me up at my father's house at around seven. And don't be late this time.,"Arranging pickup at father's house with Martin, stressing punctuality."
183、INT. MARTIN'S SUITE - NIGHT - INTERCUT,doc_182_chunk_3,Hello...?,"After a beat, Debi checks again on the phone with Martin."
189、INT. DEN - CONTINUOUS,doc_188_chunk_3,Okay,"In a room, Debi speaks off-screen while Mr. Newberry watches Martin leave."
169、INT. DEEJAY BOOTH,doc_168_chunk_1,"All right mystery man. I want some answers. Let's recap. Spring of '84. Two young lovers with frightening natural chemistry. The girl sits in a seven-hundred dollar prom dress at her father's house waiting for the most romantic night of her young life. The boy never shows up, until now. So, what's the question?",Debi and Martin discuss Spring 1984 prom night incident.
169、INT. DEEJAY BOOTH,doc_168_chunk_1,"More like what happened? What happened, Mr. Blank?",Debi and Martin discuss Spring 1984 prom night incident.
121、INT. RADIO STATION - DAY,doc_120_chunk_1,"I tell you what's coming soon for me, or at least what I dreamed this morning in that weird time just before you actually wake up. But first this commercial. Back after this...",Studio: Debi discusses her dream and prepares to play a commercial.
162、INT. RADIO STATION - DAY,doc_161_chunk_4,Okay.,Martin and Debi in a farewell conversation.
169、INT. DEEJAY BOOTH,doc_168_chunk_2,Torn down in the name of convenience,Scene 11: Debi speaking with Martin about something being torn down in the name of convenience.
162、INT. RADIO STATION - DAY,doc_161_chunk_0,"WRFN playing all vinyl, all the time. Oldies from the eighties. That was ah... the Specials. Doing... one of their songs...","Radio station on-air broadcast after Martin's interruption, discussing station format and song"
169、INT. DEEJAY BOOTH,doc_168_chunk_6,Next caller.,Taking next caller
169、INT. DEEJAY BOOTH,doc_168_chunk_3,"Ohhh. You're in therapy too, Marty?",Debi and Marty discuss therapy and Marty's return after a decade.
169、INT. DEEJAY BOOTH,doc_168_chunk_3,"Uh, no. So you're back now, a decade later, and you want to sort things out with me. The question now is, do I allow you... access... to my being?",Debi and Marty discuss therapy and Marty's return after a decade.
153、INT. MARTIN'S CAR,doc_152_chunk_4,The best I can do is a rhyme: Where are all the good men dead? In the heart or in the head? Back later....,"Street scene, speaking to Martin about a rhyme on good men."
122、EXT. FRANK LLOYD WRIGHT HOUSE - DAY,doc_121_chunk_1,Other people can't.,"On the lawn, Debi and Martin discuss the future."
188、INT. NEWBERRY FOYER - CONTINUOUS,doc_187_chunk_0,Okay... Hold on...,"Hall, after Martin compliments Debi, Debi asks to hold on."
188、INT. NEWBERRY FOYER - CONTINUOUS,doc_187_chunk_0,...Let me get my coat.,"Hall, Debi's voice over as she prepares to get her coat."
197、INT. GYM - LATER,doc_196_chunk_6,"I don't know, Martin. It sounds like you're feeling compromised. Live the way you want. The only thing that's inexcusable, to me, is cynicism.",Speaking to Martin about feeling compromised and cynicism.
183、INT. MARTIN'S SUITE - NIGHT - INTERCUT,doc_182_chunk_4,You're fucking psycho.,Phone call with Martin; Debi calls him a psycho.
121、INT. RADIO STATION - DAY,doc_120_chunk_3,"Hey out there... Okay... I'm going to finish up that fantasy later. First I'll give you an hour of nonstop music... If I don't come back on after that-- well, nevermind.",Radio show: Debi returns after commercial break to announce music segment and possible sign-off.
199、INT. GYM - DEEJAY BOOTH - LATER,doc_198_chunk_0,Which would you rather...?,"Deejay booth on raised stage, playing sophomoric game with Martin"
169、INT. DEEJAY BOOTH,doc_168_chunk_4,All right then. Would you like to share any more deeply personal thoughts with our listening audience before we go to our phone poll and see how the folks in radioland come down on this one?,"Radio show, Debi speaking to Martin about the phone poll and audience opinion."
169、INT. DEEJAY BOOTH,doc_168_chunk_4,Should a broken-hearted girl give a guy a second chance at love....,"Radio show, Debi posing a love question to Martin."
169、INT. DEEJAY BOOTH,doc_168_chunk_4,You're on the air.,"Radio show, Debi instructing Martin to go on air."
162、INT. RADIO STATION - DAY,doc_161_chunk_2,"Well, let me see... they tore down the George Orwell monument and put up a bust of George Michael. MainStreet's a four-laner, no left turns four to seven. I was married and divorced. And Grosse Pointe is now officially the new sister city to Lower Hutt, New Zealand. We have fiber-optic town meetings every two months.",Debi speaks to Martin about town headlines and changes.
162、INT. RADIO STATION - DAY,doc_161_chunk_2,Those are the headlines. The request line buzzes.,Debi responds to Martin's 'here' and 'now' comment.
165、INT. DEEJAY BOOTH -,doc_164_chunk_0,A man comes to you. He is from the past bringing you pain long since put behind you. He says peculiar things and leaves abruptly. It all comes flooding back...,Debi flips the ON-AIR switch and speaks into mike about a man from her past.
218、INT. MARTIN'S SUITE - NIGHT,doc_217_chunk_3,You're a government spook?,Debi asks Martin if he is a government spook.
195、EXT. GROSSE POINT HIGH SCHOOL - DUSK,doc_194_chunk_1,What?,"At a car, heading toward Grosse Pointe High School, Debi speaks with Martin about his gun."
197、INT. GYM - LATER,doc_196_chunk_11,I'm going over to play some tunes.,Debi states she is going to the deejay stand to play some tunes.
200、INT. SCHOOL HALLWAY,doc_199_chunk_0,Like heroin?,"Hallway, with Martin, discussing connection"
200、INT. SCHOOL HALLWAY,doc_199_chunk_0,Like love?,"Hallway, with Martin, discussing connection"
200、INT. SCHOOL HALLWAY,doc_199_chunk_0,I'll accept that. Follow me.,"Hallway, about to enter Nurse's Office"
244、EXT. FRANK LLOYD WRIGHT HOUSE - DAY,doc_243_chunk_0,This will never work out.,"Porch, Debi and Martin discuss relationship failure"
244、EXT. FRANK LLOYD WRIGHT HOUSE - DAY,doc_243_chunk_0,You kill people.,"Porch, Debi confronts Martin about killing people"
