doc_title,chunk_id,description,scene_context
105、EXT. BUILDING ROOFTOP - NIGHT - CONTINUOUS,doc_104_chunk_0,Pitch begins to charge and responds with an attack of his own.,
102、EXT. STREETS OF BURGESS - NIGHT,doc_101_chunk_0,Pitch gives a signal and sends another wave of Nightmares toward the Guardians.,ON PITCH
109、EXT. BUILDING ROOFTOP - NIGHT - CONTINUOUS,doc_108_chunk_0,"Pitch tries to escape the attacking Guardians and slips into a nearby shadow, emerging through the side of the building.",
32、INT. TOOTH PALACE - A MOMENT LATER,doc_31_chunk_9,"Pitch draws a wisp of black sand from Onyx's mane, twirls it in his palm, and turns toward Sandy.",
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_6,"He watches, aghast, as his precious Nightmares transform back into golden Dreamsand and makes its way across town.",ON PITCH
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_1,The Nightmare sand storm descends from the sky.,
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_1,SMILES,
32、INT. TOOTH PALACE - A MOMENT LATER,doc_31_chunk_8,"Pitch looks at Tooth with a smile and before she can reach him, a huge Nightmare darts out of hiding and rears up at her.",
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_4,Pitch's wave of Nightmare sand snakes its way through town causing destruction wherever it goes and converges toward a single point as it heads straight toward the kids.,
33、EXT. VILLAGE - NIGHT - FLASHBACK,doc_32_chunk_0,"Pitch, smiling as he stares up at the moon.","On the side of a mountain, after a shadow resembling him frightens a family at a campfire."
22、EXT. BURGESS - NIGHT,doc_21_chunk_0,"Pitch steps out into the street from an adjacent alley, avoiding the rays of moonlight. He looks up to the sky and stares at the MOON.",
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_0,Pitch standing atop a building with a confident smile,"Scene: Outside, on top of a building, as Jack, the Guardians, and the children arrive on their sleds."
32、INT. TOOTH PALACE - A MOMENT LATER,doc_31_chunk_10,Pitch notices the shocked Guardians.,
32、INT. TOOTH PALACE - A MOMENT LATER,doc_31_chunk_10,Pitch's eyes flash with anger. But then he smiles.,
32、INT. TOOTH PALACE - A MOMENT LATER,doc_31_chunk_5,Pitch escapes into the shadows.,
32、INT. TOOTH PALACE - A MOMENT LATER,doc_31_chunk_5,"Pitch speaks from off-screen, saying 'Or what?'",
112、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_111_chunk_1,A golden whip wraps itself round Pitch's hands.,
112、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_111_chunk_1,Pitch is uppercut into the air by Sandy.,
34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,doc_33_chunk_2,"Pitch notices a sound behind him as one of the columns of the Palace begins to crack and crumble, and he remarks on it.",
13、INT. GLOBE ROOM - NIGHT,doc_12_chunk_12,The shadowed silhouette of PITCH resolves into view within the dark spot left by the ebbing moonlight.,"Scene: Center of the intense spot of moonlight, where the Guardians are gathered."
107、EXT. BUILDING ROOFTOP - NIGHT - CONTINUOUS,doc_106_chunk_0,"Pitch let's a Nightmare arrow fly, which is suddenly deflected by Tooth as she flies through the area and takes out a few Nightmares of her own.","Scene involving a confrontation near a chimney, during a battle with Nightmares."
56、INT. PITCH'S LAIR - NIGHT,doc_55_chunk_0,Pitch stiffens at the news.,Dark cavernous space with steel cages; Pitch is standing at his globe covered in lights as the Nightmare approaches.
118、EXT. POND - NIGHT,doc_117_chunk_1,Pitch catches something Tooth tosses to him.,
118、EXT. POND - NIGHT,doc_117_chunk_1,He looks down.,
118、EXT. POND - NIGHT,doc_117_chunk_1,Pitch scowls.,
21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS,doc_20_chunk_0,"a wispy, shadowy figure with a familiar laugh crawls out from under the bed, and rises up. It's Pitch. He notices Cupcake's dream.","Scene: Inside Cupcake's bedroom, where Dreamsand is creating a dream above her sleeping form."
112、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_111_chunk_0,"Pitch gives them a wry smile and quickly descends into the shadows, casting multiple versions of himself along the alley walls.",
112、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_111_chunk_0,"Pitch rises up behind Jack, his Nightmare sand AXE in hand.",
103、EXT. BUILDING ROOFTOP - NIGHT,doc_102_chunk_0,Pitch looks down with a smile at the chaos in the streets below.,"Scene on the roof, overlooking the streets below."
103、EXT. BUILDING ROOFTOP - NIGHT,doc_102_chunk_0,Pitch turns toward the noise to see Jack on the roof.,"Scene on the roof, after a loud THUD is heard."
60、EXT. EMPTY STREET - CONTINUOUS,doc_59_chunk_2,Pitch rises up from off the ground,
110、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_109_chunk_0,Pitch is knocked to the ground.,
110、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_109_chunk_0,As he gets to his feet he forms a scythe with his Nightmare sand and begins crossing swords with North.,
110、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_109_chunk_0,Pitch finds himself surrounded by the Guardians.,
59、EXT. DOWNTOWN BURGESS - CONTINUOUS,doc_58_chunk_5,Pitch bounces off the ground as he crashes into an EMPTY STREET.,
61、EXT. EMPTY STREET - CONTINUOUS,doc_60_chunk_8,Pitch relishes this moment of triumph.,
56、INT. PITCH'S LAIR - NIGHT,doc_55_chunk_1,"Pitch looks at the Nightmare, frustrated, and scowls.",
56、INT. PITCH'S LAIR - NIGHT,doc_55_chunk_1,"Pitch twists it with his fingers, turning it into a crude image of the SANDMAN.",
34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,doc_33_chunk_1,"Pitch, thinner and weaker than he is now, slips back into the shadows after children run through him while playing in the streets, laughing as they go.",
34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,doc_33_chunk_1,"Pitch leans toward the Guardians, showing nothing but contempt.",BACK TO THE TOOTH PALACE
34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,doc_33_chunk_5,Pitch quickly ducks out of the way as they fly around the chamber columns.,"Inside the Palace, during a confrontation with the Guardians."
34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,doc_33_chunk_5,Pitch then jumps onto the back of Onyx down into the depths of the Palace.,"Inside the Palace, escaping from the Guardians."
60、EXT. EMPTY STREET - CONTINUOUS,doc_59_chunk_1,Pitch stops cowering and stands up.,"Alley scene: As Sandy continues forward, Pitch suddenly changes his demeanor."
61、EXT. EMPTY STREET - CONTINUOUS,doc_60_chunk_1,"Pitch gives a signal and leaps into the air, leading another wave of Nightmares after the Guardians.",Scene involving a battle with Nightmares and Guardians.
75、INT. PITCH'S INNER SANCTUM - CONTINUOUS,doc_74_chunk_5,Pitch finally turns to face Jack.,
75、INT. PITCH'S INNER SANCTUM - CONTINUOUS,doc_74_chunk_3,Pitch's shadow glide across the walls into a shadowed corridor.,
