doc_title,chunk_id,description,scene_context
20、EXT. WAREHOUSE -- MORNING,doc_19_chunk_0,Marcel knocks.,"At a door, the crew is waiting."
15、EXT. CAFE -- DAY,doc_14_chunk_0,The door to a limousine opens and Marcel gets out.,
16、INT. LIMO -- MOVING -- DAY,doc_15_chunk_0,Marcel doesn't like it.,Inside a limo
16、INT. LIMO -- MOVING -- DAY,doc_15_chunk_0,He changes the station.,Inside a limo
13、INT. BATHROOM -- CONTINUOUS -- DAY,doc_12_chunk_2,He hands Sami a piece of paper.,
202、EXT. DOWN RIVER -- AFTERNOON,doc_201_chunk_0,Marcel opens the case.,River shore after boat pulled to shore
202、EXT. DOWN RIVER -- AFTERNOON,doc_201_chunk_0,Marcel looks to Raymond with a grin and nods.,River shore after boat pulled to shore
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_3,Marcel grabs the bag.,At a bridge
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_3,Marcel pulls hard and the bag rips down the seam.,At a bridge
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_3,Marcel stands there holding the inside liner of the bag.,At a bridge
101、INT. STEREO STORE -- MORNING,doc_100_chunk_0,Marcel waits,
163、INT. COTTAGE -- EVENING,doc_162_chunk_2,standing over the gas range,"Gas range, Daniel walks over to Marcel"
163、INT. COTTAGE -- EVENING,doc_162_chunk_4,Marcel presses the hot poker against the wound.,"At a bed, during wound treatment"
172、INT. COTTAGE -- MORNING,doc_171_chunk_0,Marcel steps out of the bathroom wrapped in a towel.,"Inside a room, Daniel enters and finds Zero and Raymond sleeping; Daniel looks at a black canvas bag on the table."
16、INT. LIMO -- MOVING -- DAY,doc_15_chunk_2,"Marcel, like a child who has to have the last word starts singing to himself quietly, but loud enough for Zero to hear.",
16、INT. LIMO -- MOVING -- DAY,doc_15_chunk_2,Marcel sees Bastaldi glaring at him and stops.,
159、INT. UNDER GROUND PARKING LOT -- EVENING,doc_158_chunk_2,He looks to his left just as the gun arrives.,"Shootout scene, Daniel throws gun to Marcel"
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_2,(something in him snaps),
210、EXT. BRIDGE -- AFTERNOON,doc_209_chunk_2,Marcel tries to take the ball out of the bag.,
152、INT. HOLIDAY HOTEL SUITE -- EVENING,doc_151_chunk_0,As Marcel steps through he sees the crew all aiming their guns at him.,
163、INT. COTTAGE -- EVENING,doc_162_chunk_0,Marcel is in the kitchenette.,Small room with kitchenette
150、INT. HOLIDAY HOTEL -- HALLWAY -- EVENING,doc_149_chunk_1,"Marcel lunges forward, tackling the girl to ground.",Hallway during a shootout between the Wiseguys and the crew
150、INT. HOLIDAY HOTEL -- HALLWAY -- EVENING,doc_149_chunk_1,Marcel pulls the little girl into her room.,Hallway during a shootout between the Wiseguys and the crew
185、EXT. PRIVATE AIRPORT -- AFTERNOON,doc_184_chunk_0,"Sami, Marcel and Raymond help Zero out of the taxi and towards a small plane.",Helping Zero from taxi to small plane
197、EXT. BASTALDI'S'S WAREHOUSE -- PARIS -- MORNING,doc_196_chunk_1,Marcel peers through the window at Bastaldi who is still trying to figure out where they went.,Behind a parked car
150、INT. HOLIDAY HOTEL -- HALLWAY -- EVENING,doc_149_chunk_0,"Daniel, Raymond, Marcel and Zero step into the hall.","Hall, group enters"
151、INT. LITTLE GIRL'S ROOM -- EVENING,doc_150_chunk_0,"Marcel hands the frightened girl to her mother, then moves over to the door that joins with the crews.",
151、INT. LITTLE GIRL'S ROOM -- EVENING,doc_150_chunk_0,He shoots the lock and moves through the door.,
53、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_52_chunk_1,Marcel smiles happily.,
57、INT. ZAMMITO'S BEDROOM -- NIGHT,doc_56_chunk_0,Marcel continues his conversation.,
16、INT. LIMO -- MOVING -- DAY,doc_15_chunk_1,"Marcel, not to be outdone returns the Hallyday song.",During radio station switching contest
13、INT. BATHROOM -- CONTINUOUS -- DAY,doc_12_chunk_0,Marcel closes the door.,"Bathroom, Marcel confronts Sami"
13、INT. BATHROOM -- CONTINUOUS -- DAY,doc_12_chunk_0,Marcel punches Sami in the stomach.,"Bathroom, Marcel confronts Sami"
13、INT. BATHROOM -- CONTINUOUS -- DAY,doc_12_chunk_0,Marcel slams the door then grabs Sami by the ear and yanks him to his feet.,"Bathroom, Marcel confronts Sami"
29、EXT. SIDE OF WAREHOUSE -- MOMENTS LATER -- AFTERNOON,doc_28_chunk_0,Marcel walks purposefully along the side of the building.,Outside a building
29、EXT. SIDE OF WAREHOUSE -- MOMENTS LATER -- AFTERNOON,doc_28_chunk_0,He reaches into his jacket pocket and removes two black leather gloves.,"Outside a building, approaching the door"
29、EXT. SIDE OF WAREHOUSE -- MOMENTS LATER -- AFTERNOON,doc_28_chunk_0,"He slips them on as he approaches the door, then knocks.","Outside a building, approaching the door"
29、EXT. SIDE OF WAREHOUSE -- MOMENTS LATER -- AFTERNOON,doc_28_chunk_0,"Marcel head butts him, slamming his forehead into the bridge of his nose.",At the doorway
29、EXT. SIDE OF WAREHOUSE -- MOMENTS LATER -- AFTERNOON,doc_28_chunk_0,Marcel grabs him by the hair and rapidly punches him in face several times -- each punch backing the Biker into the room.,Inside the room
12、INT. CAFE -- LATIN QUARTER -- DAY,doc_11_chunk_0,Marcel just glares at him.,Bar: Confrontation
12、INT. CAFE -- LATIN QUARTER -- DAY,doc_11_chunk_0,Marcel opens the door to the bathroom and pushes Sami inside.,Bar: Bathroom push
