doc_title,chunk_id,fact,scene_context
65、帐篷，日，外,doc_64_chunk_0,刘峰领着队伍出发了。,火车上
1、街道，日，外,doc_0_chunk_0,刘峰带何小萍走进文工团。,文工团门口
48、刘峰屋子，夜，内,doc_47_chunk_0,刘峰制作了红色沙发,
28、训练场，日，外,doc_27_chunk_1,一发子弹打向了空中,打手枪练习
36、画面组合,doc_35_chunk_0,刘峰在抗洪救灾中砸伤了腰,
36、画面组合,doc_35_chunk_0,刘峰不能跳舞了,
36、画面组合,doc_35_chunk_0,刘峰转行去了舞美队,
40、办公室，日，内,doc_39_chunk_0,刘峰是何小萍的接兵,
3、练习室，日，内,doc_2_chunk_2,刘峰被舞蹈队委托从北京接何小萍。,舞蹈队欢迎新兵场合
51、审讯室，日，内,doc_50_chunk_0,刘峰被屋子里的人按在了地上。,审讯室
50、院子，日，外,doc_49_chunk_0,刘峰被带到保卫部门接受调查。,文工团集合现场，大雨中。
66、野外，日，外,doc_65_chunk_3,刘峰独自一人留在现场。,
72、医院，日，外,doc_71_chunk_0,刘峰的右臂缺失,医院大门
48、刘峰屋子，夜，内,doc_47_chunk_2,刘峰松开了林丁丁。,朱克和小邓路过时
53、刘峰屋子，日，内,doc_52_chunk_0,刘峰要求何小萍扔掉箱子。,
92、墓地，日，外,doc_90_chunk_0,刘峰到达了蒙自墓地。,蒙自墓地
93、火车站，日，外,doc_91_chunk_1,刘峰将照片粘在一起。,
93、火车站，日，外,doc_91_chunk_1,刘峰与何小萍相拥。,
91、书店，日，内,doc_89_chunk_0,刘峰来到了书店。,书店
91、书店，日，内,doc_89_chunk_0,刘峰将借条交付给郝淑雯。,书店
86、排练场，日，内,doc_84_chunk_0,刘峰的幻觉消失了,排练场
86、排练场，日，内,doc_84_chunk_0,舞台空无一人,排练场
86、排练场，日，内,doc_84_chunk_0,舞台漆黑,排练场
93、火车站，日，外,doc_91_chunk_2,刘峰在2005年因大病被小萍及时照料后康复。,
90、联防办，日，内,doc_88_chunk_2,刘峰的假肢被警察掰断。,
90、联防办，日，内,doc_88_chunk_2,刘峰被警察推了出去。,
9、食堂，日，内,doc_8_chunk_1,刘峰离开了当前场景。,
66、野外，日，外,doc_65_chunk_2,刘峰被告知营部命令要求运送弹药。,战斗结束后，医疗兵抢救伤员时
66、野外，日，外,doc_65_chunk_2,刘峰命令叫副指导员。,战斗结束后，医疗兵抢救伤员时
66、野外，日，外,doc_65_chunk_2,刘峰命令猴子和文良护送伤员。,战斗结束后，医疗兵抢救伤员时
