doc_title,chunk_id,text,scene_context
107、INT. HOSPICE HALLWAY - CONTINUOUS,doc_106_chunk_0,Yep.,
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_6,Do you understand?,
106、INT. HOSPICE ROOM - THE NEXT DAY,doc_105_chunk_1,There's not much left to decide. We're just sort of playing it by ear and,
101、INT. HANALEI BAY COTTAGE - NIGHT,doc_100_chunk_4,Too bad her husband found out. You can't win `em all. One more question. Have you ever been inside my bedroom?,
101、INT. HANALEI BAY COTTAGE - NIGHT,doc_100_chunk_2,Nothing just happens.,
101、INT. HANALEI BAY COTTAGE - NIGHT,doc_100_chunk_2,Was she going to leave me?,
106、INT. HOSPICE ROOM - THE NEXT DAY,doc_105_chunk_5,"Girls, Sid.","Scene in a hospital; Matt is speaking to his daughters and Sid, indicating it's time to leave or move to another area."
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_4,"Yes, Scottie. It's true.",Scene where Dr. Herman informs Scottie about her mother's condition; Matt confirms the news to his daughter Scottie.
113、EXT. KING FAMILY SHARED PROPERTY HOUSE - LATER,doc_112_chunk_0,Elizabeth's not doing well.,"Scene with Matt and cousins during a poll; Matt speaks with Cousin Hugh, Cousin Six, and another elderly cousin about Elizabeth's condition."
113、EXT. KING FAMILY SHARED PROPERTY HOUSE - LATER,doc_112_chunk_1,No. She's dying. We took her off the machines.,Scene following a family discussion about a medical decision; Matt is informing others about the condition of a family member.
101、INT. HANALEI BAY COTTAGE - NIGHT,doc_100_chunk_5,"You could have had the decency to lie about that one. Well, she's in Queen's Hospital if you want to say goodbye. That really is all I came to say.",
114、INT. HOSPITAL ROOM - DAY,doc_113_chunk_4,I know.,
114、INT. HOSPITAL ROOM - DAY,doc_113_chunk_4,Just a few days ago.,
113、EXT. KING FAMILY SHARED PROPERTY HOUSE - LATER,doc_112_chunk_3,I don't want it to go to Holitzer.,Scene: Meeting with cousins; Matt expresses opposition to selling the family land to Holitzer.
