doc_title,chunk_id,text,scene_context
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_4,But Hanukkah's in dan...,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_8,Thanks. That's...good to know.,
40、INT. THE GOLDEN MENORAH - CONTINUOUS,doc_39_chunk_2,,
38、EXT. ALLEY - DAY,doc_37_chunk_2,Sure. Why not.,
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_0,I don't think I could eat another latke if you paid me.,
13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY,doc_12_chunk_8,Why are you being so difficult? All my father wants is to just speak with...,
41、INT. THE HAMMER'S PAD - NIGHT,doc_40_chunk_6,Shabat Shalom!,
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_13,It would mean so much to Paul and I if you'd let us through to see Santa.,
12、INT. THE JEWISH DEFENSE LEAGUE - DAY,doc_11_chunk_8,What about Mordechai Jefferson Carver?,"Scene: In a meeting hall, Esther speaks to members of the JDL about a potential candidate."
14、EXT. MRS. CARVER'S HOUSE - SHABAT,doc_13_chunk_2,It's Esther.,"Scene: After an awkward physical interaction, Mrs. Carver asks Esther for her name; Esther responds with her name."
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_7,Deal.,"Scene: At a table, Esther responds to Mrs. Carver's question about a deal while the Hammer returns from the bathroom."
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_6,Any sign of Santa?,Scene: Esther and The Hammer are scoping out an area; Esther is speaking to The Hammer while visibly nervous.
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_6,What do you want me to do?,"Scene: In a house, Esther speaks with Mrs. Carver, who is making inappropriate suggestions about her son."
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_8,You're good.,"The character Esther is speaking to Hammer while they are in line to see Santa, after he declines a snack."
13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY,doc_12_chunk_9,I'm not leaving your side until I get you to agree to come speak with my father.,"Scene: Location not specified; Esther is speaking to the Hammer, insisting he speak with her father."
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_19,Back it up buddy!,"Scene: Interior, during a tense confrontation; Esther speaks to Tony after he pulls back a curtain and sees a gun pointed at Santa; children are present and fearful."
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_11,What are we going to do? We're at least an hour from the front.,Scene: In line at a venue with Tony; Esther expresses concern about how long they will wait to get in.
41、INT. THE HAMMER'S PAD - NIGHT,doc_40_chunk_5,Hmm. I feel something poking around down there. Maybe I should investigate. What do you think about that Mr. Certified Circumcised Dick?,
43、INT. HAMMER'S BEDROOM - MORNING,doc_42_chunk_5,We do!,"Scene: In a private setting, Esther is speaking with Hammer, who is ending their romantic relationship."
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_24,"Shh. Shh, listen. Do you hear that?","Scene: Inside the mall, Esther speaks to Hammer as a gospelized version of 'Let My People Go' begins to play faintly from within the walls."
43、INT. HAMMER'S BEDROOM - MORNING,doc_42_chunk_0,"Wow, that was amazing.","Scene: In a bedroom, after intimate moments with the Hammer; the conversation is about their physical encounter."
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_12,"Is that...? No, couldn't be.",
36、INT. MALL OF AMERICA - DAY,doc_35_chunk_12,"We're so sorry to have to cut, but our beautiful Gentile boy ran on ahead of us in line.",
61、INT. ROOM WHERE THE HEBREW HAMMER'S GIRLFRIEND IS - MOMENTS,doc_60_chunk_3,and latkes.,
43、INT. HAMMER'S BEDROOM - MORNING,doc_42_chunk_1,What did you just snort?,
43、INT. HAMMER'S BEDROOM - MORNING,doc_42_chunk_1,Your mother was right. You do work too hard.,
60、INT. SANTA'S CONFERENCE ROOM - CONTINUOUS,doc_59_chunk_2,Mordechai! I'm in here! Help!,
41、INT. THE HAMMER'S PAD - NIGHT,doc_40_chunk_1,Ouch!,
41、INT. THE HAMMER'S PAD - NIGHT,doc_40_chunk_1,Maybe we should try a different kind of dancing.,Scene with the Hammer; Esther suggests a different kind of dancing after he steps on her toes.
13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY,doc_12_chunk_10,"Before we leave, there's just one more thing. I noticed that the sign on your door says you're a certified circumcised dick. Would you mind if I asked to see your credentials?","Scene: In an office, Esther speaks with The Hammer before leaving for her mother's dinner."
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_8,What's the matter?,Scene in which Esther checks the clock for damage and speaks to Hammer as the sun sets.
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_13,Mordechai!,"Scene: Front door area, Esther is being taken by Santa and calls out to the Hammer (Mordechai) as she is pulled away."
15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,doc_14_chunk_5,"He's...he's very nice. (Desperately) But Mrs. Carver, the fate of Hanukkah rests solely in his hands. Please, you have to help me.","Scene: In a private setting, Esther speaks with Mrs. Carver about Mordechai and the importance of Hanukkah."
53、INT. JEWISH ATOMIC CLOCK - CONTINUOUS,doc_52_chunk_4,Mordechai! Behind you!,Scene: Esther enters through the front door and warns Mordechai (the Hammer) about the Sneaky Elf threatening him with Santa's gun.
61、INT. ROOM WHERE THE HEBREW HAMMER'S GIRLFRIEND IS - MOMENTS,doc_60_chunk_0,Mordechai!,Scene: Inside a room where Esther is restrained to a chair; she speaks to The Hammer upon his arrival.
61、INT. ROOM WHERE THE HEBREW HAMMER'S GIRLFRIEND IS - MOMENTS,doc_60_chunk_1,You two know each other?,"Santa's Conference Room: Esther speaks to the Hammer and Joseph Lieberman, questioning their relationship."
40、INT. THE GOLDEN MENORAH - CONTINUOUS,doc_39_chunk_8,Hey.,"Scene: At a concert, Esther responds to The Hammer who approaches her from behind."
40、INT. THE GOLDEN MENORAH - CONTINUOUS,doc_39_chunk_8,I would love to get out of here.,"Scene: At a concert, Esther speaks to The Hammer who has asked her if she wants to leave."
40、INT. THE GOLDEN MENORAH - CONTINUOUS,doc_39_chunk_3,"So, do you come here often!",
40、INT. THE GOLDEN MENORAH - CONTINUOUS,doc_39_chunk_3,"I said, do you come here often!?",
40、INT. THE GOLDEN MENORAH - CONTINUOUS,doc_39_chunk_3,What!?,
40、INT. THE GOLDEN MENORAH - CONTINUOUS,doc_39_chunk_3,Oh!,
61、INT. ROOM WHERE THE HEBREW HAMMER'S GIRLFRIEND IS - MOMENTS,doc_60_chunk_4,Yes! Of course! I'd gladly give up my last name to be with you.,Scene: Esther accepts The Hammer's marriage proposal; she is speaking to The Hammer after he proposes.
62、INT. MRS. CARVER'S HOUSE - SHABAT,doc_61_chunk_8,"Well, for starters, we're going to honeymoon in Boca for a week. And then, when we get back, Morty's been talking about taking a stable, good paying job as a consultant for the JDL.",
43、INT. HAMMER'S BEDROOM - MORNING,doc_42_chunk_2,"Well, she also said that you need to find a nice girl to help take your mind off of your work. I'm just glad she thought I was good enough for you.","Scene: Conversation with Hammer (Morty), discussing what his mother said about him finding a nice girl; Esther mentions feeling validated by the mother's approval."
43、INT. HAMMER'S BEDROOM - MORNING,doc_42_chunk_2,"Relax Morty, I think your mom is wonderful. She cares so much about you. Get this, while you were gone she said she'd help me get you to work with the JDL if I'd come eat by you once in a while. Like I needed any incentive to be with you. She's so...","Scene: Continuing conversation with Hammer (Morty), reassuring him and sharing details of a conversation with his mother about encouraging their relationship and involvement with the JDL."
