doc_title,chunk_id,text,scene_context
122、INT. MUSTANG - NIGHT,doc_121_chunk_0,No.,
113、INT. OFFICE - BEST WESTERN MOTEL - NIGHT,doc_112_chunk_2,Put that back.,
113、INT. OFFICE - BEST WESTERN MOTEL - NIGHT,doc_112_chunk_3,Put it back.,
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_2,I'll stay till you get on the bus.,
125、INT. MUSTANG - NIGHT,doc_124_chunk_0,No!!! No!!!,
107、EXT. INTERSTATE 29 - DAY,doc_106_chunk_0,"Why did your ship land on this
planet... on Earth?",
155、INT. HALF HOUSE - DAY,doc_154_chunk_1,Hello... hello.,
164、INT. ELMO'S DINER - DAY,doc_163_chunk_1,I need a ride.,
164、INT. ELMO'S DINER - DAY,doc_163_chunk_2,I can wait.,
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_0,You thought we were a different planet?!,
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_0,"Stars... When a sun is far away, we call it a 'star.'",
103、INT. MUSTANG - DAY,doc_102_chunk_0,Oh no...,
103、INT. MUSTANG - DAY,doc_102_chunk_0,What happened?,
103、INT. MUSTANG - DAY,doc_102_chunk_0,"Okay, you win. Get in.",
163、EXT. ELMO'S - DAY,doc_162_chunk_1,This is him.,"Scene: At a truck stop, Jenny shows a picture of her husband to an attendant while searching for information."
155、INT. HALF HOUSE - DAY,doc_154_chunk_2,Hello. Where are you?,"Living room and back porch, Jenny is searching for someone after waking up; the Star Man is missing."
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_2,You did? That's funny. So did we.,
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_2,Yes.,
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_2,The captain...,
164、INT. ELMO'S DINER - DAY,doc_163_chunk_0,Anybody going to...,
164、INT. ELMO'S DINER - DAY,doc_163_chunk_0,Anybody going to Wisconsin?,
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_4,"The police shouldn't have started
shooting. But you can hardly blame
them. You surprised them. They didn't
know you were up there. When they
saw you, they thought you were here
to hurt us.",
110、INT. MUSTANG - NIGHT,doc_109_chunk_2,That was beautiful.,"Scene: After the Star Man sings, Jenny comments on his performance."
110、INT. MUSTANG - NIGHT,doc_109_chunk_2,Yes. Sing some more.,"Scene: After the Star Man sings, Jenny asks him to continue singing."
163、EXT. ELMO'S - DAY,doc_162_chunk_2,You know if anybody here's going to Wisconsin?,"A truck stop yard; Jenny speaks to a second attendant while searching for someone, possibly inquiring about a ride or information."
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_3,"Oh, that's terrible. I'm sorry. Was he a good friend?",
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_3,A friend is a person that is good to you... someone you like to be with... someone you like to laugh with...,
172、INT. PORSCHE - DAY,doc_171_chunk_2,"What? No, of course not.",
171、INT. SIT-DOWN PHONE BOOTH,doc_170_chunk_2,I changed my mind. Thanks.,"Jenny, on her way past a weathered driver, speaks briefly as she changes her decision."
174、INT. PORSCHE - DAY,doc_173_chunk_0,We better find him before that.,
171、INT. SIT-DOWN PHONE BOOTH,doc_170_chunk_3,It's me again...,
171、INT. SIT-DOWN PHONE BOOTH,doc_170_chunk_3,I need a fast ride west.,
164、INT. ELMO'S DINER - DAY,doc_163_chunk_3,Where's the phone?,Jenny is speaking to a waitress in a diner after observing a conversation between an officer and an attendant via a mirror; she is inquiring about the location of a phone.
110、INT. MUSTANG - NIGHT,doc_109_chunk_0,Nobody knows.,"Jenny is driving and responding to the Star Man's question about God, who is listening to a religious broadcast on the radio."
110、INT. MUSTANG - NIGHT,doc_109_chunk_0,I don't know.,Jenny is driving and responding to the Star Man's follow-up question about why nobody knows who God is.
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_5,Sounds like your captain's going to get hell when he gets back home.,
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_5,It's bad.,
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_5,What are you doing?,
108、INT./EXT. MUSTANG - DAY,doc_107_chunk_5,Yes.,
113、INT. OFFICE - BEST WESTERN MOTEL - NIGHT,doc_112_chunk_1,You have one with two beds?,
113、INT. OFFICE - BEST WESTERN MOTEL - NIGHT,doc_112_chunk_1,I'll take that.,
113、INT. OFFICE - BEST WESTERN MOTEL - NIGHT,doc_112_chunk_1,Credit card.,
113、INT. OFFICE - BEST WESTERN MOTEL - NIGHT,doc_112_chunk_1,We're only going to be here a few hours...,
172、INT. PORSCHE - DAY,doc_171_chunk_1,I told you I'm looking for someone.,
172、INT. PORSCHE - DAY,doc_171_chunk_1,I don't know where he is.,
110、INT. MUSTANG - NIGHT,doc_109_chunk_1,Do you have music up there?,
110、INT. MUSTANG - NIGHT,doc_109_chunk_1,"I'd like to hear it. Can you sing
something?",
110、INT. MUSTANG - NIGHT,doc_109_chunk_1,"Don't be afraid... I'd really like
to hear it.",
110、INT. MUSTANG - NIGHT,doc_109_chunk_1,Please.,
117、EXT. BEST WESTERN MOTEL - NIGHT,doc_116_chunk_0,You shouldn't drink so much of that stuff. It's bad for you.,"Scene at a car outside a restaurant; Jenny speaks to the Star Man as she hands him money, commenting on his desire for a drink."
117、EXT. BEST WESTERN MOTEL - NIGHT,doc_116_chunk_0,Hurry up.,Same scene outside the restaurant; Jenny speaks to the Star Man as she notices a patrol car in the parking lot.
197、INT. BOXCAR - DUSK,doc_196_chunk_3,Nothing.,
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_0,Don't worry. They're not going to hurt you. Come on. (gives him ticket) Only show this to the driver. Nobody else. And don't lose it.,"Jenny speaks to the Star Man at a transit line, giving him instructions and a ticket while reassuring him about the security guards."
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_0,You might need this.,Jenny speaks to the Star Man as she gives him some money from her wallet while in line.
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_1,Don't be afraid. Do what I told you and you'll be okay.,
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_1,Well... I'm going to go now.,
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_1,"Yes. I have a long ride ahead of
me...",
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_1,Goodbye.,
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_1,Yes?,
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_3,See? You're going to be okay.,Scene at a bus stop; Jenny speaks to the Star Man before he boards the bus.
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_3,Goodbye.,Scene at a bus stop; Jenny speaks to the Star Man as he prepares to board the bus.
101、EXT. LOADING PLATFORM - DAY,doc_100_chunk_3,It's a kiss... Goodbye...,Scene at a bus stop; Jenny speaks to the Star Man after kissing him on the cheek.
199、EXT. PASTURE - MORNING,doc_198_chunk_2,But...,
172、INT. PORSCHE - DAY,doc_171_chunk_0,You sure this is your car?,"In a car traveling at high speed, Jenny speaks to a teenage driver about the vehicle they are in."
172、INT. PORSCHE - DAY,doc_171_chunk_0,"Slow down, slow down.","In a car, Jenny speaks to the teenage driver as they approach a station wagon."
185、EXT. INTERSTATE - DAY,doc_184_chunk_3,"I didn't ask to come along on this trip, but I sure as hell am going to be the one to say when I get off.",
197、INT. BOXCAR - DUSK,doc_196_chunk_0,Can you close the door?,"Inside a boxcar, Jenny speaks to the Star Man while shivering and wet."
197、INT. BOXCAR - DUSK,doc_196_chunk_1,You're damn right I am.,
197、INT. BOXCAR - DUSK,doc_196_chunk_1,Open your shirt.,
203、EXT. SIDEWALK (LAS VEGAS) - LATE AFTERNOON,doc_202_chunk_0,You don't make money gambling. You lose it.,
197、INT. BOXCAR - DUSK,doc_196_chunk_2,"Oh, you're warm... put your arms around me.",
197、INT. BOXCAR - DUSK,doc_196_chunk_2,Take your shirt off.,
195、EXT. ROADSIDE - LATE AFTERNOON,doc_194_chunk_2,Why don't you send one of your radio balloons and tell your captain that you might be late?,"Scene: Jenny is with Star Man, trying to comfort him; she suggests contacting his captain about his delay."
118、INT. MUSTANG - NIGHT,doc_117_chunk_0,No. Get in.,"Scene: In a car, Jenny speaks to the STAR MAN as they are about to leave, noticing a patrol car nearby."
118、INT. MUSTANG - NIGHT,doc_117_chunk_0,I'm not sleepy anymore. Let's drive for a little while longer.,"Scene: In a car, Jenny speaks to the STAR MAN after he gets in, suggesting they continue driving."
118、INT. MUSTANG - NIGHT,doc_117_chunk_0,No. I'm just not tired. Let's go.,"Scene: In a car, Jenny responds to the STAR MAN's question about being angry, indicating she wants to leave."
195、EXT. ROADSIDE - LATE AFTERNOON,doc_194_chunk_3,Let's find a place out of the rain. I'm sure we'll get a ride in the morning.,
195、EXT. ROADSIDE - LATE AFTERNOON,doc_194_chunk_3,We'll get a ride in the morning.,
163、EXT. ELMO'S - DAY,doc_162_chunk_0,"I'm looking for a guy about this tall, with brown hair and really gray eyes...",
163、EXT. ELMO'S - DAY,doc_162_chunk_0,"He had on tan cords, a plaid shirt and a baseball cap... probably hitchhiking.","At a truck stop near Interstate 70, Jenny speaks with an attendant while searching for a man."
163、EXT. ELMO'S - DAY,doc_162_chunk_0,In the last hour or so...,"At a truck stop near Interstate 70, Jenny continues speaking with an attendant while searching for a man."
183、EXT. INTERSTATE - DAY,doc_182_chunk_0,Sure.,"Scene: On the shoulder of a highway, Jenny responds to a teenager's request for an autograph."
183、EXT. INTERSTATE - DAY,doc_182_chunk_0,Don't worry. I'll be all right.,"Scene: On the shoulder of a highway, Jenny reassures a teenager who offers to help her."
204、INT. DRUG STORE - LATE AFTERNOON,doc_203_chunk_0,Do you have a good map of Death Valley?,"Scene: Inside a store, Jenny speaks with a clerk while the Star Man examines a machine nearby."
171、INT. SIT-DOWN PHONE BOOTH,doc_170_chunk_0,"Mr... I'm sorry, what was your name again?","Jenny is on the phone, speaking with Marc Shermin, just before leaving with an older man who is her ride."
171、INT. SIT-DOWN PHONE BOOTH,doc_170_chunk_0,"Mr. Shermin, I'm hanging up now. If you want to ask me any questions, call me at home in a couple of days. I'm in the book.","Jenny is on the phone with Marc Shermin, ending the conversation as she prepares to leave with her ride."
210、INT. CAMARO - NIGHT,doc_209_chunk_0,How long will it take you to get home?,
169、INT. HELICOPTER - DAY,doc_168_chunk_0,I only called to tell you I was free and not to shoot anybody I was with if you see me.,"Scene: Over the phone, Jenny speaks to Shermin while he is with a technician; she explains her situation and warns not to shoot anyone with her."
169、INT. HELICOPTER - DAY,doc_168_chunk_0,I told you. He let me go. I'm on my way home.,"Scene: Over the phone, Jenny responds to Shermin's question about the man who kidnapped her, clarifying that he released her and she is returning home."
168、INT. SIT-DOWN PHONE BOOTH,doc_167_chunk_0,"I don't know. Someplace called Elmo's. Look, I just wanted to tell you that I'm all right and I'm on my way home.","Jenny speaks over the phone, informing someone of her whereabouts and that she is returning home."
168、INT. SIT-DOWN PHONE BOOTH,doc_167_chunk_0,No. You'll want to ask a lot of questions I don't want to answer right now. I already have a ride.,"Jenny continues the phone conversation, refusing an offer to be picked up, indicating she does not wish to answer questions yet."
195、EXT. ROADSIDE - LATE AFTERNOON,doc_194_chunk_1,"What do you want from me? There are
no cars on this road. I didn't ask
for this stupid storm.",
195、EXT. ROADSIDE - LATE AFTERNOON,doc_194_chunk_1,What are you saying?,
195、EXT. ROADSIDE - LATE AFTERNOON,doc_194_chunk_1,"We're too far away to walk. Don't
you understand?",
213、EXT. CLOSED STATION - NIGHT,doc_212_chunk_0,"If I don't speak to Mr. Shermin, I'm hanging up.",
199、EXT. PASTURE - MORNING,doc_198_chunk_3,"I told you it's impossible for me to
have a baby.",Scene: Jenny speaks to Star Man about her inability to have a baby.
