doc_title,chunk_id,text,scene_context
1、EXT. BEAUTIFUL HOUSE - FRONT DOOR - DAY,doc_0_chunk_3,"Thanks, Kasie.",Micky shouts to Kasie through the door as she argues with Jimmy inside.
1、EXT. BEAUTIFUL HOUSE - FRONT DOOR - DAY,doc_0_chunk_0,I just wanna say hi to Kasie.,Laurie's house: Micky speaks to Laurie about visiting his daughter Kasie.
1、EXT. BEAUTIFUL HOUSE - FRONT DOOR - DAY,doc_0_chunk_0,I'm not around next weekend --,Laurie's house: Micky speaks to Laurie about visiting his daughter Kasie.
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_15,You didn't do nuthin? Look at my hand ya selfish prick.,"ATRIUM OUTSIDE COURTROOM - MORNING, speaking with Dicky about self-defense"
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_9,Just put him in the wagon.,Police arrest on sidewalk; Micky orders to put a person in the wagon.
"14、INT. TRAP, 1ST FLOOR - B.H.C. - NIGHT",doc_13_chunk_4,"Ma, I know, but he did it to himself.","Micky's apartment, living room/kitchen, night: on phone with mother"
13、INT. ALICE'S HOUSE - 3 WEEKS LATER - HBO PROMO FOR 'HIGH EB,doc_12_chunk_12,"Jimmy, hey, sorry to rush, but I wanted to make sure Kasie's not watchin' HBO, okay?",Micky calls Jimmy to ensure Kasie isn't watching HBO.
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_0,"Oh, yeah, Ma, it looks great. Dicky comin'?","In a booth, Micky speaks to his mother Alice about the lobby card and Dicky's arrival."
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_1,"C'mon, c'mon, this is 'sposed to be about the fight, let's just talk about the fight --",Speaking with Alice and Charlene about the fight
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_16,"I know you know what I'm doin'. I'm sure Alice, everybody else, told you, I wanted to tell you to your face, myself. I got new management, I'm workin' with MickeyO'Keefe, and it's going good.","Visitor's Room, 1st Floor, B.H.C. - Day, speaking with Dicky"
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_16,On HBO.,"Visitor's Room, 1st Floor, B.H.C. - Day, speaking with Dicky"
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_1,"You own a cab company, you're a good businessman, right?",Micky meets Sal LoNano and asks about his cab company business.
13、INT. ALICE'S HOUSE - 3 WEEKS LATER - HBO PROMO FOR 'HIGH EB,doc_12_chunk_13,"Who I am? What are you talkin' about? Turn it off, Laurie, turn it off.","Laurie and husband's house, night: Micky on phone with Laurie, discussing turning off TV showing her uncle."
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_18,"I wasted my 20s in bad fights set
by you and Alice! I finally gotta
good thing goin', shut up and be
happy for me!",Speaking with Dicky about past fights and current opportunity
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_29,Yuh.,Thomas & Mack Center ring: Micky Ward answers referee Mitch Halpern's question after a fight.
13、INT. ALICE'S HOUSE - 3 WEEKS LATER - HBO PROMO FOR 'HIGH EB,doc_12_chunk_1,Hey!,Micky greets Mickey O'Keefe (in police uniform)
13、INT. ALICE'S HOUSE - 3 WEEKS LATER - HBO PROMO FOR 'HIGH EB,doc_12_chunk_1,"It's good, gettin' there.",Micky responds to Mickey O'Keefe about his hand injury
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_21,What?! Why?,"Charlene (via intercom) calls Micky's situation stupid, Micky asks why."
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_21,"- What else could I do, Charlene?","Charlene explains Micky let them take something away, Micky questions his options."
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_20,"I'm quittin', Charlene, OK? I'm done fightin' I don't need it no more.","Scene 60: Micky at intercom, telling Charlene he's quitting."
"14、INT. TRAP, 1ST FLOOR - B.H.C. - NIGHT",doc_13_chunk_5,"It's very sad, ma, I gotta call ya back.","On phone with mother, Micky stares at Charlene and says he's sad and must call back."
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_2,Can we talk business?,"Street near Cosmopolitan Cafe, speaking with Mickey O'Keeffe"
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_27,He hits like bricks. When he misses it hurts.,"Ring at Thomas & Mack Center, Round 6, 2:01 remaining"
15、EXT. MICKY'S 2ND FLOOR APT. PORCH - CONTINUOUS,doc_14_chunk_0,I wanna meet that guy George told you about. [pause] The one with the cab company.,"On stairs, speaking with Charlene about meeting George's cab company contact."
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_17,"Of course, how could I stand a chance without the Great Dicky Ecklund in my corner? You didn't care if I got killed with Mungin,",Scene 73: Discussing Dicky Ecklund and Mungin with someone.
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_5,Don't answah the door.,"Front door of Charlene's apartment, day. Micky tells Charlene not to answer the door."
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_52,Dicky Donuts lookit ya! They let nya keep the new teeth!,"At home, Micky speaks to Dicky about his new teeth."
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_35,"Don't stop the fight,-- I got it.","Boxing ring, Micky Ward speaks to Mickey O'Keefe about not stopping the fight."
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_8,Don't ever lay a hand on Charlene.,Micky warns an aggressor not to touch Charlene.
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_56,"You look good, your eyes are clear.","With Dick, discussing appearance."
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_56,"That's beautiful, Dick. There's somethin' we gotta talk about.","With Dick, introducing a serious topic."
17、INT. GYM - CONTINUOUS,doc_16_chunk_2,I wouldn'ta won Sanchez without Dicky.,Speaking to Charlene about winning Sanchez without Dicky.
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_6,I'm not hidin' from nobody -,In conversation with Alice and Charlene about Dicky and Micky's World Championship goal
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_16,What were you doin' for me?,"Officer pulling Dicky away, Micky speaking to Dicky"
"12、INT. OLYMPIA RESTAURANT - DOWNTOWN, LOWELL - NIGHT",doc_11_chunk_16,"This? Do me a favah, don't do
nuthin' for me.","Officer pulling Dicky away, Micky speaking to Dicky"
16、EXT. LOWELL STREET NEARY MICKY'S - DAY,doc_15_chunk_9,HEY! HEY! For the love a Christ!,Breaking up a fight with his mother and others
18、EXT. CRACK STREET - CONTINUOUS,doc_17_chunk_12,"Nah, I ain't gonna sleep on no floor. I like my bed an' my girlfriend too much",Weigh-in event: reporters ask Micky about sleeping arrangements.
18、EXT. CRACK STREET - CONTINUOUS,doc_17_chunk_15,"- You can have the whole country behind ya, but it's only gonna be me and him in the ring, right?",Scene 95: Micky Ward responds to Neary about the fight in Shea's hometown.
17、INT. GYM - CONTINUOUS,doc_16_chunk_11,Shut up!,"Dicky impersonating Shea Neary, Micky tells him to stop."
17、INT. GYM - CONTINUOUS,doc_16_chunk_11,Shut up!,"Dicky impersonating Shea Neary, Micky tells him to stop."
18、EXT. CRACK STREET - CONTINUOUS,doc_17_chunk_23,You see that? I'm gonna kick his ass.,"Boxing corner, Micky speaks to Dicky about kicking Neary's ass"
