doc_title,chunk_id,text,scene_context
176、INT. ROOM 528 - CONTINUOUS,doc_175_chunk_6,He's out.,
126、INT./EXT. CAB ON RAINY NEW YORK STREETS - CONTINUOUS,doc_125_chunk_5,Everybody okay? Saito?,"Scene set in the rain; Arthur is checking on Saito, who is injured and bleeding."
171、INT. ROOM 491 - CONTINUOUS,doc_170_chunk_0,"So, if everything's correct, this room should be directly below 528.",
124、INT. SEDAN - CONTINUOUS,doc_123_chunk_0,Couldn't you have peed before you went under?,Scene: Inside a vehicle during rainy weather; Arthur speaks to Yusuf about his actions before going underwater.
176、INT. ROOM 528 - CONTINUOUS,doc_175_chunk_1,Shhhh!,"Arthur is at the door; someone is entering, and he reacts by confronting the intruder."
128、INT. WAREHOUSE - CONTINUOUS,doc_127_chunk_5,Let's just get him upstairs.,"Scene where the team is dealing with an injured Saito in Fischer's mind; Arthur speaks to the group, suggesting immediate action."
147、INT. WAREHOUSE - CONTINUOUS,doc_146_chunk_0,That helps us?,"Scene: In or near a van, Arthur is speaking with Eames about Fischer's relationship with his father."
148、INT./EXT. VAN ON RAINY STREETS - CONTINUOUS,doc_147_chunk_3,"And don't make the jump too soon- that kick is our only way back, we have to be ready to catch it-",
187、INT. HOTEL STAIRWELL - CONTINUOUS,doc_186_chunk_0,Hey!,"Fourth floor stairwell, Arthur calls out to security men who are outside room 491."
104、INT. WORKSHOP - DAY,doc_103_chunk_0,"Even that won't cut through three
layers of deep sleep.",
104、INT. WORKSHOP - DAY,doc_103_chunk_0,"We can use the musical countdown to
synchronize the different kicks.",
176、INT. ROOM 528 - CONTINUOUS,doc_175_chunk_0,Mr. Charles!,"Scene: Arthur finds a mechanism case in a room while searching with Ariadne; Cobb, Saito, and Eames are present."
14、INT. FILTHY BATHROOM - DAY,doc_13_chunk_0,I know! We have to reconnect the loop before they wake up!,"Arthur is in a bathroom, struggling with a silver case and tubes connected to his wrist; he speaks to Nash as he prepares to reconnect a loop in a dream."
176、INT. ROOM 528 - CONTINUOUS,doc_175_chunk_7,He's going to help us break into his own subconscious.,Scene context not specified: Arthur speaks to Cobb about Fischer's role in the mission.
"132、INT. BATHROOM, WAREHOUSE - CONTINUOUS",doc_131_chunk_0,Good authority.,
"132、INT. BATHROOM, WAREHOUSE - CONTINUOUS",doc_131_chunk_0,The combination.,
"132、INT. BATHROOM, WAREHOUSE - CONTINUOUS",doc_131_chunk_0,Why would Browning tell us you did?,
202、INT. HOTEL STAIRWAY - NIGHT,doc_201_chunk_0,Paradox.,"Scene: Arthur confronts a Security Man at the edge of a dangerous drop, then pushes him over after speaking."
192、INT. HOTEL STAIRWELL - NIGHT,doc_191_chunk_0,"No, Yusuf. Too soon!",Scene where Arthur hears massive low-end musical tones and is shot at on the stairs; speaking to Yusuf.
162、INT. HOTEL LOBBY - CONTINUOUS,doc_161_chunk_0,Cobb's drawing Fischer's attention to the strangeness of the dream. That's making his subconscious look for the dreamer. For me. And we-,"Scene: In a hotel, Arthur is speaking with Ariadne about the dream and Cobb's actions."
20、INT. DILAPIDATED HOTEL ROOM - DAY,doc_19_chunk_0,I'm not going to make it! Wake Cobb!,Scene where Arthur is operating a complex mechanism in a silver case; he is with Saito and urges to wake Cobb.
26、INT. DILAPIDATED HOTEL ROOM-CONTINUOUS,doc_25_chunk_0,Dunk him!,
215、INT. HOTEL CORRIDOR - NIGHT,doc_214_chunk_0,How the hell do I drop you?,"Scene 491: In zero gravity, Arthur is alone, speaking to an unspecified entity while removing charges from the ceiling."
3、INT. SAME ELEGANT DINING ROOM - NIGHT (YEARS EARLIER),doc_2_chunk_4,What's going on up there?,
