doc_title,chunk_id,description,scene_context
19、INT. A CHAMBER,doc_18_chunk_29,"Ripley pulls her hand back suddenly, grimacing at the pain.",
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_12,She is squatting in the corner facing away from them.,
12、INT. MESS HALL,doc_11_chunk_4,"Ripley repeats word to herself, thinking.",
19、INT. A CHAMBER,doc_18_chunk_28,"Ripley holds her palm up, presses it against the point of the blade.",
19、INT. A CHAMBER,doc_18_chunk_28,Ripley pushes her hand out - the blade goes RIGHT THROUGH HER PALM.,
19、INT. A CHAMBER,doc_18_chunk_28,"She keeps pushing her hand out slowly, a good five inches of the blade sticking out the back of her hand before she stops.",
19、INT. A CHAMBER,doc_18_chunk_9,"Ripley lets go of Johner, stands.",
19、INT. A CHAMBER,doc_18_chunk_9,She looks down on him - in both senses of the phrase. - Look around at everyone staring at her.,
19、INT. A CHAMBER,doc_18_chunk_9,"She wipes the bit of blood from under her nose, flicks it away. Exits.",
19、INT. A CHAMBER,doc_18_chunk_18,"She pulls him close, kisses him. Lightly at first, then deeply - holding his head with both hands.",
19、INT. A CHAMBER,doc_18_chunk_18,"She looks at him, smiles.",
19、INT. A CHAMBER,doc_18_chunk_18,"An alien tongue SHOOTS out of her mouth, burying itself in his face.",
19、INT. A CHAMBER,doc_18_chunk_5,"She keeps dribbling, says nothing.",
19、INT. A CHAMBER,doc_18_chunk_8,Ripley looks up,Confrontation with four guards
19、INT. A CHAMBER,doc_18_chunk_25,Ripley shifts slightly.,
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_17,"Ripley, bringing up the rear, watches the whole group with a sort of fascinated detatchment.","After Elgyn's death, group gathers"
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_17,"Ripley smiles, coldly.","After Elgyn's death, group gathers"
19、INT. A CHAMBER,doc_18_chunk_16,"She steps forward, eyes locked on the cage.",At the cage
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_33,"She stops, sniffs. Listens.",
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_33,And Ripley leads them in.,
19、INT. A CHAMBER,doc_18_chunk_48,Ripley sits in the dark,INT. RIPLEY'S CELL
19、INT. A CHAMBER,doc_18_chunk_48,She is LAUGHING,INT. RIPLEY'S CELL
19、INT. A CHAMBER,doc_18_chunk_4,"Ripley stands beneath the net with a ball, dribbling absently.","INT. CONFERENCE HALL, crew filing in to eat"
19、INT. A CHAMBER,doc_18_chunk_4,Her expression makes it clear how much she enjoys having him in her face.,"INT. CONFERENCE HALL, crew filing in to eat"
22、INT..NEXT CHAMBER,doc_21_chunk_3,Ripley steps in front of the doctor.,
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_10,"Ripley takes Call's hand, puts the tongue in it.",
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_10,walks on.,
19、INT. A CHAMBER,doc_18_chunk_17,She looks at him.,"Room with audiograph on wall, during ultrasonic communication discussion"
19、INT. A CHAMBER,doc_18_chunk_17,"She runs her hand through the back of his hair, gently urging him up off his chair.","Room with audiograph on wall, during ultrasonic communication discussion"
19、INT. A CHAMBER,doc_18_chunk_26,Her shirt is open enough to show a good portion of the scar.,Close-up on Ripley's chest
19、INT. A CHAMBER,doc_18_chunk_26,Ripley sits up.,Close-up on Ripley's chest
19、INT. A CHAMBER,doc_18_chunk_24,"Ripley is sleeping, still in the squatting position in the middle of the room.",Ripley's cell
22、INT..NEXT CHAMBER,doc_21_chunk_2,Ripley SNIFFS. Cocks her head.,
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_31,(not very concerned),
19、INT. A CHAMBER,doc_18_chunk_10,"The few drops she flicked away sizzle on the floor -- not eating through, but melting a small patch.",
19、INT. A CHAMBER,doc_18_chunk_6,She smiles back.,
19、INT. A CHAMBER,doc_18_chunk_6,"She hits, him solidly in the chest",
19、INT. A CHAMBER,doc_18_chunk_6,She throws her off with e -- chucks the basketball at her hard enough to pop the air out of it.,
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_5,"she SPINS, GPABBING IT, and HURLS IT AWAY",in a room
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_5,"She locks an arm around its slick, long head and pulls back",in a room
22、INT..NEXT CHAMBER,doc_21_chunk_0,"a metal bar SLAMS into her side, throwing her off balance.",Attack in shadows
19、INT. A CHAMBER,doc_18_chunk_27,(smiling),Conversation with Call
19、INT. A CHAMBER,doc_18_chunk_27,"She raises her arm, the stilletto gliding out again.",Conversation with Call
22、INT..NEXT CHAMBER,doc_21_chunk_4,She starts heading out of the chamber.,"Chamber, after revealing the alien to Purvis"
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_6,She grabs his gun and BURNS them both.,
19、INT. A CHAMBER,doc_18_chunk_19,"As she suddenly awakes, eyes wide, breathing hard.",INT. RIPLEY'S CHAMBER
19、INT. A CHAMBER,doc_18_chunk_19,"She looks about her, recoveringfrom the nightmare...",INT. RIPLEY'S CHAMBER
19、INT. A CHAMBER,doc_18_chunk_19,Her breathing slows.,INT. RIPLEY'S CHAMBER
19、INT. A CHAMBER,doc_18_chunk_19,"With a somewhat fatalistic look, she settles back to sleep.",INT. RIPLEY'S CHAMBER
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_32,"She moves to the head of the line, and they start.",
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_32,Ripley is a few yards in front.,INT. LABS - LATER
19、INT. A CHAMBER,doc_18_chunk_31,Ripley raises her hand at Call's head,
19、INT. A CHAMBER,doc_18_chunk_31,Ripley stops a few inches away,
19、INT. A CHAMBER,doc_18_chunk_31,"Then touches her forehead gently, almost sensually",
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_17,"Ripley turns to Wren, her face rigid with pain.",After launcher falls
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_18,Ripley stops.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_18,weariness suffusing her expression.,
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_8,Her face is rigid with pain and anger as she holds it off,
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_8,Ripley GRABS IT. HOLDS IT.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_14,"Ripley approaches, and stares at number seven.","On a tilted-table, viewing hybrid number seven"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_14,Ripley cannot even speak.,"On a tilted-table, viewing hybrid number seven"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_14,She begins to shake slightly looking at number seven.,"On a tilted-table, viewing hybrid number seven"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_47,Ripley easily ahead of the rest.,"Climbing, searching for a door"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_15,Ripley's eyes go saucered as it speaks speaks out of nothing resembling a mouth.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_15,"Ripley staggers back a step, shaking now.",
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_15,"Ripley turns, slowly, still in a fever dream.",
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_21,Ripley looks down.,Flooded area
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_21,"Ripley steps into it, moves up a few paces.",Flooded area
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_10,"She stops dead, staring at a door.","Cloning Storage Facility, door labeled 'numbers 1-7'"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_10,Ripley stares.,"Cloning Storage Facility, door labeled 'numbers 1-7'"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_10,"Tries the door, which opens.","Cloning Storage Facility, door labeled 'numbers 1-7'"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_56,Ripley isn't buying.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_43,"Ripley LEAPS through the air and grabs the ledge, hauling herself up just in time to see the door shut.","Door closing, aliens approaching"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_43,"She SLAMS against the door, but to no avail.","Door closing, aliens approaching"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_11,"Ripley is looking down at her arm, at the 8 tattooed on it.",
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_11,She looks at Call.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_11,Looks back at wren.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_11,She enters.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_35,"In utmost disgust, Ripley PULLS it APART","Above the surface, crew emerging from water"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_29,"Ripley, all the way to the stairs, sees.",At the stairs during the alien chase
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_29,She hurries the others past her.,At the stairs during the alien chase
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_60,Ripley looks at the girl.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_36,Ripley is grabbed by an alien,Under the surface
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_50,she's as puzzled as the rest of them,Shaft: Johner questions Ripley about aliens working elevators
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_34,Ripley pulls the face hugger with all her might,Underwater scene
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_53,Ripley sees the door approaching,"Lift, door approaching"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_53,Ripley pries open the doors again,"Lift stopped halfway, alien grabbing"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_53,"Ripley follows, jumps down and opens the lift doors",Crew pouring out into hall
19、INT. A CHAMBER,doc_18_chunk_30,smiling,
19、INT. A CHAMBER,doc_18_chunk_30,"The smile is gone, some real vulnerability showing through.",
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_31,"Ripley looks back as the last of the crew is passing her, aliens close behind","crew escape, aliens close behind"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_31,She looks up to see the situation ab and quickly makes for the surface,"crew escape, aliens close behind"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_31,KICKS at it,"crew escape, aliens close behind"
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_40,Ripley and others pair off on other ladders.,Escape attempt on ladders during alien attack.
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_66,"Ripley pulls out the cord from the bible's port, holds it up",
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_57,Ripley spins her around.,After Ripley accuses Call of being Gunshot
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_57,Ripley looks down.,After spinning Call around
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_38,Ripley picks him up with one hand,Di Stephano sputters back to life
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_38,Ripley come up to the doors and pulls them apart with a grunt,At the sliding doors
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_61,Letting DiStephano lead.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_58,quietly,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_78,Ripley follows him through.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_64,Ripley turns to Call.,
23、INT. OBSERVATION ROOM TWO - CONTINUOUS,doc_22_chunk_74,Ripley shrugs.,
21、INT. CHAMBER - CONTINUOUS,doc_20_chunk_3,Ripley stands behind it.,"Door rising, Ripley behind the door"
