doc_title,chunk_id,text,scene_context
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_16,Sidney. Hello. How are you?,"Across the way, in a crowd of students; Gale speaks to Sidney upon being approached."
35、INT. CAMPUS SECURITY STATION - MORNING - MINUTES LATER,doc_34_chunk_3,What about Sidney? Is she safe?,Scene: In a room where action is unfolding; Gale speaks to Captain Tyler about Sidney's safety.
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_2,"Look, I'm sorry about the face.",
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_2,Fair enough.,
39、INT. CAMPUS SECURITY STATION - AFTERNOON,doc_38_chunk_0,"I'd prefer Dewey, Captain.","Scene with Captain Tyler, Dewey, and Sheriff Evans; discussing who should cover Gale if the killer calls again."
55、INT. SIDNEY'S DORM ROOM - NIGHT,doc_54_chunk_3,"Hey, Dewey?",Scene: Hallie and Joel are leaving; Gale intervenes briefly as they exit.
63、INT. LECTURE HALL - SAME,doc_62_chunk_3,Jesus Christ!,
49、INT. CAMPUS SECURITY STATION - OUTER OFFICE,doc_48_chunk_5,Where is she?,"Scene involving Captain Tyler, Sheriff, and Dewey discussing security for the Prescott girl; Gale asks about her location."
45、EXT. NEWSVAN - CAMPUS - LATER,doc_44_chunk_7,He has to be nearby. He likes the game.,Scene with Dewey and Gale moving through passing students; Gale is speaking to Dewey about a person they are searching for.
45、EXT. NEWSVAN - CAMPUS - LATER,doc_44_chunk_4,And where did you gain all of your Gale Weather's insight?,"Scene: In a tense moment, Gale speaks to Dewey, who has approached her; they are standing very close."
55、INT. SIDNEY'S DORM ROOM - NIGHT,doc_54_chunk_1,"Sid, I'll come with you.","Scene: Inside a room where Sidney is packing; Gale offers to accompany her, speaking directly to Sidney."
49、INT. CAMPUS SECURITY STATION - OUTER OFFICE,doc_48_chunk_4,"Don't do anything stupid, Cotton. You've come to far.","Scene: At a police station counter, Gale speaks to Cotton as he retrieves his gun, urging him not to make rash decisions."
63、INT. LECTURE HALL - SAME,doc_62_chunk_4,Shit!,
63、INT. LECTURE HALL - SAME,doc_62_chunk_4,Let's go.,
49、INT. CAMPUS SECURITY STATION - OUTER OFFICE,doc_48_chunk_0,Where's Sidney'?,"Scene: At a table, Gale speaks with Dewey about Sidney's whereabouts."
49、INT. CAMPUS SECURITY STATION - OUTER OFFICE,doc_48_chunk_0,Not good. How you doin?,"Scene: At a table, Gale responds to Dewey's question about her well-being."
49、INT. CAMPUS SECURITY STATION - OUTER OFFICE,doc_48_chunk_2,"What's going on, Cotton?",Scene: At a counter where Cotton is signing forms; Gale approaches and asks about the situation.
49、INT. CAMPUS SECURITY STATION - OUTER OFFICE,doc_48_chunk_2,Did you do it?,Scene: At a counter where Cotton is signing forms; Gale looks him in the eyes and asks if he committed the crime.
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_11,"Hello, Dwight.",Across the way at a press conference/rally; Gale encounters Dewey and greets him.
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_11,"I've been trying to reach you but
you haven't returned...",Across the way at a press conference/rally; Gale speaks to Dewey about trying to contact him.
63、INT. LECTURE HALL - SAME,doc_62_chunk_7,Dewey?,"Main floor of a building, Gale looks up to Dewey and speaks to him."
45、EXT. NEWSVAN - CAMPUS - LATER,doc_44_chunk_2,Mood swing. I'm manic depressive.,
45、EXT. NEWSVAN - CAMPUS - LATER,doc_44_chunk_2,It's that complex yet shallow quality. It's deliberate.,
45、EXT. NEWSVAN - CAMPUS - LATER,doc_44_chunk_2,"And deep down I'm a good person? Make no mistake, Dewey, I'm a shit.",
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_20,Did you get it?,"Scene at a public event; Gale speaks to Randy after Cotton leaves, referring to whether the footage was captured."
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_20,You need to check your conscience at the door. We're not here to be loved.,"Scene at a public event; Gale speaks to Randy, emphasizing their role as observers rather than participants."
63、INT. LECTURE HALL - SAME,doc_62_chunk_5,"No, Dewey, let's call for backup.","Scene: Inside a house, Gale speaks to Dewey as he leaves for the upper level."
65、INT. SOUND STAGE - SAME,doc_64_chunk_7,NOOOOOOO!,Control booth: Gale sees Dewey dying at the window and screams in horror.
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_14,"I never meant to imply...How do you know my dim-witted
inexperience isn't merely a subtle
form of manipulation used to lower
people's expectations thereby
enhancing my ability to effectively
maneuver within any given
situation?",
17、EXT. STUDENT UNION - LATE AFTERNOON,doc_16_chunk_14,"I'm sorry. I don't know what else
to say except I'm sorry.",
35、INT. CAMPUS SECURITY STATION - MORNING - MINUTES LATER,doc_34_chunk_0,Maureen Evans - Maureen Prescott. Sidney Prescott's mother. The first victim in the Woodsboro Murders. Phil Stevens - Stephen Orth - the first kid to be murdered. Ten to one - Cici is not the third victim's real name.,"Scene with a chalk board labeled 'Victims'; Gale is analyzing the names of the victims, possibly alone or with others present, discussing the identities of the Woodsboro Murders victims."
62、INT. HALLWAY - SAME,doc_61_chunk_0,Ssshh! What was that?,Hallway: Gale and Dewey are moving down a dark hallway; Gale reacts to a sudden noise.
62、INT. HALLWAY - SAME,doc_61_chunk_0,This is all too familiar.,"Hallway: Gale speaks to Dewey as they move through the hallway, referencing past experiences."
45、EXT. NEWSVAN - CAMPUS - LATER,doc_44_chunk_5,I'm not here.,"Scene: On a campus, Gale is with Dewey and Randy; she avoids a phone call and instructs Randy to cover for her."
45、EXT. NEWSVAN - CAMPUS - LATER,doc_44_chunk_5,C'mon. (to Randy) Keep him talking.,"Scene: On a campus, Gale is with Dewey and Randy; she urges Dewey to leave and tells Randy to stall the caller."
13、EXT. STUDENT UNION PARKING LOT - MINUTES LATER,doc_12_chunk_0,I don't know... no one's talking. What's the studio's position? Never happen. They'd be stupid to pull the movie. With all this free press - they're gonna have huge numbers this weekend. It'll break box office records. Of course I have bumps.,Scene: Outside a location crowded with newsvans and reporters; Gale is on a phone call discussing the studio's position on a movie and the impact of media attention.
72、EXT. THEATRE SAME,doc_71_chunk_0,Shit.,"Scene: Outside the side theatre door, Gale is trying to enter but finds it locked."
75、INT. STAGE SAME,doc_74_chunk_5,"Jesus, you're just as whacked as
your son.",
57、INT. DEREK'S DORM ROOM - LATER,doc_56_chunk_2,And Joel's pre-med.,
57、INT. DEREK'S DORM ROOM - LATER,doc_56_chunk_2,Shit! It's both of them. The first murders were to throw us - using the same names as Woodsboro. But they've moved on - they're getting closer to Sidney. They're not looking for a Himbry or a Tatum to kill. They're looking for the new Tatum.Hallie?,
