doc_title,chunk_id,text,scene_context
119、INT. REVEREND'S OFFICE,doc_118_chunk_0,That won't be possible.,
172、EXT. PARSONAGE - FRONT PORCH - LITTLE LATER,doc_171_chunk_0,At school. Where you should be.,
154、INT. SULLIVAN KITCHEN - LATE NIGHT,doc_153_chunk_1,"Landon. We've lived with this for
over a year now and --",
132、EXT. PARSONAGE - FRONT PORCH - LATER,doc_131_chunk_0,"Hello, Landon.",Living room area; Reverend Sullivan speaks to Landon after catching him and Jamie together outside the house.
118、INT. HALLWAY BY REVEREND SULLIVAN'S OFFICE - MOMENTS LATER,doc_117_chunk_0,Does it have to do with Jamie?,"Reverend Sullivan is in his office, speaking with Landon who has knocked on the door."
197、INT. PATIENT ROOM,doc_196_chunk_2,"Jamie. I make you the same
promise that God does.
(beat)
I will always be with you.",
222、INT. SOUTHERN BAPTIST CHURCH,doc_221_chunk_8,You've been well?,
222、INT. SOUTHERN BAPTIST CHURCH,doc_221_chunk_8,Getting by.,
78、INT. FRONT HALL - MOMENTS LATER,doc_77_chunk_0,Better not be the Carter boy.,"Living room, off-screen voice as Jamie opens the front door; speaking about Landon."
146、INT. PARSONAGE - SULLIVAN DINING ROOM - EVENING,doc_145_chunk_2,Your parents are divorced?,
146、INT. PARSONAGE - SULLIVAN DINING ROOM - EVENING,doc_145_chunk_2,How do you -- the two of you -- get by?,
146、INT. PARSONAGE - SULLIVAN DINING ROOM - EVENING,doc_145_chunk_2,Either. Both.,
82、INT. PARSONAGE - LIVING ROOM - MINUTES LATER,doc_81_chunk_0,The first time I met him I knew.,
82、INT. PARSONAGE - LIVING ROOM - MINUTES LATER,doc_81_chunk_0,I'm proud of how you're handling yourself.,
197、INT. PATIENT ROOM,doc_196_chunk_1,I was wrong. Nobody could have wanted or loved your mother more than we did. Not even God.,
197、INT. PATIENT ROOM,doc_196_chunk_1,"God loaned you to me, entrusted you to my care. I'm failing you.",
66、INT. PARSONAGE - KITCHEN - MINUTES LATER,doc_65_chunk_1,I don't want you to see him outside school activities.,
66、INT. PARSONAGE - KITCHEN - MINUTES LATER,doc_65_chunk_1,I'm sorry your mother isn't here to help you become a woman.,
222、INT. SOUTHERN BAPTIST CHURCH,doc_221_chunk_4,"As a father, I'm supposed to give away my daughter. But I can no more give Jamie away than I can give away my heart. But I can let another share in the joy she has given me. May God's blessings be with you both.",
