id,scene,question,answer,evidence,qa_type
1,11、INT. PROWLER,Why does Wade insist on calling a professional?,Because his daughter is taken.,"They got Jean here! I give these sons a bitches a million dollars, where's my guarantee they're gonna let her go.",causal/relational queries
2,10、INT. GUNDERSON HOUSE,Why does Marge suddenly double over and say she might barf?,She is overwhelmed by the crime scene's gruesome details.,"Marge looks up from the car and suddenly doubles over, putting her head between her knees down near the snow.",causal/relational queries
3,24、INT. WADE'S OFFICE,What does Jerry say about the finder's fee?,"He says he needs the principal, not a finder's fee.","No, see, I don't need a finder's fee, I need - finder's fee's, what, ten percent, heck that's not gonna do it for me. I need the principal.",dialogue/beliefs
4,22、EXT. CAR,What caused Marge to express concern about Mike?,He was bothering Linda and had psychiatric issues.,VOICE: 'he was bothering Linda... he's been struggling.',causal/relational queries
5,10、INT. GUNDERSON HOUSE,What caused the high-speed pursuit that ended at the wreck?,The state trooper pulling someone over led to a shooting and subsequent pursuit.,"Marge states, 'we got a state trooper pulls someone over, we got a shooting, and these folks drive by, and we got a high-speed pursuit, ends here.'",causal/relational queries
6,9、EXT. GUNDERSON HOUSE,"In [9、EXT. GUNDERSON HOUSE], What is Marge's current action?",Making her way down the icy front stoop to her prowler.,Dawn. Marge is making her way down the icy front stoop to her prowler.,character states
7,29、INT. CIERA,When does Jean start screaming?,After Grimsrud stubs the cigarette,"Grimsrud takes the cigarette from his mouth and stubs it in his ashtray. We hear... In the back seat, Jean starts screaming.",temporal references
8,25、INT. CAR,What does Carl say about Grimsrud's speech?,That's more'n I've heard you say all week.,CARL Geez. That's more'n I've heard you say all week.,dialogue/beliefs
9,22、EXT. CAR,Why was Mike pestering Linda according to the phone conversation?,He had psychiatric problems and was struggling.,VOICE: 'Mike's had psychiatric problems.',causal/relational queries
10,21、EXT. JERRY'S HOUSE,What does the man say about the guy's situation at the lake?,I'm goin' crazy out there at the lake.,"The man recounts the guy saying, 'I'm goin' crazy out there at the lake.'",dialogue/beliefs
11,17、EXT. HOUSE,"In [17、EXT. HOUSE], What is Wade's behavioral state as described in the passage?",Slams the door and peels out.,"Wade, briefcase in hand, gets into his Cadillac, slams the door and peels out.",character states
12,12、EXT. CABIN,What actions does the hooded woman perform as she moves across the snow?,"She lurches, staggers, stumbles, and falls face-first into the snow.","With muffled cries, the hooded woman lurches across the unbroken snow, staggering this way and that, stumbling on the uneven terrain. She stops... lurches out... reels, staggers, and falls face-first into the snow.",detailed description
13,2、INT. WADE'S OFFICE,"In [2、INT. WADE'S OFFICE], What is Wade's emotional state during the conversation?",Angry,Wade is angry.,character states
14,8、EXT. ROAD,"In [8、EXT. ROAD], Where is the young man limping across after the car wreck?",A snowfield abutting the highway,The wrecked car's headlights shine off into a snowfield abutting the highway.,scene localization
15,33、INT. PROWLER,What belief does Marge express about the tag number DLR?,She thinks the vehicle had dealer plates.,MARGE: I think that vehicle there probly had dealer plates. DLR?,dialogue/beliefs
16,33、INT. PROWLER,What does Marge say about Lou's policework?,She isn't sure she agrees with him a hundred percent.,"MARGE: I'm not sure I agree with you a hunnert percent on your policework, there, Lou.",dialogue/beliefs
17,38、INT. CABIN,What does 'TV voice-over' refer to in the passage?,A voice-over from the television describing the bark beetle's behavior.,TV VOICE-OVER The bark beetle carries the worm to the nest ... where it will feed its young for up to six weeks...,terminology/abbreviation/concept
18,30、EXT. ROAD,What does Marge tell Norm about sleeping?,"You can sleep, hon. It's early yet.","MARGE / ... You can sleep, hon. It's early yet.",dialogue/beliefs
19,3、INT. CAR,"In [3、INT. CAR], Where is Jean located?",back seat underneath a tarpaulin,Jean lies bound and curled on the back seat underneath a tarpaulin.,scene localization
20,23、INT. CAR,What does Carl suggest to Gaear about Brainerd?,He suggests stopping outside Brainerd to get laid.,CARL: 'We'll stop outside of Brainerd. I know a place there we can get laid.',dialogue/beliefs
21,38、INT. CABIN | 16、INT. CABIN | 44、EXT. CAR,What does Mike Yanagita state about his wife during his conversation with Marge?,"Mike Yanagita states that his wife, Linda, passed away two years earlier.","Mike says his wife, Linda, passed away two years earlier.",character states
22,23、INT. CAR | 12、EXT. CABIN,What does Carl state about Jean's attempt to escape at the cabin?,Carl does not make any verbal statements about Jean's attempt to escape; he only laughs and watches her struggle.,"Carl laughs loudly, watching her struggle, while Grimsrud moves to retrieve her after a brief hesitation.",character states
23,32、INT. GUNDERSON HOUSE | 44、EXT. CAR,What does Marge say about the motive for the killings during the transport of Grimsrud?,Marge mutters to herself that it is incomprehensible how people could commit killings over such a small amount of money.,"As she drives, she mutters to herself about the small amount of money involved, shaking her head at the killings over so little.",character states
24,30、EXT. ROAD | 34、EXT. CABIN,What does Norm state about his painting when Marge visits him at the station?,Norm states that his painting is going pretty well.,Norm says it's going pretty well and mentions the Hautmans are entering a painting this year.,character states
25,41、INT. HUT | 44、EXT. CAR | 22、EXT. CAR | 38、INT. CABIN,When does Marge arrive at Jerry Lundegaard's office?,Marge arrives at Jerry Lundegaard's office after finishing her breakfast sandwich in the parking lot of the Gustafson Olds garage.,"She finishes the meal, then gets back into her car and continues on, eventually arriving at Jerry Lundegaard's office.",temporal references
26,22、EXT. CAR | 44、EXT. CAR,What does Marge state about Mrs. Lundegaard during the drive with Grimsrud?,Marge states that Mrs. Lundegaard must have been involved in the case.,"She speaks aloud about the case, saying that Mrs. Lundegaard must have been involved.",character states
27,1、INT. CAR | 16、INT. CABIN | 38、INT. CABIN,When does Carl make the ransom call from the restaurant booth relative to Jerry's conversation with the GMAC representative?,Carl makes the ransom call after Jerry hangs up with the GMAC representative.,"Jerry hangs up with the GMAC representative, then immediately knocks the blotter off his desk. After this, Carl calls Jerry from the restaurant booth to deliver the ransom demand.",temporal references
28,30、EXT. ROAD | 44、EXT. CAR | 22、EXT. CAR,What does Norm state to Marge before she leaves for work?,Norm states that he loves her.,"Norm, in a dressing gown, tells her he loves her.",character states
29,23、INT. CAR | 34、EXT. CABIN | 1、INT. CAR | 44、EXT. CAR,What does Gaear Grimsrud do after he sees a flicker of movement behind the shower curtain?,"Gaear Grimsrud forces the bathroom door open with a crowbar, sees the movement behind the shower curtain, and then confronts Jean when she lunges at him, ultimately chasing her down the stairs after she trips and falls.","Gaear wedges a crowbar into the bathroom door and forces it open. In the mirror, Gaear sees a flicker of movement behind the shower curtain. Jean bursts out, lunging at him. She runs into the bedroom, wrapped in the curtain, and stumbles down the stairs. Gaear follows.",character states
30,34、EXT. CABIN | 16、INT. CABIN | 34、EXT. CABIN | 38、INT. CABIN,Why does Carl hit the television set while Jean is held captive?,"Carl hits the television set because it is not working and he is frustrated by the lack of a signal, which adds to his irritation from being stuck in the cabin.","Carl stands in front of an old black-and-white television set displaying only snow. He hits the side of the TV with his fist, cursing as the screen flickers but remains dead. He shouts at it, demanding a signal, and yells about being stuck for days with nothing to do.",causal/relational queries
31,3、INT. CAR,What does Grimsrud threaten to do if Jean continues to make noise during the car ride?,Grimsrud threatens to throw Jean back in the trunk if she does not stop making noise.,"He turns suddenly and glares at Jean beneath the tarpaulin. 'Shut the fuck up or I'll throw you back in the trunk, you know,' he says.",character states
32,10、INT. GUNDERSON HOUSE | 22、EXT. CAR | 38、INT. CABIN,What does Marge state about her pregnancy during the investigation?,Marge states that she is pregnant and due in April.,Marge shares that she is pregnant and due in April.,character states
33,9、EXT. GUNDERSON HOUSE | 30、EXT. ROAD | 32、INT. GUNDERSON HOUSE | 44、EXT. CAR,What does Marge state about her physical condition at the crime scene?,Marge states that she is experiencing morning sickness.,Marge says it was morning sickness when Lou asks if she is okay after she doubles over near the wreckage.,character states
34,10、INT. GUNDERSON HOUSE | 30、EXT. ROAD | 34、EXT. CABIN,What does Marge state about Norm's cooking that morning?,Marge states that Norm made her eggs that morning.,Marge replies that she already ate—Norm made her eggs that morning.,character states
35,25、INT. CAR | 34、EXT. CABIN | 16、INT. CABIN | 34、EXT. CABIN | 38、INT. CABIN,What does Grimsrud threaten to do if Jean does not stop making noise in the car?,Grimsrud threatens to throw Jean back in the trunk if she does not stop making noise.,"Grimsrud says, 'Shut the fuck up or I'll throw you back in the trunk, you know,' when he hears Jean whimpering from the back seat.",character states
