doc_title,chunk_id,text,scene_context
105、INT. UN MEDITATION ROOM - DAY,doc_104_chunk_2,Get your Polos and fuck off.,
108、INT. UN CORRIDOR - DAY,doc_107_chunk_4,"Ah, ambassador -- with your big baldy head you are spoiling us.",
105、INT. UN MEDITATION ROOM - DAY,doc_104_chunk_3,What do you want?,"Scene: Location not specified; Malcolm speaks quietly to Toby, who has just delivered news about a collapsing wall."
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_7,She's married? The poor bastard.,"Scene: In a room with Simon and Judy, Malcolm comments to Simon about Judy being married after she leaves."
123、INT. DFID - DAY,doc_122_chunk_0,"Ah, here they are. Minister. Elizabeth. Welcome aboard.","Open-plan office, Malcolm greets the new Minister and her Advisor upon their arrival."
105、INT. UN MEDITATION ROOM - DAY,doc_104_chunk_4,"It's complicated, okay? I've been juggling a number of responsibilities.","Scene D: Malcolm speaks to Simon, who questions his work for an unnamed person."
111、INT. UN CORRIDOR/TINY OFFICE - DAY,doc_110_chunk_3,"Right, let's find a printer. The Japanese, they'll have one. They've got everything.","Scene D: Malcolm speaks to Toby about finding a printer, mentioning the Japanese having one."
119、INT. UN - DAY,doc_118_chunk_6,"Right, Rumpleforeskin's give me your laptop, so -- shall we draft your `Dear Prime Minister, just a quick note to say thanks for sacking me' letter?",
119、INT. UN - DAY,doc_118_chunk_4,"I have spoken to the Prime Minister. Whether it has happened or not is irrelevant. It is true. As soon as I heard about the wall, I spoke to him and he decided you had to go.",
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_9,No. Not foreseeable. That's fucking declaring war. Do you want to fucking declare war?,
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_9,Write this down. It's neither forseeable,
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_8,"No, not until we can trust you to keep to the line.",
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_8,What is it then?,"Office setting, Malcolm is monitoring Judy's movements and speaking to someone about her."
105、INT. UN MEDITATION ROOM - DAY,doc_104_chunk_1,"Okay, quick reality check, J Edgar Fucking Hoover. I don't work for you. You don't tell me what to fucking do.","Scene CONTINUE D:\LINTON: In a tense confrontation, Malcolm argues with Linton about authority and control, asserting his independence."
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_6,"Your purview? Where do you think you are sweetheart, in some Regency costume drama? This is a government department, not a fucking Jane Austen novel. Allow me to pop a jaunty little bonnet on your purview and ram it up the shitter with a",
119、INT. UN - DAY,doc_118_chunk_5,"Yeah well if you try to turn this into some anti-war protest, you can expect your `mountain of conflict' soundbite to be everywhere from ringtones to a fucking dance mix on YouTube. I will marshall all the forces of media darkness to hound you to an assisted suicide.",
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_0,"Oh why didn't you say? I mean, he asked you. Fuck. Of course, that explains it. Yeah. Say, if he'd asked you to fucking black up, or give him your PIN number, or shot yourself, would you have done that as well.","Simon's office, Malcolm responds to Simon about being asked for a personal opinion."
111、INT. UN CORRIDOR/TINY OFFICE - DAY,doc_110_chunk_1,Is it highlighted?,"Scene: In an unspecified location, Malcolm is working with Michael and Jamie on a document, asking about the selection status."
111、INT. UN CORRIDOR/TINY OFFICE - DAY,doc_110_chunk_1,"Okay, right, standby ... delete!","Scene: In an unspecified location, Malcolm instructs to delete part of a document while working with Michael and Jamie."
28、INT. NUMBER 10. DAY.,doc_27_chunk_0,"Simon. I don't like finding out about people I work with via the news, unless they've died. Get over here now so we can address at least one of those issues.",Scene: Malcolm is watching SKY NEWS coverage of Simon's press event; he is speaking to Simon on the phone.
105、INT. UN MEDITATION ROOM - DAY,doc_104_chunk_0,Honestly? I haven't got it. We need more time.,"Scene: In a room with a big stone, Malcolm speaks with Linton about missing intel and needing more time."
105、INT. UN MEDITATION ROOM - DAY,doc_104_chunk_0,No. I've had the vote brought forward.,"Scene: In a room with a big stone, Malcolm responds to Linton's question about delaying the vote."
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_5,"Because they ask fucking questions on Question Time. And you're no good at questions. If it was Fumbling, Off-Message Shit Fucking Answer Time, you'd be our main guy. But it's not. Judy, sorry, why wasn't I told about this? Why should I tell you about this? Because it's a scheduled media appearance by this department's Secretary Of State and it therefore falls within my purview...",
5、INT. MALCOLM'S OFFICE. DAY.,doc_4_chunk_1,"Oh yes, say it again. Very good. What is this, The Shitting Forecast?",
5、INT. MALCOLM'S OFFICE. DAY.,doc_4_chunk_1,Steady Eddie...,
111、INT. UN CORRIDOR/TINY OFFICE - DAY,doc_110_chunk_2,"Have you tried hitting him? Give him a thump, that usually works.",Scene: Malcolm is speaking to Jamie and Toby while trying to fix a technical issue with Michael; the conversation is about getting a device or system working again.
111、INT. UN CORRIDOR/TINY OFFICE - DAY,doc_110_chunk_2,Great. Now attach that to email.,Scene: Malcolm is speaking to Jamie and Toby after the system starts working again; the conversation is about sending something via email.
51、INT. WASHINGTON HOTEL - CONTINUOUS,doc_50_chunk_0,"I'm here, I'm there, I'm fucking everywhere. I am the egg-man.","Scene: At Simon's door, Malcolm responds to Simon's surprise at his physical presence."
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_10,"Okay, you need to work on this fucking line.","Scene: In an office, Malcolm calls back to Simon as he is leaving."
11、INT. DFID SIMON'S OFFICE. DAY.,doc_10_chunk_10,"That includes you, Jane Fucking Austen with the strap-on. Oh, and put the sniff out there that the next time the BBC ambushes a Minister with a war question we'll drop a bomb on them.","Scene: In an office, Malcolm speaks to Judy before leaving."
