scene,question,answer,evidence,qa_type
15、EXT. ST. PETERSBURG OFFICE - MOMENTS LATER,"In [15、EXT. ST. PETERSBURG OFFICE - MOMENTS LATER], What actions does Aleksei perform after receiving the Dented Box?","Closes the door of a Czarist-era building, checks his watch, and picks up the phone","who closes the door of a Czarist-era building. Aleksei checks his watch, picks up the phone",character states
24、INT. HOTEL ROOM - NIGHT - LATER,"In [24、INT. HOTEL ROOM - NIGHT - LATER], What is Chuck's emotional state when he hears Kelly's answering machine?",Frustrated and anxious,This is not what Chuck wanted to hear. He's stumbling over whether to say I love you.,character states
37、INT. SUPERHUB - NIGHT,"In [37、INT. SUPERHUB - NIGHT], What specific object is described as moving through the FedEx center?",A huge plastic Santa Claus,"A Christmas tree goes by, then a huge plastic Santa Claus, both with shipping labels.",objects/props
39、INT. CHUCK'S HOUSE - MOMENTS LATER,When did the fish die relative to Chuck fixing the filter?,Before Chuck fixed the filter,But for a couple of fish floating on top of the tank it's too late.,temporal references
30、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,When does Lev deliver his line about fingers?,After the truck leaves and everyone takes a breath.,"The truck roars out of the loading dock. Everyone takes a breath. They are happy, proud. LEV...",temporal references
8、INT. GLOBAL OPERATIONS CENTER - NIGHT,What is the purpose of the wall graphic in the room?,To chart hundreds of airplanes.,A jumbled room... dominated by a HUGE WALL GRAPHIC that charts hundreds of airplanes.,causal/relational queries
8、INT. GLOBAL OPERATIONS CENTER - NIGHT,Why is the Operator moving the yellow strip labeled Jumbo 12?,To update the wall graphic's airplane tracking.,An Operator moves a yellow strip labeled Jumbo 12 across the board.,causal/relational queries
45、INT. HALLWAY - NIGHT,"In [45、INT. HALLWAY - NIGHT], Where is the Xerox machine located relative to Chuck?",Ahead of Chuck in a semi-dark room with specimen racks,Ahead of him we see the flashing green light of a Xerox machine,scene localization
29、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,How does Chuck influence the office environment?,"Setting the example, leading the team to work together","Chuck is everywhere, setting the example. The whole office is energized, working together.",detailed description
20、INT. FEDEX OFFICES - DAY,"In [20、INT. FEDEX OFFICES - DAY], What is Chuck's behavioral state during the meeting?",Leadership-focused and instructive,"Chuck leads his team, gives instructions, and analyzes the sorting area",character states
23、EXT. HOTEL - ST. PETERSBURG,"In [23、EXT. HOTEL - ST. PETERSBURG], What is Chuck's emotional state when he enters the hotel?",Weary,A weary Chuck enters the hotel,character states
28、INT. FEDEX OFFICES - ST. PETERSBURG,When do the other executives follow Chuck?,After he begins pulling off packages,He heads toward the truck and begins pulling off packages. All the other executives follow him.,temporal references
39、INT. CHUCK'S HOUSE - MOMENTS LATER,When did Chuck notice the fish were dead?,After he fixed the filter,"CHUCK Sorry, I'm really sorry.",temporal references
36、INT. MD-11 - NIGHT,What instruction does Stan give regarding delivery?,You gotta do your own delivery from here.,STAN: You gotta do your own delivery from here.,dialogue/beliefs
28、INT. FEDEX OFFICES - ST. PETERSBURG,When does Chuck begin pulling off packages?,While the executives stand and watch,The executives all stand and watch. But not Chuck. He's hands on. CHUCK Let's go. He heads toward the truck and begins pulling off packages.,temporal references
30、INT. FEDEX OFFICES - ST. PETERSBURG - MINUTES LATER,When does the truck roar out of the loading dock?,After Chuck pounds the truck and says 'Go'.,Chuck pounds the truck on the side. Go. The truck roars out of the loading dock.,temporal references
"11、INT. ST. PETERSBURG FEDEX OFFICE, RUSSIA",Why does Yuri put down the Angel Box?,He sees an attractive co-worker.,"picks up the Angel Box, sees an attractive co-worker, puts it down",causal/relational queries
46、INT. XEROX ROOM,What does Chuck mean by 'follow the paper path'?,A specific route paper takes through the Xerox machine to diagnose jams.,"He pries up one feeder, then another. Chuck: 'Got to follow the paper path here.'",terminology/abbreviation/concept
60、EXT. FARM HOUSE - SHED - DAY,What is Amanda's relationship to Chuck?,She is his niece.,"This is AMANDA, his niece.",causal/relational queries
24、INT. HOTEL ROOM - NIGHT - LATER,"In [24、INT. HOTEL ROOM - NIGHT - LATER], What does Chuck's behavior indicate about his preparedness?",He is prepared for anything,The guy is prepared for anything.,character states
