id,scene,question,answer,evidence,qa_type
1,13、INT. AMY'S HOTEL ROOM - NIGHT,What does Marla say about her fate when she addresses Amy in the tape?,"I knew you'd come. Course if you're watching this tape, it's already too late for me. But maybe you can stop it.","MARLA (a little sad) I knew you'd come. Course if you're watching this tape, it's already too late for me. But maybe you can stop it.",dialogue/beliefs
2,44、INT. SUBWAY TUNNEL - NIGHT,What is the purpose of self-inflicted harm according to Marla?,It is the final preparation for giving her soul willingly.,You have to come to the point where you can do it to yourself -- that's the acceptance. The final preparation before you give your soul to it. Willingly.,causal/relational queries
3,50、INT. HALLWAY - DAY (FLASHBACK),What does Amy's father do after looking down the corridor?,He turns and storms off in the opposite direction.,He turns and storms off in the opposite direction.,detailed description
4,57、INT. WINTER'S ROOM - DAY,"In [57、INT. WINTER'S ROOM - DAY], What object is described as being in a solved configuration on the altar?",The PUZZLE BOX,"With a glance she can see that the PUZZLE BOX, in its solved configuration, sits on a make-shift altar at the head of the mattress.",objects/props
5,15、INT. AMY'S HOTEL ROOM - NIGHT,"In [15、INT. AMY'S HOTEL ROOM - NIGHT], What visual changes occur when the puzzle box unlocks?","Light emanates from within as it clicks into another form, and the table trembles.","Light seems to emanate from within as it clicks into another form. The table beneath it seems tremble, the ice in her drink taps against the edge of the glass.",detailed description
6,15、INT. AMY'S HOTEL ROOM - NIGHT,What does Amy do when she first interacts with the puzzle box?,"She explores its edges with her fingers, rolling it over and over.","She begins to explore it's edges with her fingers, rolling it over and over in her hands.",detailed description
7,21、EXT. POLICE HEADQUARTERS - DAY,What does Amy say about the story's reality?,It's real -- or I'm crazy.,AMY: It's real -- or I'm crazy.,dialogue/beliefs
8,34、INT. AMY'S HOTEL ROOM - NIGHT,What does Amy believe about the story she is writing?,Amy believes she is destined to write the story.,"if there was ever a story I was born to write, this is it.",dialogue/beliefs
9,34、INT. AMY'S HOTEL ROOM - NIGHT,How does Amy describe her mental state?,Amy describes herself as 'fucked in the head' but insists she's fine.,"I'm just a little... fucked in the head. That's all. It's just a funk, but I'm fine.",dialogue/beliefs
10,13、INT. AMY'S HOTEL ROOM - NIGHT,What warning does Marla give Amy regarding the puzzle box?,Don't open the box Amy. If you do Winter wins.,"MARLA Don't open the box Amy. If you do Winter wins, and if he wins-",dialogue/beliefs
11,10、INT. MARLA'S ROOM - DAY,What caused the flies to buzz when Amy approached?,Amy's approach alarmed the flies.,"There's a sudden loud buzzing as the flies that crawl on Marla abruptly rise up, alarmed (or whatever it is flies are) at her approach.",causal/relational queries
12,3、INT. CRACK DEN - DAY,What does Amy do after determining the Man is asleep?,Slides her way off the mattress and rolls quietly onto the floor.,"She freezes for a beat, then after determining that the Man is asleep, she slides her way off the mattress and rolls quietly onto the floor.",temporal references
13,25、INT. THE BATHROOM - DAY,"In [25、INT. THE BATHROOM - DAY], What behavioral state does Amy exhibit before entering the passage?",hesitating,"Hesitating only a moment, Amy turns sideways and slides herself into the claustrophobic slot.",character states
14,25、INT. THE BATHROOM - DAY,"In [25、INT. THE BATHROOM - DAY], What emotional state is Amy in when she examines the bathroom?",puzzled,"She stands in the dark, claustrophobic place, puzzled.",character states
15,18、INT. SUBWAY PLATFORM - NIGHT,"In [18、INT. SUBWAY PLATFORM - NIGHT], What is Amy's emotional state when she sees the man in the green raincoat?",Fearful and struggling for balance,"Amy gasps, takes a step back -- and her heel lands on the edge... struggles for balance",character states
16,58、INT. CHARLES RICKMAN'S OFFICE - DAY,What action does Betty take to summon the reporter?,Leans her head out of the room to signal someone in the hall.,Betty leans her head out of the room signalling someone out in the hall to come in.,detailed description
17,58、INT. CHARLES RICKMAN'S OFFICE - DAY,What specific images are shown on the TV during the news report?,"Cars on fire, imploded building, panic in the street.","Images of what appear to be a terrible explosion fill the frame (stock footage from a terrorist attack in London perhaps?) Cars on fire, imploded building, panic in the street, etc...",detailed description
18,56、INT. HOSPITAL CORRIDORS,"In [56、INT. HOSPITAL CORRIDORS], What is the knife doing?",It is buried up to the handle in the father's chest.,The knife buried up to the handle in his chest.,objects/props
19,44、INT. SUBWAY TUNNEL - NIGHT,Why did Amy find Marla?,Because Marla tried to end her life.,I tried to end it. That's when you found me.,causal/relational queries
20,10、INT. MARLA'S ROOM - DAY,Why is Marla in an impossible angle?,A long boot-lace was tied around her neck and to the wall pipe.,A long boot-lace has been tied around Marla's neck and tied to the wall pipe on the toilet.,causal/relational queries
21,21、EXT. POLICE HEADQUARTERS - DAY,What does Charles believe about the origin of the word 'demon'?,It comes from the Greek word for 'knowledge'.,"CHARLES: Did you know, the word 'demon' comes from the Greek word for 'knowledge.'",dialogue/beliefs
22,32、INT. DEADER'S DUNGEON - DAY,"In [32、INT. DEADER'S DUNGEON - DAY], Where does Winter place the puzzle box?",On a makeshift altar at the head of the mattress,Winter takes the PUZZLE BOX and places on a makeshift altar at the head of the mattress.,scene localization
23,57、INT. WINTER'S ROOM - DAY,"In [57、INT. WINTER'S ROOM - DAY], What weapon does Winter offer Amy during the ritual?",THE FAMILIAR STILETTO,WINTER holds out a knife -- THE FAMILIAR STILETTO -- for her to take.,objects/props
24,26、INT. WINTER'S ROOM - DAY,What does Amy do with her bag during the conversation with Winter?,Opens her bag and produces the Puzzle Box,Amy opens her bag and produces the Puzzle Box,detailed description
25,54、INT. CORRIDOR - DAY,What does Amy do when she addresses him?,Screams out to him and shouts 'Leave her alone!',Amy screams out to him. AMY Leave her alone!,detailed description
26,14、INT. CHARLES RICKMAN'S OFFICE - NIGHT,What does Amy claim about her ability to handle sensitive situations?,I can't do the sensitive thing.,AMY: I can't do the sensitive thing.,dialogue/beliefs
27,14、INT. CHARLES RICKMAN'S OFFICE - NIGHT,What does Charles say about his responsibility for Amy's safety?,I don't want it to be my fault.,CHARLES: ...I don't want it to be my fault.,dialogue/beliefs
28,2、INT. CRACK DEN - NIGHT,"In [2、INT. CRACK DEN - NIGHT], What is Amy Klein's role during the party?","She is acting as a reporter, observing others.",She is studying the other partiers with a keen reporter's eye.,character states
29,37、INT. HOTEL BATHROOM - NIGHT,"In [37、INT. HOTEL BATHROOM - NIGHT], Where does Amy wash the blood from her hands?",In the sink of the white-tiled bathroom,the sink in the white-tiled bathroom,scene localization
30,28、INT. WINTER'S ROOM - DAY,Why is Amy Klein described as the infinitesimal speck?,She is what remains after subtracting infinite possibilities from her space.,"You, Amy Klein, are the infinitesimal speck that's left when we subtract the infinite possibilities that the space you occupy might have held.",causal/relational queries
31,28、INT. WINTER'S ROOM - DAY,What is the purpose of taking things away?,To create a hand by removing elements.,"You get it by taking things away. You, Amy Klein, are the infinitesimal speck...",causal/relational queries
32,1、INT. CRACK DEN - MORNING,"In [1、INT. CRACK DEN - MORNING], What is the man's behavioral state?",Asleep with his arm around the woman,A MAN asleep next to her with his arm around her,character states
33,31、INT. HALLWAY - DAY (FLASHBACK),Why is the girl kicking and screaming?,She is being carried away by the man.,"She is carried away out of sight, kicking and screaming.",causal/relational queries
34,41、INT. TOKEN BOOTH - NIGHT,What happens after Amy hears footsteps echoing towards her?,She sees the cop in a mirror.,"Through a large mirror at an intersection, she sees the source of the footsteps.",temporal references
35,46、INT. PSYCH WARD/COMMON AREA - DAY | 37、INT. HOTEL BATHROOM - NIGHT | 43、INT. TRAIN - NIGHT,What does Amy state about her willingness to find the truth?,Amy states that she is willing to go to any length to find the truth.,"Amy mentions the box. Joey says she’s willing to go to any length to find the truth, and that’s what he likes about her.",character states
36,17、INT. SUBWAY CAR - NIGHT | 43、INT. TRAIN - NIGHT,Why does Amy realize that Joey was already dead when he spoke to her?,"Amy realizes Joey was already dead because when she removes his sunglasses after the train stops, she sees his eyes are empty and glazed, and his skin feels waxy and cold, indicating he had been dead for some time.","She reaches out, removes his sunglasses, and sees his eyes are empty and glazed. He is dead, and has been for some time. His skin is waxy and cold, his eyes glassy and vacant. The realization sets in—he is not just still, but long dead.",causal/relational queries
37,33、INT. HOTEL BATHROOM - NIGHT | 43、INT. TRAIN - NIGHT,What does Amy state about the box during her interaction with Joey?,Amy mentions the box.,Amy mentions the box.,character states
38,17、INT. SUBWAY CAR - NIGHT | 43、INT. TRAIN - NIGHT,What does Amy state about Marla Chen?,Amy states that Marla Chen sent her.,"Amy says, 'Amy Klein. Marla Chen sent me.'",character states
39,5、INT. OFFICES OF THE UNDERGROUND - DAY,What does Amy state when Charles greets her in his office?,Amy tells Charles to eat her.,"Amy responds flatly, 'Eat me, Charles,' and remains standing.",character states
40,5、INT. OFFICES OF THE UNDERGROUND - DAY | 17、INT. SUBWAY CAR - NIGHT | 43、INT. TRAIN - NIGHT,What does Amy state about the Deaders' activities when questioned by Joey?,Amy states that she thinks the Deaders bring the dead back to life.,"Amy doesn’t hesitate when asked what she thinks the Deaders do and says, 'I think they bring the dead back to life.'",character states
41,13、INT. AMY'S HOTEL ROOM - NIGHT,What does Amy state about the puzzle box?,Amy states that she should not open the puzzle box.,"'Don't open it. Right,' she says quietly.",character states
42,37、INT. HOTEL BATHROOM - NIGHT | 43、INT. TRAIN - NIGHT,Why does Amy realize that Joey was already dead during their conversation?,"Amy realizes Joey was already dead because when she removes his sunglasses, she sees his eyes are glassy and vacant and his skin is waxy and cold, indicating he has been dead for some time.","She reaches out with a trembling hand and removes his sunglasses. His skin is waxy and cold, his eyes glassy and vacant. The realization sets in—he is not just still, but long dead.",causal/relational queries
43,43、INT. TRAIN - NIGHT,What does Amy state about the box during her confrontation with Joey on the train?,Amy whispers the word 'The box.',"Amy whispers, 'The box.'",character states
44,2、INT. CRACK DEN - NIGHT | 49、INT. CORRIDOR - DAY,What does Amy state about her condition after the man collapses?,Amy does not state anything about her condition after the man collapses.,"The passage describes Amy looking around disoriented and then stumbling down the corridor, but there is no statement made by Amy about her condition.",character states
45,38、INT. HOTEL BATHROOM - NIGHT | 43、INT. TRAIN - NIGHT,What does Amy state about the box during her interaction with Joey?,Amy mentions the box.,Amy mentions the box.,character states
46,16、INT. SUBWAY STATION - NIGHT | 43、INT. TRAIN - NIGHT,What does Amy realize about Joey after removing his sunglasses?,"Amy realizes that Joey is already dead, having been so for some time.","She reaches out, removes his sunglasses, and sees his eyes are empty and glazed. He is dead, and has been for some time.",character states
47,17、INT. SUBWAY CAR - NIGHT | 43、INT. TRAIN - NIGHT,What does Joey state about his reasons for deciding to help Amy?,"Joey states that entropy is destroying everything anyway, so he might as well do his part by helping her.","He shrugs and dismisses his hesitation, saying, 'Oh, the hell with it. Entropy's destroying everything anyway. Why shouldn't I do my part?'",character states
48,13、INT. AMY'S HOTEL ROOM - NIGHT,What does Marla state about opening the puzzle box?,"Marla states that Amy should not open the puzzle box because if she does, Winter wins.","She warns Amy not to open the puzzle box, saying that if she does, Winter wins.",character states
49,7、EXT. APARTMENT BUILDING - DAY | 10、INT. MARLA'S ROOM - DAY,What does Amy state about Marla when she confronts the apartment manager?,Amy states that Marla is dead and hanged in the bathroom.,"She tells him that Marla is dead, hanged in the bathroom.",character states
