id,scene,question,answer,evidence,qa_type
1,18. 小树林，夜，外,"在[18. 小树林，夜，外]中, 武月对严守一的行为表现出什么状态？",持续亲昵纠缠,武月继续咬着，吻着严守一。,character states
2,30. 卧室，夜，内,严守一脱下内衣后，于文娟有何反应？,于文娟脸上一阵难过，差点哭出来。,于文娟脸上一阵难过，差点哭出来。,detailed description
3,30. 卧室，夜，内,严守一脱下内衣后，于文娟看到了什么？,肩背上留着上下牙齿咬过的印痕。,严守一肩背上赫然留着上下牙齿咬过的印痕。,detailed description
4,73. 518房间，日，内,"在[73. 518房间，日，内]中, 严守一的当前状态如何？",疲惫且情绪低落,揉了揉眼睛，呆住了,character states
5,76. 严守一家，日，内,"在[76. 严守一家，日，内]中, 沈雪在对话中表现出什么情绪？",自责和愤怒,我想了一宿，我就是个傻子……你心里有鬼。,character states
6,60. 洗脚屋，夜，内,严守一为什么不接听电话？,认为是记者，不想给自己找事,肯定又是记者，甭给自己找事了,causal/relational queries
7,52. 育婴房，日，内,严守一如何评价文娟的隐瞒？,她是在惩罚我,严守一说：唉，她是在惩罚我,dialogue/beliefs
8,57. 严守一家，日，内,沈雪对严守一说了什么？,你是个骗子,你是个骗子！,dialogue/beliefs
9,53. 病房，日，内,费墨为什么给儿子起名严实？,因为想表达孩子长得结实且长大后实实在在。,费墨：文娟啊，我给娃儿起了个名字，不晓得中不中你的意？是个儿子嘛，就叫他严实。哎，不是那个石头的石，取个谐音，一是说娃儿长得结实，二是说娃儿长大了以后，实实在在。,causal/relational queries
10,62. 严守一家，夜，内,严守一为什么背着沈雪打电话？,处心积虑证明在乎她。,处心积虑证明在乎你。,causal/relational queries
11,65. 公路上，夜，外,沈雪为什么怀疑严守一？,认为严守一旧情复发，与他人预谋,你老是这么疑神疑鬼的，我都不敢说真话啊,causal/relational queries
12,50. 大门口，夜，外,"在[50. 大门口，夜，外]中, 沈雪的情绪状态如何？",沉默且严肃,沈雪挪着步子不说话,character states
13,62. 严守一家，夜，内,沈雪为什么质疑严守一的手机设置？,因为怀疑他有事瞒着她。,你今儿洗脚的时候，手机好好的干嘛改振动啊？有事瞒着我吧？,causal/relational queries
14,13. 严守一家，日，内,"在[13. 严守一家，日，内]中, 严守一在听到武月电话时的情绪状态如何？",惊讶,看到武月打过电话，禁不住“哎呦”叫出了声。,character states
15,31. 市立戏剧学院大门内，日，外,沈雪如何回应严守一未到场？,用点名册打了两下他的头,沈雪笑着走到严守一跟前，用点名册打了两下严守一的头,detailed description
16,61. 严守一家，夜，内,严守一为何手机掉在地上？,沈雪闯入厕所导致他慌张,沈雪忽然闯进厕所，严守一慌的手机也掉在地上,causal/relational queries
17,73. 518房间，日，内,"在[73. 518房间，日，内]中, 武月在对话中表现出什么情绪？",哽咽和流泪,眼泪掉了下来（哽咽中）,character states
18,29. 严守一家，夜，内,于文娟在严守一说话后做了什么？,按了下遥控器，站起来，向严守一走去。,于文娟按了下遥控器，站起来，向严守一走去。,detailed description
19,53. 病房，日，内,严守一为什么把手机24小时开机？,以便于文娟和孩子能随时找到他。,严守一：你和孩子有什么事，随时能找到我（把手机放到了于文娟面前），从今天起，我这手机，二十四小时都为你开着。,causal/relational queries
20,59. 小岛，日，外,严守一在节目中讨论的话题是什么？,人该不该撒谎。,电视里的严守一：大家晚上好，这里是有一说一，我是严守一。 （武月站起来把门关上）我们今天讨论的话题是：人该不该撒谎。,dialogue/beliefs
21,41. 路上，日，外,费墨对沈雪说了什么？,这枣吃下去，责任很大。,费墨对沈雪说，这枣吃下去，责任很大。,dialogue/beliefs
22,13. 严守一家，日，内,"在[13. 严守一家，日，内]中, 于文娟对严守一的提醒表现出什么态度？",关心,于文娟从厨房出来：把手机忘了吧？,character states
23,11. 公路上，日，外 | 12. 小区，日，外 | 29. 严守一家，夜，内 | 13. 严守一家，日，内,严守一为什么坚持要回家取手机而不是用费墨的手机打电话？,因为严守一觉得手机带在身上才踏实，担心妻子于文娟在家打电话找不到人。,严守一认为手机必须带在身上才安心，且顾虑妻子可能联系他。,character states
24,30. 卧室，夜，内,在发现严守一肩背上的牙印后，于文娟的情绪状态如何表现？,于文娟在看到牙印后身体僵住，随后捂住脸，放下手时脸色发白，并沉默地转身离开。,于文娟看到牙印后僵住，捂脸片刻，放下手时脸色发白，随后沉默离开。,character states
25,48. 沈雪屋内，夜，内 | 17. 教室，日，内,在严守一夺下沈雪的外衣后，他的行为如何反映出他试图缓和两人之间的紧张情绪？,严守一通过自嘲的方式将两人之间的矛盾比作‘都是检查’，并主动表示要‘先哄您得了’，随后在下课铃响时郑重地将检查放在外衣上双手递还，以此举动表达歉意和缓和关系的意愿。,严守一夺过外衣后说错误都是检查，随后表示要哄沈雪，并在铃响后将检查放在外衣上双手递还。,character states
26,10. 严守一家，日，内 | 30. 卧室，夜，内,于文娟在两次接听严守一手机来电后，表现出怎样的心理状态变化？,于文娟在第一次接听电话后感到起疑并陷入沉思，在第二次深夜来电后则表现出沉默的质询态度，显示出她对丈夫行为的怀疑逐渐加深。,第一次接电话后她拿着手机站了一会儿若有所思，第二次接完电话后她盯着严守一没有说话，反映出怀疑情绪的累积。,character states
27,11. 公路上，日，外 | 13. 严守一家，日，内,严守一为什么在得知武月打过电话后选择掩饰这一情况？,严守一担心妻子于文娟察觉到他与武月之间的联系，因此选择掩饰武月的来电以避免引起怀疑。,严守一发现武月打过电话后立即假装查看手机，并谎称是出版社学生打来的，还用‘疯丫头’来形容对方以减轻妻子的疑虑。,character states
28,45. 17     会客室，日，内,在武月提出要写一本揭露严守一的书后，严守一提出的新书名让武月产生了怎样的情绪反应？,武月感到好笑并因此大笑起来，还打了严守一一下，表现出被逗乐的状态。,严守一提议书名《我把青春献给你》后，武月听了哈哈大笑，打了他一下，两人笑作一团。,character states
29,10. 严守一家，日，内 | 30. 卧室，夜，内 | 33. 车厢内，日，内 | 35. 厅堂，日，内,于文娟在发现严守一肩背上的牙印后，她的面部表情和动作表现出怎样的心理状态？,于文娟看到牙印后僵住，抬手捂住脸，几秒后放下手时脸色发白，随后沉默地转身离开，表现出震惊、痛苦和情绪压抑的心理状态。,于文娟看到牙印后僵住，抬手捂脸，放下手时脸色发白，沉默转身离开。,character states
30,19. 小树林，夜，外 | 30. 卧室，夜，内,在严守一与于文娟准备亲热时，他为何突然中断并离开现场？,因为严守一突然想起大段要的纪录片还没找到，于是中断亲热去翻找资料。,严守一在与于文娟亲热时想起未找到的纪录片，便推开她去屋外翻找。,character states
31,33. 车厢内，日，内 | 16. 市立戏剧学院教室，日 ，内 | 17. 教室，日，内,在严守一夺过外衣并说出自嘲的话后，沈雪的情绪发生了怎样的变化？,沈雪从最初的低落和抽泣，转变为情绪缓和并露出笑容。,沈雪原本神情低落、轻轻抽泣，但在严守一说出自嘲的话并递还外衣后，她忍不住笑了一下。,character states
32,37. 严守一老家大院内，日，外 | 38. 厨房内，日，内,沈雪在被迫连续喝下三碟酒的过程中，表现出怎样的情绪和心理状态变化？,沈雪最初因被强劝喝酒而感到吃惊和委屈，随后在坚持饮酒时表现出逞强和责任感，最终完成三碟酒后显露出疲惫状态。,沈雪喝酒时辣得咧嘴呲牙，露出吃惊神情并质问为何总让她喝，后表示酒必须喝以挽回北京人的脸面，最后坐在凳上喘气、神情疲惫。,character states
33,10. 严守一家，日，内 | 30. 卧室，夜，内 | 13. 严守一家，日，内 | 30. 卧室，夜，内 | 33. 车厢内，日，内,在严守一与于文娟婚姻关系结束之后，他对沈雪产生了怎样的情感态度？,严守一在离婚半年后对沈雪产生了想要结婚的认真情感，认为她比之前更体贴。,严守一在离婚后半年于短训班结业时向费墨表示想娶沈雪，觉得她更体贴。,character states
34,30. 卧室，夜，内 | 31. 市立戏剧学院大门内，日，外,在结业合影拍摄过程中，严守一最初为什么没有及时回应沈雪的点名？,严守一当时正在低头调整相机，因此没有及时回应沈雪的点名。,严守一在沈雪点名时正低头调整相机，随口应了一声‘没来’。,character states
35,44. 屋内，日，内,为什么费墨在听到严守一模仿同事接电话后选择离开？,因为严守一的模仿行为让费墨感到不适，认为这种行为反映了手机干扰下人际交流的虚假和轻浮，加剧了他对手机破坏沟通的反感。,费墨听到严守一模仿接电话后突然坐直并起身离开，随后表达了对手机让人无法好好说话的不满，并提议做节目批判人们用手机编借口、搞假交流。,causal/relational queries
36,44. 屋内，日，内 | 27. 小区内，夜，外 | 33. 车厢内，日，内,严守一在接到武月电话时表现出怎样的心理状态？,严守一在接到武月电话时表现出回避和掩饰的心理状态，他通过假装在火车上信号不好来避免与武月直接交流。,严守一捂着手机大声说在火车上听不清，并重复强调火车和信号不好，实际上他并未在火车上，且费墨评价他打电话像演戏。,character states
37,11. 公路上，日，外 | 44. 屋内，日，内,费墨为什么提议制作一档关于手机的新节目？,因为费墨在讲话时被多次响起的手机打断，感到情绪激动，认为手机干扰了人与人之间的真实交流。,费墨被接连响起的手机打断讲话，情绪激动，将手机比作手雷，认为它破坏了正常的对话。,causal/relational queries
