doc_title,chunk_id,text,scene_context
141.大街上|外|日,doc_140_chunk_0,我求求你了！快松开吧！老夫老妻的了，你这让多少人看热闹啊？！你都快长我身上了，跟连体婴似的。,大街上，马冬梅要求夏洛松开。
139.警车里|内|日,doc_138_chunk_0,夏洛，你撒开！你别当着警察面整这出，咱们还不够丢人吗？,警车里，马冬梅对夏洛说不要当着警察面丢人。
135.特护病房|内|深夜,doc_134_chunk_0,那首歌我听一遍就会唱了，我唱给你听。（唱）“我 会在你身边你左右，绝不会放手……”,月光下，马冬梅在唱歌给夏洛听。
138.酒店大堂|内|日,doc_137_chunk_0,夏洛！！你还好意思出来！,婚礼现场：马冬梅对夏洛叫骂。
132.医院门口的角落|外|日,doc_131_chunk_0,大夫，我就想见他一眼。,在住院处，与护士对话，询问病人状况
132.医院门口的角落|外|日,doc_131_chunk_0,好吧，大夫，你告诉我他现在到底怎么样了。,在住院处，与护士对话，询问病人状况
15.小舅子单位门口|外|日,doc_14_chunk_0,你姐夫呢？,马冬梅拦住弟弟的豪华车，与小舅子对话询问姐夫
107.马冬梅家里|内|日-黄昏,doc_106_chunk_4,大春你看看谁来了。,大春进门后，马冬梅向大春介绍夏洛。
31.教室|日|内,doc_30_chunk_1,夏洛……,教室：马冬梅在课堂上小声对夏洛说话
21.高中教室|内|日,doc_20_chunk_1,你干什么？,教室：马冬梅被夏洛掐脸后询问原因。
43.学校操场|外|日,doc_42_chunk_0,谁看见夏洛了？,场景43b：在操场上，马冬梅询问同学们是否看见夏洛。
24.夏洛家客厅|内|夜,doc_23_chunk_0,阿姨，我特别能理解你，我们家也是这种情况，我爸爸叫马冬，我一落地我爸爸就没了，所以我叫马冬梅。,在夏洛妈家，马冬梅与夏洛妈对话，讨论家庭背景。
31.教室|日|内,doc_30_chunk_0,报告！,教室：马冬梅被扶进来后报告。
【闪回】 122.马冬梅家|内|夜,doc_121_chunk_0,我也要像电视剧里那样，你送我一屋子花！我喜欢向日葵！,新婚庆祝，吃火锅，与夏洛对话
【闪回】 122.马冬梅家|内|夜,doc_121_chunk_0,不是，主要是能吃。,新婚庆祝，吃火锅，与夏洛对话
107.马冬梅家里|内|日-黄昏,doc_106_chunk_3,夏洛，你这大明星，我哪有那福气啊！,与夏洛对话
107.马冬梅家里|内|日-黄昏,doc_106_chunk_3,夏洛！！你是怎么知道的？！,与夏洛对话
140.派出所|内|日,doc_139_chunk_0,夏洛你松开我吧我求你了！你能不能注意一下场合？！我不跟你离了还不行吗？,在劝解场景中，马冬梅被夏洛抱着，多人劝解，警察在旁，对话对象为夏洛
107.马冬梅家里|内|日-黄昏,doc_106_chunk_5,大春，你说什么呢？,大春坐在沙发上询问冬梅是否还喜欢夏洛
107.马冬梅家里|内|日-黄昏,doc_106_chunk_5,我去你大爷的！,大春提议三个人一起生活后
133.特护病房|内|深夜,doc_132_chunk_0,夏洛，我和大春来看你了。,病房，月光下，马冬梅对夏洛说来看望
133.特护病房|内|深夜,doc_132_chunk_0,现在变成我一个人来看你了。（对着窗下）大春你在底下放风。,病房，大春掉下后，马冬梅对窗下（大春）说放风
133.特护病房|内|深夜,doc_132_chunk_0,夏洛啊，其实人和人之间挺奇怪的，小的时候我最 爱玩过家家，天天粘着你陪我玩，我当爸爸，你当妈妈，后来长大了，你跟邱雅好了，我才知道原来我是喜欢上你了，再后来啊，你就成大明星了，我也就不敢喜欢你了，就成了你的粉丝了，你别怪我俗，其实你写了那么多歌，我最喜欢的就是当初你唱给邱雅的那首。,病房，马冬梅坐在夏洛旁边，回忆童年往事
46.校园的各个角落|日,doc_45_chunk_0,夏洛！你不说只敢在我面前唱歌吗？你现在怎么脸皮这么厚！你把这首歌送给我！,场景46g：学校全景，马冬梅通过喇叭对夏洛说话。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,你说你怎么找到这来了？也不打个招呼，家里乱。,客厅：马冬梅收拾客厅，回应夏洛的突然来访。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,我可总能见着你，你现在太火了，想看不着你都难，都给我看烦了！哈哈哈~~,客厅：马冬梅抱怨夏洛太火。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,这不是我当年砸那英那块板砖嘛，摆这留个纪念，我现在一听她唱歌就想拍她。,客厅：马冬梅解释柜子上的砖头。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,早就不练了，有一回比赛我不小心把标枪扎裁判身上了，后来就被终身禁赛了。,客厅：马冬梅讲述标枪禁赛经历。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,我现在在体校当队医呢！没事给运动员拔拔罐子。,客厅：马冬梅介绍现在的工作。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_2,吃不惯啊？,在餐桌旁，马冬梅对夏洛询问面的口味。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_2,慢点吃，你胃不好。你还记不记得小时候你带我去 新疆村吃肉串，结果你吃急了，全吐烤馕上了，你知不知道，从那以后我一见披萨我就恶心哪！,夏洛吃面时，马冬梅提醒胃不好并回忆童年事件。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_2,哎呀呀！我是不给你说恶心了？,夏洛吃完面后，马冬梅对夏洛说关于恶心的台词。
44.操场|外|日,doc_43_chunk_0,看见夏洛了吗？,在篮球场，马冬梅与孟特对话，询问夏洛的下落。
44.操场|外|日,doc_43_chunk_0,那看见邱雅了吗？,在篮球场，马冬梅与孟特对话，询问邱雅的下落。
18.豪华酒店|内|日,doc_17_chunk_2,夏洛！,婚礼现场，马冬梅躲在角落喊夏洛，全场凝固。
18.豪华酒店|内|日,doc_17_chunk_2,哎呀，邱雅你结婚我都不知道，你说我穿成这样就来了，恭喜恭喜！恭喜你啊！伯父！,婚礼现场，马冬梅与邱雅寒暄，祝贺婚礼。
64.某KTV门前|外|日,doc_62_chunk_0,停停停停！！！,娱乐城门前，马冬梅对司机说停车
63.街道红墙外|外|日,doc_61_chunk_0,师傅我求你了！你一定要跟上那辆车！,在出租车上，马冬梅要求司机跟上面包车
49.学校自行车棚|外|日,doc_48_chunk_2,邱雅，车坏了吗？我送你回家啊？,车棚：马冬梅对邱雅询问车况并提出送她回家。
49.学校自行车棚|外|日,doc_48_chunk_2,夏洛啊！就你这破车还上这么多把锁呢？谁惜得偷啊？,车棚：马冬梅对夏洛评论自行车锁。
60.校园墙角|外|日,doc_57_chunk_0,装纯真他妈累啊！,墙边，自言自语
60.校园墙角|外|日,doc_57_chunk_0,找我干啥？,墙边，大春误认成邱雅
【大春闪回】 60a.游戏厅|内|日,doc_58_chunk_0,闭嘴！不许侮辱我偶像！,大春唱《倩女幽魂》时，马冬梅制止
【大春闪回】 60a.游戏厅|内|日,doc_58_chunk_0,就你也想追我？癞蛤蟆想吃炖大鹅！,大春逃跑后，马冬梅捡起向日葵
52.灯塔|外|黄昏,doc_51_chunk_0,夏洛你没事吧？,回家路上，马冬梅与夏洛对话
52.灯塔|外|黄昏,doc_51_chunk_0,你是不是喜欢邱雅？,回家路上，马冬梅与夏洛对话
52.灯塔|外|黄昏,doc_51_chunk_0,那你刚才为什么先动手，还护着我？,回家路上，马冬梅与夏洛对话
52.灯塔|外|黄昏,doc_51_chunk_0,行！夏洛，只要你说一句你讨厌我，我就永远都不缠着你了。永远在你面前消失。,回家路上，马冬梅与夏洛对话
52.灯塔|外|黄昏,doc_51_chunk_0,你说吧。,回家路上，马冬梅与夏洛对话
52.灯塔|外|黄昏,doc_51_chunk_0,你说呀。,回家路上，马冬梅与夏洛对话
52.灯塔|外|黄昏,doc_51_chunk_0,我就说你不讨厌我嘛！回家吃饭去了！别跟着我了！,回家路上，马冬梅与夏洛对话
57.学校走廊|内|日,doc_54_chunk_0,看见夏洛没？,走廊：马冬梅询问同学关于夏洛
57.学校走廊|内|日,doc_54_chunk_0,东施是谁？她为什么尿频？,楼梯拐角：马冬梅与邱雅对话中询问东施
62.楼顶天台|外|日,doc_60_chunk_0,我觉得冬梅挺好的呀！,夏洛误认马冬梅为邱雅，马冬梅学邱雅说话。
82.夏洛家|内|夜,doc_79_chunk_0,夏洛，当你看到这封信的时候，姐已经不在这个城市混了，我今天晚上就要走了，去荷兰学体育。好多话想跟你说，但拿起笔又不知道写点什么，好久没见过你了，脑海里时常浮现出你的音容笑貌，祝贺你梦想成真，也不知道以后还有没有机会和你这个大明星一起玩了，勿念。,屋内，夏洛发现标枪信件，马冬梅OS表达告别和去荷兰学体育
67.KTV包房|内|日,doc_65_chunk_0,夏洛快跑！,67b.KTV包房
67.KTV包房|内|日,doc_65_chunk_0,这….这不是那个那姐吗？,67b.KTV包房
67.KTV包房|内|日,doc_65_chunk_0,那姐对不起！你不能因为我打了你就不用夏洛了。夏洛特别有才华。,67b.KTV包房
67.KTV包房|内|日,doc_65_chunk_0,谢谢那姐！你真是大人有大量！其实我最喜欢你了。我最喜欢你那首《祝你平安》。我天天都听。,67b.KTV包房
67.KTV包房|内|日,doc_65_chunk_0,好，我走我走。,67b.KTV包房
67.KTV包房|内|日,doc_65_chunk_0,这块砖头我拿回去留个纪念。,67b.KTV包房
18.豪华酒店|内|日,doc_17_chunk_3,哎呀！对不起！对不起叔叔。,在同学聚会中，冬梅向叔叔道歉。
18.豪华酒店|内|日,doc_17_chunk_3,哎呀，同学们都来了，这都多长时间没见了。,在同学聚会中，冬梅打招呼。
18.豪华酒店|内|日,doc_17_chunk_3,哎呀王老师您也来了，您还活着呢。,在同学聚会中，冬梅对王老师说话。
18.豪华酒店|内|日,doc_17_chunk_3,就不坐了，我还得跟夏洛去给他妈扫墓呢，你说这好日子都赶一天了。,在同学聚会中，冬梅拒绝坐并提到扫墓。
18.豪华酒店|内|日,doc_17_chunk_3,你胃不好，别喝了。要喝咱回家喝，咱家也有酒啊。,在同学聚会中，冬梅劝夏洛别喝酒。
