doc_title,chunk_id,description,scene_context
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_2,"Jack looks down, surprised, to see that",
118、EXT. POND - NIGHT,doc_117_chunk_3,JACK Looks like it's your fear they smell.,
119、EXT. POND - THE MOON,doc_118_chunk_6,"Jack winces, then looks up to North with a smile.",
105、EXT. BUILDING ROOFTOP - NIGHT - CONTINUOUS,doc_104_chunk_0,Jack jumps to an adjacent roof and lets out another blast of ice.,
119、EXT. POND - THE MOON,doc_118_chunk_10,"Jack looks back at Jamie, who seems wistful and worried.",
119、EXT. POND - THE MOON,doc_118_chunk_7,"Jack looks to see several fairies hovering nearby, forming the shape of a heart.",
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_1,"Jack moves to North's side as they look back to Jamie, noticing the concern on his face.",
117、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_116_chunk_2,Jack smiles,"Scene 128: Inside North's workshop, after being compared to items found there."
107、EXT. BUILDING ROOFTOP - NIGHT - CONTINUOUS,doc_106_chunk_0,Jack runs into Pitch as he rounds the corner of a chimney.,"Scene involving confrontation near a chimney, Nightmares present."
101、EXT. STREETS OF BURGESS - MOMENTS LATER,doc_100_chunk_0,Jack comes to a gliding halt on his sled.,Scene: The group arrives at the location where Pitch is standing atop a building.
112、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_111_chunk_2,JACK (STUNNED) Sandy.,
112、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_111_chunk_2,JACK Yeah!,
119、EXT. POND - THE MOON,doc_118_chunk_13,Jack and the Guardians look toward the kids as the sleigh takes off.,Scene involving the sleigh taking off into the sky with the kids and Guardians present.
16、EXT. FROZEN POND,doc_15_chunk_1,Jack flies into frame and lands beside Jamie.,
16、EXT. FROZEN POND,doc_15_chunk_1,Jack calls after the boys...,
17、EXT. JAMIE'S BACKYARD - DAY,doc_16_chunk_0,Jack walks unseen along the top of the fence.,"Outside Jamie's house, as the kids arrive at the fence and Jamie opens a secret plank to enter his yard."
18、EXT. SNOWY HILL,doc_17_chunk_11,"Jack flies over to the far side of the street, sending the streak of ice and Jamie up onto the sidewalk.",Scene on the street involving Jamie Bennett and pedestrians.
18、EXT. SNOWY HILL,doc_17_chunk_13,Jack looks on smiling.,
18、EXT. SNOWY HILL,doc_17_chunk_13,Jack jumps onto the Statue of Thaddeus Burgess.,
17、EXT. JAMIE'S BACKYARD - DAY,doc_16_chunk_1,"Jack hops off the fence and walks amongst the kids, peering over their shoulders as they play in the yard.","Outside Jamie's house, in the yard where children are playing."
119、EXT. POND - THE MOON,doc_118_chunk_11,Jack kneels down to look Jamie in the eye.,
119、EXT. POND - THE MOON,doc_118_chunk_11,Jack stands up and heads toward the sleigh.,
16、EXT. FROZEN POND,doc_15_chunk_0,"Jack flies in, and with the wind behind him skates across an all too familiar pond.","Scene 16: At a pond, Jack arrives and skates across the ice."
15、EXT. BURGESS - DAY,doc_14_chunk_0,"Jack falls through the clouds, smiling, toward the town of Burgess.",
15、EXT. BURGESS - DAY,doc_14_chunk_0,Jack continues on down and zooms through the streets.,
18、EXT. SNOWY HILL,doc_17_chunk_19,Jack is left momentarily shaken,
119、EXT. POND - THE MOON,doc_118_chunk_0,Jack smiles as he looks up at it.,
119、EXT. POND - THE MOON,doc_118_chunk_0,"He hears Tooth's laugh and turns to find North, Tooth, Bunny and Sandy, their faces shining with pride.",
18、EXT. SNOWY HILL,doc_17_chunk_17,As Jack looks down from the statue his frustration grows.,
1、EXT. FROZEN POND - NIGHT,doc_0_chunk_3,Jack floats for a moment only to fall back down to earth and into the trees.,
1、EXT. FROZEN POND - NIGHT,doc_0_chunk_3,Jack grabs hold of a tree branch and pulls himself up to see a small town off in the distance.,
18、EXT. SNOWY HILL,doc_17_chunk_5,Jack hits Cupcake with a magical snowball.,
103、EXT. BUILDING ROOFTOP - NIGHT,doc_102_chunk_0,Jack on the roof.,"On the roof, after a thud is heard."
103、EXT. BUILDING ROOFTOP - NIGHT,doc_102_chunk_0,"Jack quickly sends a streak of frost toward Pitch's Nightmares, disabling a few of them.","On the roof, during confrontation with Pitch and his Nightmares."
112、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS,doc_111_chunk_0,Jack stands his ground as the Guardians advance toward Pitch.,Scene: The Guardians confront Pitch in an alley.
