doc_title,chunk_id,fact,scene_context
11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_10_chunk_5,Crawford authorizes Starling to work on her report outside of class.,Crawford speaking to Starling about her report
147、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_146_chunk_4,Crawford authorizes Clarice Starling to work on the report outside of class.,
11、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_10_chunk_2,Crawford instructs Clarice to complete and file her report by Wednesday.,
147、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_146_chunk_2,Crawford instructs Clarice Starling to complete and file her report by Wednesday.,
164、INT. RENTAL CAR - DAY (DRIVING),doc_163_chunk_0,Crawford instructs Clarice Starling to describe her analysis of the suspect.,"Mountain road, Crawford and Clarice in vehicle."
166、INT. FUNERAL HOME - BACK CORRIDOR - DAY,doc_165_chunk_2,Crawford is in a small office with the sheriff.,"Small office, after Crawford's request for private discussion."
164、INT. RENTAL CAR - DAY (DRIVING),doc_163_chunk_7,Crawford terminates the session with Starling.,Session with Starling
168、EXT. BACK STEPS OF THE FUNERAL HOME - DAY,doc_167_chunk_1,Crawford acknowledges Clarice's point about the significance of his role to other cops.,After Clarice states that other cops look to Crawford for guidance.
147、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_146_chunk_5,Crawford hangs up the phone.,Clarice's phone call with Crawford
147、INT. CRAWFORD'S HOUSE - STUDY - NIGHT,doc_146_chunk_3,Jack Crawford told Chilton that Clarice Starling's conduct was flawless.,Crawford and Clarice discuss Miggs' murder and Chilton's accusation.
188、INT.CLARICE'S DORM ROOM - DOORWAY - DAY,doc_187_chunk_0,the target character proposes to get coffee and talk with Clarice.,"Clarice's door, Clarice expresses fury about Chilton killing someone."
189、EXT. FBI ACADEMY GROUNDS - QUANTICO - DAY,doc_188_chunk_3,Jack Crawford agrees to Clarice's suggestion of obtaining the drawings from Lecter's cell.,
189、EXT. FBI ACADEMY GROUNDS - QUANTICO - DAY,doc_188_chunk_3,"Jack Crawford instructs Clarice to investigate Catherine Martin's apartment, friends, and stalking methods.",
252、INT. SUSPECT'S HOUSE - CALUMET CITY - DAY,doc_251_chunk_0,Crawford is surrounded by several other cops.,Living room
164、INT. RENTAL CAR - DAY (DRIVING),doc_163_chunk_5,Crawford requires Number Four to keep a cool head.,Entering a town with tree-lined streets and mountains in the background.
266、EXT. GROUNDS OF THE FBI ACADEMY - WEEKS LATER - DAY,doc_265_chunk_1,Crawford is present on the platform as a dignitary.,Platform event: Clarice locates Crawford among the dignitaries.
27、INT. BEECHCRAFT PLANE - DAY (FLYING),doc_26_chunk_4,Fredrica Bimmel is the first victim.,
28、INT. RENTAL CAR - DAY (DRIVING),doc_27_chunk_0,Crawford instructs Clarice to describe the killer.,"Winding mountain road, following highway patrol car."
30、INT. FUNERAL HOME - BACK CORRIDOR - DAY,doc_29_chunk_2,Crawford secures the sheriff's agreement to discuss the case privately in a small office.,small office
31、INT. EMBALMING ROOM - DAY,doc_30_chunk_3,Jack Crawford declares the fingerprint transmission process has started and instructs the team to stand by.,"After the door closes, in a room with Dr. Akin and Lamar."
"3、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_2_chunk_0,Crawford has been informed by the instructors that Clarice Starling is in the top quarter of the class.,"Firing range, Crawford and Clarice meet."
32、EXT. BACK STEPS OF THE FUNERAL HOME - DAY,doc_31_chunk_1,Crawford explicitly accepts Clarice's point about the importance of his role to other officers.,
232、INT. BIMMEL PARLOR - DOWNSTAIRS - DAY,doc_231_chunk_0,Crawford states that they know the identity and location of the killer and that they are on their way.,
31、INT. EMBALMING ROOM - DAY,doc_30_chunk_8,Jack Crawford orders the team to get photos of her teeth and fax her fingerprints to Washington to trace her through Missing Persons.,"Clarice comments on a fishing violation, and Crawford directs the team to take dental photos and fax fingerprints."
53、EXT. FBI ACADEMY GROUNDS - QUANTICO - DAY,doc_52_chunk_3,"Crawford instructs Clarice to investigate Catherine Martin's apartment, friends, and how the killer stalked her.",
171、INT. RECREATION ROOM - FBI ACADEMY - DAWN,doc_170_chunk_6,Jack Crawford is present at the kidnap scene (Catherine's apartment).,Kidnap scene at Catherine's apartment (TV news footage)
52、INT.CLARICE'S DORM ROOM - DOORWAY - DAY,doc_51_chunk_0,Jack Crawford proposes to get coffee and talk with Clarice.,Clarice's apartment door: after Clarice's outburst about Chilton
"3、EXT. FBI ACADEMY GROUNDS, QUANTICO, VIRGINIA - DAY",doc_2_chunk_3,Crawford assigns Clarice to go after Dr. Hannibal Lecter at the asylum today.,In a conversation with Clarice
89、INT. FBI BUILDING - OFFICE OF THE DIRECTOR - DAY,doc_88_chunk_2,Crawford does not strike Krendler.,"After Burke's 'THAT'S ENOUGH!', Crawford regains composure."
225、INT. FBI BUILDING - OFFICE OF THE DIRECTOR - DAY,doc_224_chunk_2,Crawford retakes his seat after being at the point of striking Krendler.,
97、INT. FBI TURBOJET - FLYING - DAY,doc_96_chunk_3,Crawford commits to the plan that the team will hit one residence and Chicago SWAT will take the other.,
