doc_title,chunk_id,description,scene_context
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_11,St. Luc simply looks dazed.,
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_10,St. Luc says he sounded fine.,
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_13,St. Luc can't hide his amusement.,
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_15,St. Luc is about to say something,
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_8,St. Luc begins to pace about as he talks.,
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_26,St. Luc just notices for the first time,
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_11,ST. LUC (shaking his head in protest) Did I say anything?,
17、INT. CLINIC RECEPTION AT STARLINER TOWERS -- AFTERNOON,doc_16_chunk_1,St. Luc appears and looks at the list of patients who have signed in.,
27、INT. ST. LUC'S EXAMINATION ROOM -- NIGHT,doc_26_chunk_4,"St. Luc smiles politely, his mind obviously elsewhere.",
35、INT. ST. LUC'S OFFICE -- NIGHT,doc_34_chunk_0,St. Luc sits at his desk and opens Parkins' file.,
20、INT. ST. LUC'S OFFICE -- AFTERNOON,doc_19_chunk_2,"St. Luc keeps staring at Tudor's file, shifts something from one side of the folder to the other.",
20、INT. ST. LUC'S OFFICE -- AFTERNOON,doc_19_chunk_3,St. Luc studies Tudor's file.,"Inside an examination room area, after Forsythe informs him that Mrs. Ementhal is ready."
39、INT. ST. LUC'S OFFICE -- NIGHT,doc_38_chunk_0,St. Luc swivels back to his files.,
12、INT. ANNABELLE'S APARTMENT -- AFTERNOON,doc_11_chunk_3,St. Luc is crouched on the floor examining the chalk outline around where Hobbes's body had lain.,Scene involving the aftermath of a body being removed; detective is present and discussing the situation.
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_21,St. Luc gently shoves all the papers aside.,
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_21,St. Luc asks Rollo how come Hobbes killed himself.,
43、INT. ST. LUC'S OFFICE -- NIGHT,doc_42_chunk_0,St. Luc hangs up.,
20、INT. ST. LUC'S OFFICE -- AFTERNOON,doc_19_chunk_0,St. Luc has a file open before him on his desk.,
20、INT. ST. LUC'S OFFICE -- AFTERNOON,doc_19_chunk_0,St. Luc looks Janine in the eye.,
35、INT. ST. LUC'S OFFICE -- NIGHT,doc_34_chunk_4,"St. Luc in his office, watching Forsythe get undressed and then dressed","Scene involving St. Luc in his office, observing Forsythe"
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_8,St. Luc looks at the picture of a satyr with his tongue hanging out and reads the brief note on how medieval alchemists thought the ground-up tongue of the satyr could cure any disease,
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_24,St. Luc appears a bit uncomfortable being put on the spot.,
13、INT. ROLLO LINSKY'S LABORATORY -- AFTERNOON,doc_12_chunk_24,"St. Luc says Rollo oughta be careful himself, might end up cutting his throat.",
