doc_title,chunk_id,description,scene_context
130、EXT. DESERT - LATER,doc_129_chunk_4,Doc pushes an I.V. needle into Archie's arm and tapes the penicillin sack to Archie's shirt.,
119、EXT. DESERT,doc_118_chunk_0,Doc squeezes a small tube of brown disinfectant gel onto this spot,Treatment of Troy's bullet wound
117、EXT. BUNKER,doc_116_chunk_3,Doc binds the soldier's hands with a plastic cuff.,Near the bunker
11、EXT. DESERT - MOVING HUMVEE - MORNING,doc_10_chunk_2,Doc throws a ball.,
130、EXT. DESERT - LATER,doc_129_chunk_5,Imam and his daughter are helped into a truck by Doc.,Convoy departure
130、EXT. DESERT - LATER,doc_129_chunk_6,waves,Back of a truck with Shiites
117、EXT. BUNKER,doc_116_chunk_0,Doc unleashes the football.,"Group mid-stride, helicopter overhead"
108、INT. FRONT DOOR OF BUNKER - DAY,doc_107_chunk_0,Doc grabs Troy's shoulders firmly.,
116、INT. BUNKER,doc_115_chunk_0,Doc in the middle with the ball,Bolting out the door
114、INT. BUNKER DOORWAY - DAY,doc_113_chunk_0,look terrified,
101、INT. BUNKER,doc_100_chunk_0,Doc goes down the left side of the room -- kicks in a door,"Big main room, empty, dimly lit by emergency lights"
117、EXT. BUNKER,doc_116_chunk_12,Doc looks sad and scared as he tries to turns Vig's head to help him breathe.,Vig's collar bone wound and Doc's attempt to help him breathe
121、EXT. FRONT OF THE BUNKER - LATER,doc_120_chunk_0,"Archie, Troy and Doc stand together watching.","Open trunk of Jaguar, Vig's corpse, group watching"
121、EXT. FRONT OF THE BUNKER - LATER,doc_120_chunk_0,Troy and Doc do a muted version of Vig's Karate arm dance as they look down at his corpse.,"Open trunk of Jaguar, Vig's corpse, group watching"
134、EXT. IRAQI SIDE OF THE BORDER,doc_133_chunk_1,Doc turns and signals to the drivers to come up.,"Border, Iraqi soldiers watching Americans and Shiites."
132、EXT. DESERT - DAY,doc_131_chunk_0,"stare ahead, concerned",Humvee slowing to a halt
102、INT. ANOTHER BUNKER ROOM,doc_101_chunk_0,Doc shoots the lock on the inner door and it finally opens.,"Inside a building, Doc shoots the lock on the inner door."
102、INT. ANOTHER BUNKER ROOM,doc_101_chunk_0,"He looks inside and sees, in a sunken room, 50 more Shiite civilians huddled together.","Inside a building, Doc looks into a sunken room with Shiite civilians."
111、EXT. FRONT DOOR OF BUNKER - DAY,doc_110_chunk_0,"Doc follows with the ball, fuse burning.","Following Archie and Troy as they exit the building, holding a ball with a burning fuse"
111、EXT. FRONT DOOR OF BUNKER - DAY,doc_110_chunk_0,"Doc throws the ball hard at the chopper, hovering 40 feet up.",Throwing the ball at a hovering chopper 40 feet up
108、INT. FRONT DOOR OF BUNKER - DAY,doc_107_chunk_1,Doc listen intently,"at the door, preparing for the fuse countdown"
108、INT. FRONT DOOR OF BUNKER - DAY,doc_107_chunk_1,Doc holds the football,"at the door, preparing for the fuse countdown"
130、EXT. DESERT - LATER,doc_129_chunk_0,watch,Shiite peasants waiting to receive gold
117、EXT. BUNKER,doc_116_chunk_10,Archie and Doc continue to hit him with gunfire.,"During the firefight, after an Iraqi soldier drops."
117、EXT. BUNKER,doc_116_chunk_10,Doc looks around frantically with his pistol pointed.,After Archie orders cover for Troy.
117、EXT. BUNKER,doc_116_chunk_11,"Doc takes Vig from Troy's arms and carefully lays him on the ground, cradling his head in his lap.",
101、INT. BUNKER,doc_100_chunk_1,Doc kicks in a door,"Room cluttered with debris, with another door at the far side."
101、INT. BUNKER,doc_100_chunk_1,"He approaches and kicks it repeatedly, without success.","Room cluttered with debris, with another door at the far side."
134、EXT. IRAQI SIDE OF THE BORDER,doc_133_chunk_0,Doc carries the Little Girl.,"At the border, preparing to cross on foot."
11、EXT. DESERT - MOVING HUMVEE - MORNING,doc_10_chunk_0,DOC Pull.,"Desert, Humvee present"
11、EXT. DESERT - MOVING HUMVEE - MORNING,doc_10_chunk_0,Doc fires the M-16 and blows the ball to pieces.,"Desert, Humvee present"
117、EXT. BUNKER,doc_116_chunk_1,"Troy and Doc look at each other, and punch their fists together.","After helicopter crash, during the aftermath"
117、EXT. BUNKER,doc_116_chunk_1,Troy and Doc take rifles from wounded Iraqis.,"After helicopter crash, during the aftermath"
117、EXT. BUNKER,doc_116_chunk_1,Doc nervously scans the area with his pistol pointed.,"After helicopter crash, during the aftermath"
118、INT. TROY'S RIB CAGE,doc_117_chunk_0,saying something,"Troy's POV, Doc speaking to Troy"
148、INT. CAPTAIN'S TENT - DAY,doc_147_chunk_2,Doc pulls a document from a folder and opens it as he hovers over a table with Troy and Vig.,Table with Troy and Vig
13、EXT. DESERT - LATER,doc_12_chunk_0,"Troy and Doc jump out, pistols drawn, flank the cow","Outside the bunker, during the attack on the cow guard"
13、EXT. DESERT - LATER,doc_12_chunk_0,Troy and Doc stand splattered with cow entrails.,"Outside the bunker, during the attack on the cow guard"
148、INT. CAPTAIN'S TENT - DAY,doc_147_chunk_3,"Doc unfolds a big aerial-photo map of the Iraqi desert, next to the rumpled ass map.",Examining maps of the Iraqi desert.
158、INT. BASEMENT OF BUNKER - DAY,doc_157_chunk_0,Doc lashes an Iraqi's hands behind his back and cuffs him.,
151、EXT. DESERT - MOVING HUMVEE - MORNING,doc_150_chunk_2,Doc throws a ball.,
138、EXT. IRAQI SIDE OF THE BORDER,doc_137_chunk_15,"Troy, Archie, Doc turn to the border and watch.","Border: General Horn boards chopper and departs, Doc turns to watch."
148、INT. CAPTAIN'S TENT - DAY,doc_147_chunk_7,Troy and Doc scramble to put the maps under the table.,"Inside a tent, during confrontation with Archie Gates"
148、INT. CAPTAIN'S TENT - DAY,doc_147_chunk_18,He lifts suitcases from the trunk of a black Mercedes,INT. KENNEDY AIRPORT: Doc (red cap) lifting suitcases
158、INT. BASEMENT OF BUNKER - DAY,doc_157_chunk_1,Doc points his pistol in the Iraqi's face.,
148、INT. CAPTAIN'S TENT - DAY,doc_147_chunk_16,"Troy, Doc, Vig stare at Archie.",
14、EXT. DESERT - DAY - HIGH WIDE SHOT,doc_13_chunk_2,Troy and Doc leap from the Humvee with pistols drawn and their free hands held up in a 'halt' sign.,"Outside Humvee, after Vig's speech to Iraqi guards"
14、EXT. DESERT - DAY - HIGH WIDE SHOT,doc_13_chunk_2,Troy and Doc simply take their machine guns and put the Iraqis face down on the ground.,"Outside Humvee, after Vig's speech to Iraqi guards"
14、EXT. DESERT - DAY - HIGH WIDE SHOT,doc_13_chunk_2,"Troy and Doc pull out plastic twist hand-cuffs, as used in urban riots.","Outside Humvee, after Vig's speech to Iraqi guards"
160、INT - THE CAB OF THE TANKER TRUCK,doc_159_chunk_2,Doc pushes her off the Humvee.,Hospital
157、INT. STAIRWELL - BUNKER,doc_156_chunk_0,followed by Troy and Doc,"Inside the bunker, narrow stairs"
