doc_title,chunk_id,text,scene_context
"110、INT. CLUB ROOM FIRESIDE LOUNGE, CHALET SUITES - EVENING",doc_109_chunk_3,There were quite a few already up there. Almost couldn't find room.,"With sister and Alex, discussing the map of photos."
113、EXT. RYAN'S OLD HIGH SCHOOL - NEXT MORNING,doc_112_chunk_0,Are we really doing this?,"Empty lot, attempting to enter a hotel building with Alex"
1、INT. HOTEL CONFERENCE ROOM - AFTERNOON,doc_0_chunk_1,"Now, I'm going to set your backpack on fire. What do you want to take out of it? Photos? Photos are for people who can't remember. Drink some gingko and let the photos burn. In fact let everything burn and imagine waking up tomorrow with nothing.(a beat of emphasis) It's kind of exhilarating isn't it? That is how I approach every day. A titter through the crowd.",
"115、INT. HALLWAY, WAUPACA HIGH SCHOOL - NEXT MORNING",doc_114_chunk_0,Point guard. Don't act so surprised.,Trophy case: Ryan and Alex discuss basketball.
"108、INT. CORRIDOR, CHALET SUITES - DAY",doc_107_chunk_0,Kara...,Hallway: Ryan greets his sister Kara after a long time.
"108、INT. CORRIDOR, CHALET SUITES - DAY",doc_107_chunk_0,"Alex, this is my sister Kara.",Hallway: Ryan introduces Alex to his sister Kara.
"117、INT. STAIRWELL, WAUPACA HIGH SCHOOL - DAY",doc_116_chunk_0,This is where we used to go to make out.,"Behind the stairwell, Ryan speaks to Alex about past romantic encounters."
"11、INT. LOBBY, PHOENIX HILTON - DAY",doc_10_chunk_0,Do I?,Checkout desk: speaking with checkout girl about Hilton Honors Card
"107、INT. LOBBY, CHALET SUITES HOTEL - DAY",doc_106_chunk_0,Are you available?,Check-in counter: Ryan asks the check-in lady if she is available.
"108、INT. CORRIDOR, CHALET SUITES - DAY",doc_107_chunk_2,"So, the rehearsal dinner?","Corridor of the Chalet Suites, speaking with Kara about the rehearsal dinner"
"111、EXT. DRIVEWAY, CHALET SUITES - NIGHT",doc_110_chunk_0,I don't think that's for sleeping.,"Wedding venue, Ryan responds to Tammy's suggestion of Xanax for Julie's sleep."
"111、EXT. DRIVEWAY, CHALET SUITES - NIGHT",doc_110_chunk_0,You sure?,"Wedding venue, Ryan asks Alex if he is sure about getting the box of flowers."
"103、INT. NORTH TERMINAL, DETROIT AIRPORT - MORNING",doc_102_chunk_0,It's alright. I understand.,Moving walkway: Ryan and Natalie discuss apology and Omaha.
"103、INT. NORTH TERMINAL, DETROIT AIRPORT - MORNING",doc_102_chunk_0,It's fine.,Moving walkway: Ryan and Natalie discuss apology and Omaha.
"103、INT. NORTH TERMINAL, DETROIT AIRPORT - MORNING",doc_102_chunk_0,What do you mean?,Moving walkway: Ryan and Natalie discuss apology and Omaha.
