doc_title,chunk_id,text,scene_context
136、INT. A BOOKLINED STUDY,doc_135_chunk_0,"Well, Dr. Chilton. Shall we begin?","In a room with bound Dr. Chilton, Dr. Lecter initiates a conversation."
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_10,"How many women has he used, our Bill?",Speaking with Clarice about Bill's victims.
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_7,It's much better than your shoes.,"With Clarice, discussing shoes."
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_7,I have no doubt of it.,"With Clarice, discussing shoes."
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_19,Officer Starling... Officer Starling!,Dr. Lecter calls out agitatedly to Officer Starling from behind
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_5,"That expires in one week. You're not real FBI, are you?",Conversation with Clarice Starling about her FBI training status.
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_5,Jack Crawford sent a trainee to me?,Conversation with Clarice Starling about her FBI training status.
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_5,"Mmmmm... That's rather slippery of you, Officer Starling. Sit. Please.",Conversation with Clarice Starling about her FBI training status.
132、INT. DORM HALLWAY - NIGHT,doc_131_chunk_0,"Well, Clarice, have the lambs stopped screaming...?","Rec room, Dr. Lecter asks Clarice about lambs"
132、INT. DORM HALLWAY - NIGHT,doc_131_chunk_0,"Don't bother with a trace, I won't be on long enough.","Rec room, Dr. Lecter tells Clarice not to trace him"
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_4,May I see your credentials?,Dr. Lecter asks Clarice for her credentials.
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_4,"Closer, please... Clo-ser...",Dr. Lecter asks Clarice to come closer after she shows him her ID card.
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_20,I would not have had that happen to you. Discourtesy is - unspeakably ugly to me.,Clarice stands before Dr. Lecter; he comments on her situation and discourtesy.
180、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,doc_179_chunk_0,"Wouldn't you say, Clarice, that for a United States Senator, you're an odd choice of messenger?","At his table, speaking with Clarice about her being an odd messenger for a U.S. Senator."
133、EXT. A CLEAR NIGHT SKY,doc_132_chunk_0,"Where I have a view, Clarice...","Tiled patio, speaking to Clarice on the phone about the stars"
133、EXT. A CLEAR NIGHT SKY,doc_132_chunk_0,"Orion is looking splendid tonight, and Arcturus, the Herdsman, with his flock...","Tiled patio, speaking to Clarice on the phone about the stars"
155、INT. DR. LECTER'S CELL AND CORRIDOR - NIGHT (DIM LIGHT),doc_154_chunk_5,"Who can say...? Best thing for him,","With Clarice, discussing the identity of a killer."
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_9,"No, no, no. You were doing fine, you'd been courteous and receptive to courtesy, you'd established trust with the embarrassing truth aboutMiggs, and now this ham-handed segue into your questionnaire. It won't do. It's stupid and boring.",With Clarice: criticizing questionnaire and truth about Miggs
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_9,"Jack Crawford must be very busy indeed if he's recruiting help from the student body. Busy hunting that new one, Buffalo Bill... Such a naughty boy! Did Crawford send you to ask for my advice on him?",With Clarice: discussing Jack Crawford and Buffalo Bill
155、INT. DR. LECTER'S CELL AND CORRIDOR - NIGHT (DIM LIGHT),doc_154_chunk_12,"Who is he stalking right now, Clarice? I wonder, don't you? How many more young women will have to die, before you trade with me...?",Speaking with Clarice about Buffalo Bill's current stalking and the number of potential deaths of young women.
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_8,"Yes. That's the Duomo, seen from the Belvedere. Do you know Florence?","With Clarice, discussing the drawings and Florence."
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_8,"Memory, Officer Starling, is what I have instead of view.","With Clarice, discussing memory as a substitute for sight."
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_11,All flayed...?,Dr. Lecter speaking with Clarice about the active case.
143、INT. DR. LECTER'S CORRIDOR - DAY,doc_142_chunk_11,Do you know why he's called Buffalo Bill? Tell me. The newspapers won't say.,Dr. Lecter speaking with Clarice about the active case.
180、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,doc_179_chunk_13,"The personality inventories would trip him up. Rorschach, Wechsler, House-Tree-Person... He wouldn't test like a real transsexual.",Session with Clarice: discussing psychological testing for a transsexual
180、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,doc_179_chunk_13,"That's enough, I think. Happy hunting. Oh, and Clarice - next time you will tell me why you ran away. Shall I summarize?",Session ending with Clarice: referencing her past
180、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,doc_179_chunk_8,Killed outright?,"With Clarice, asking about a death."
180、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,doc_179_chunk_7,What's your worst memory of childhood? (she hesitates) Quicker than that. I'm not interested in your worst invention.,Dr. Lecter questioning Clarice about her childhood memory
180、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,doc_179_chunk_7,"Tell me. Don't lie, or I'll know.",Dr. Lecter questioning Clarice about her childhood memory
180、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,doc_179_chunk_2,Big through the hips. Roomy.,With Clarice
180、INT. DR. LECTER'S CELL AND CORRIDOR - DAY,doc_179_chunk_2,Mmm. And what else...,With Clarice
181、INT. MR. GUMB'S CELLAR - DAY,doc_180_chunk_1,Check first the ones rejected for lying about criminal records...,"Cellar, voice over, topic: checking ones rejected for lying about criminal records"
