doc_title,chunk_id,text,scene_context
204、EXT. HELICOPTER. DAY.,doc_203_chunk_0,Yes I am. Can I get a lift?,"Helicopter landing, speaking to the Pilot."
105、INT. CANYON. DAY. REALTIME.,doc_104_chunk_0,No one's coming Aron.,"ARON erases a distress message in despair, speaking to himself"
132、INT. CANYON. DAY.,doc_131_chunk_3,"I have about one hundred and fifty millilitres of water left. That's four ounces. I can't believe it but I peed twice today, within a few minutes of each other. How is this possible? It's two days since I peed, I'm dehydrated and I had to go so quickly I forgot to save the first. I saved the second in the CamelBak. Will I drink it? It smells foul, and hot but it'll","Video: ARON, monologue on water and dehydration"
191、INT. CANYON. DAY.,doc_190_chunk_4,I AM NOT GOING TO DIE.... HERE.,"ARON at a rock, declaring he will not die here"
32、EXT. OUTSIDE THE CAVE. DAY (LATER).,doc_31_chunk_0,"Well, there's not really anyone special.","Afternoon outdoor scene with Kristi and Megan, discussing girlfriends."
32、EXT. OUTSIDE THE CAVE. DAY (LATER).,doc_31_chunk_0,Long story.,"Afternoon outdoor scene with Kristi and Megan, discussing girlfriends."
58、INT. SLOT CANYON. DAY.,doc_57_chunk_0,Yep.,Aron confirms surface solidity after a kick test.
214、INT. ARON'S TRUCK. NIGHT.,doc_213_chunk_1,I'm gonna finish the 49ers this winter or next.,"With RANA, discussing prosthetic arm and climbing plans."
214、INT. ARON'S TRUCK. NIGHT.,doc_213_chunk_1,"Rana, before I did it I was hallucinating, I saw this child, a little blond boy -","With RANA, discussing prosthetic arm and climbing plans."
203、EXT. HORSESHOE CANYON. DAY.,doc_202_chunk_2,I gotta stop and empty my shoes. You'll have to tie my shoe lace.,ARON speaking to Wayne and Erik about needing to stop to empty his shoes.
66、INT. CANYON FLOOR. DAY.,doc_65_chunk_0,"FUCK, get your hand out of there!","ARON stuck with hand, trying to pull it free"
66、INT. CANYON FLOOR. DAY.,doc_65_chunk_0,"SHIT, SHIT, SHIT, SHIT...","ARON stuck with hand, trying to pull it free"
176、INT. STORE ROOM. DAY.,doc_175_chunk_1,"I'm holding on but the canyon. it's really slowing down, And one inside the time is going really the bag slow but my heart rate is blinding","Night in the canyon, speaking to Jon"
183、INT. CANYON. DAY.,doc_182_chunk_0,Out of date. May Day. Not dead.,"ARON at obituary on wall, stating it is out of date and he is not dead."
28、EXT. APPROACH TO BLUE JOHN CANYON. DAY. A VAST ARROYO.,doc_27_chunk_1,I do this a lot.,"In the canyon, ARON responds to MEGAN's question about biking."
