doc_title,chunk_id,text,scene_context
120、EXT. THE STREET - NIGHT (SAME TIME),doc_119_chunk_1,"Oh, you think so? Well, I've got news for you. You've got Dracula's brother-in-law in there and he's got my girlfriend and her kid. Around about midnight tonight, when you're partying uptown, this guy's going to come to life and start doing amateur head transplants. And that's just round one.",
126、INT. OBSERVATION DECK - NIGHT (CONTINUOUS ACTION),doc_125_chunk_0,"Okay, Libby. Let's get it in gear.",Statue of Liberty: Peter Venkman addresses the statue as 'Libby' while preparing to move it.
119、EXT. MUSEUM THEIR POV - BUILDING,doc_118_chunk_6,And pure --,"Discussing a symbol for Ghostbusters, looking at ECTO-2's license plate featuring the Statue of Liberty."
125、INT. STATUE OF LIBERTY - OBSERVATION DECK - MOMENTS LATER,doc_124_chunk_1,"Okay, one, two, three, four --",Venkman counts off before playing music from a Walkman.
147、INT. MUSEUM - STUDIO - NIGHT (CONTINUOUS ACTION),doc_146_chunk_1,"Oh, Johnny. Did you back the wrong horse.","Venkman addresses Johnny as Ghostbusters fire slime-blowers at Janosz, then turn to Vigo."
119、EXT. MUSEUM THEIR POV - BUILDING,doc_118_chunk_4,"Good effort. Now what? Should we say supportive, nurturing things to it, Ray?","Room with slime wall, speaking with Ray Stantz about the slime wall"
107、INT. PARKVIEW PSYCHIATRIC WARD - DAY (SAME TIME),doc_106_chunk_1,What kind of dog?,"In a room with Winston and a patient, Venkman questions the dog breed after patient's claim about dog predicting end of world."
107、INT. PARKVIEW PSYCHIATRIC WARD - DAY (SAME TIME),doc_106_chunk_1,Habitual liars. They can't help it. It's in the breed.,"In a room with Winston and a patient, Venkman comments on the dog breed after patient says 'Labrador'."
107、INT. PARKVIEW PSYCHIATRIC WARD - DAY (SAME TIME),doc_106_chunk_0,It better not start yet. I'm trying to finish my potholder before lunch.,"Dayroom in locked ward: Venkman weaving on hand-loom, speaking about potholder completion before lunch."
104、INT. PARKVIEW PSYCHIATRIC - PADDED ROOM - NIGHT (SAME TIME),doc_103_chunk_1,Don't look at me. I think they're nuts.,"After Winston's account of the slime's effects, the psychiatrist looks at Venkman, who dismisses the story."
134、INT. STATUE OF LIBERTY OBSERVATION DECK - NIGHT (CONTINUOUS),doc_133_chunk_0,"They love you, Lib. Keep it up.","In front of the statue (Lib), after Spengler reports the Giga-meter readings."
149、INT. MUSEUM - GHOSTBUSTERS - NIGHT (AFTER BATTLE),doc_148_chunk_0,"Oh, no. We've got to live with this?","After Ray opens his eyes, Venkman comments on the slime situation."
119、EXT. MUSEUM THEIR POV - BUILDING,doc_118_chunk_0,I hate Jello.,"Main entrance of museum, responding to Stantz's 'giant Jello mold' comment"
15、INT. TV STUDIO - CORRIDOR - DAY (LATER),doc_14_chunk_1,What's all this?,"Down the hall, speaking to Norman about the commotion"
15、INT. TV STUDIO - CORRIDOR - DAY (LATER),doc_14_chunk_1,The Mayor! He's a friend of mine.,"Down the hall, speaking to Norman about the Mayor"
121、EXT. LIBERTY ISLAND (NEW YORK HARBOR) - NIGHT,doc_120_chunk_0,"Kind of makes you wonder, doesn't it?",Near Statue of Liberty; Venkman comments on statue's nudity to Winston and Spengler.
121、EXT. LIBERTY ISLAND (NEW YORK HARBOR) - NIGHT,doc_120_chunk_0,"If she's naked under that toga. She's French, you know.",Near Statue of Liberty; Venkman comments on statue's nudity to Winston and Spengler.
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_6,Your alien had a room in the Holiday Inn?,"With Elaine, discussing an alien's room in the Holiday Inn."
15、INT. TV STUDIO - CORRIDOR - DAY (LATER),doc_14_chunk_0,Where do you find these people? I thought we were having the telekinetic guy who bends the spoons?,Studio exit: arguing with producer Norman about the psychic guest
15、INT. TV STUDIO - CORRIDOR - DAY (LATER),doc_14_chunk_0,"Skeptical! Norman, I'm a pushover. I think professional wrestling is real.",Studio exit: arguing with producer Norman about the psychic guest
147、INT. MUSEUM - STUDIO - NIGHT (CONTINUOUS ACTION),doc_146_chunk_2,The whole city's together on this one. We,"Scene: THE GHOSTBUSTERS, with Stantz, discussing city unity after Vigo's power neutralization."
119、EXT. MUSEUM THEIR POV - BUILDING,doc_118_chunk_1,"Well, better late than never.","Fire Captain mentions Titanic arrival, Venkman responds."
121、EXT. LIBERTY ISLAND (NEW YORK HARBOR) - NIGHT,doc_120_chunk_1,Only one way to find out.,"At the statue, Venkman speaks to Stantz about the job."
121、EXT. LIBERTY ISLAND (NEW YORK HARBOR) - NIGHT,doc_120_chunk_1,"Ready, Teddy?","At the statue, Venkman speaks to Stantz about the job."
129、INT. OBSERVATION DECK - NIGHT (CONTINUOUS ACTION),doc_128_chunk_0,It's okay. I have my Senior Lifesaving card.,"On a boat, responding to Winston's concern about water depth and coldness."
129、INT. OBSERVATION DECK - NIGHT (CONTINUOUS ACTION),doc_128_chunk_0,"Are you kidding? We'll hit all that bridge traffic at 59th. I'm going to take 72nd straight up to Fifth. Trust me, I used to drive a cab.","On a boat, responding to Stantz's route plan."
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_4,"Well, for your sake, I hope you're right. ButI think my other guest may disagree with you.ELaine, you had another date in mind?","Venkman and Elaine in a room, discussing a date"
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_4,"Valentine's Day. That's got to be a bummer.Where did you get that date, Elaine?","Venkman and Elaine in a room, discussing the world ending date"
154、EXT. CENTRAL PARK - NIGHT (LATER),doc_153_chunk_0,She's all right. She's just sleeping it off.,Park behind museum: speaking with Mayor about fallen Statue of Liberty
154、EXT. CENTRAL PARK - NIGHT (LATER),doc_153_chunk_0,"This probably isn't a good time to bring this up, but the last time we did a job for the city you stiffed us.",Park behind museum: speaking with Mayor about past payment issue
149、INT. MUSEUM - GHOSTBUSTERS - NIGHT (AFTER BATTLE),doc_148_chunk_1,"Hey, I just had this suit cleaned. (indicating Janosz) Take care of the wiggler, will you.","After Stantz's slimy hug, Venkman speaks to Janosz about the wiggler"
149、INT. MUSEUM - GHOSTBUSTERS - NIGHT (AFTER BATTLE),doc_148_chunk_1,"What is this -- a love in? (notes the symbols painted on the baby's body) Hey, sailor. I think the tattoos are a little much, don't you?",Venkman comments on the baby's painted symbols to Dana
138、INT. OBSERVATION DECK - NIGHT (CONTINUOUS ACTION),doc_137_chunk_0,She's new in town.,"At a flattened car, Venkman speaks to Stantz."
149、INT. MUSEUM - GHOSTBUSTERS - NIGHT (AFTER BATTLE),doc_148_chunk_2,"Finally came to your senses, huh?",Venkman speaking to Dana after she admits she likes him.
