id,scene,question,answer,evidence,qa_type
1,13、EXT. WAREHOUSE - DUSK,"In [13、EXT. WAREHOUSE - DUSK], What is Vicki's emotional state when men catcall her?",She is annoyed and confrontational.,Vicki flicks them off. The men burst into hysterics.,character states
2,19、INT. POLICE DEPARTMENT,What happens to Walter's photo after the notification page appears?,The photo is moved in on until it fills the frame and then frozen,We MOVE in on the photo of Walter till it fills the frame. FREEZE FRAME,detailed description
3,19、INT. POLICE DEPARTMENT,What is displayed on the computer screen as the fingers type?,Walter's image with typed words forming an Internet notification page,"A computer screen shows Walter's image -- the photo just taken of him against the blue background. Words appear across the screen as they are typed, creating an Internet notification page",detailed description
4,25、INT. WAREHOUSE - DAY,What does Vicki say to Pedro about his actions?,She asks how he would feel if someone did that to his sister.,HOW WOULD YOU FEEL IF SOME FUCKER DID THAT TO YOUR SISTER?!,dialogue/beliefs
5,45、INT. DINER - NIGHT,When does Vicki laugh?,After Walter creates the rabbit hand puppet,The rabbit nods at Vicki. She busts out laughing.,temporal references
6,43、INT. WAREHOUSE BATHROOM - DAY,What does 'damaged goods' refer to in the passage?,A person who is considered unreliable or problematic.,MARY-KAY calls the new man 'damaged goods' to imply he is not trustworthy.,terminology/abbreviation/concept
7,26、INT. WAREHOUSE CAFETERIA - DAY,Why does Bob tell Mary-Kay to mind her own business?,Because she asked about the new guy.,"MARY-KAY So, what'd he do? ... BOB Mind your own business, Mary-Kay.",causal/relational queries
8,38、INT. ROSEN'S OFFICE - DAY,Why does Walter dislike coming to see Rosen?,Because Rosen's cheery personality makes his skin itch.,Your cheery personality makes my skin itch.,causal/relational queries
9,54、INT. ROSEN'S OFFICE - DAY,How does Rosen define 'normal'?,It's whatever society defines it as.,I suppose it's however society defines it.,terminology/abbreviation/concept
10,50、INT. VICKI'S CAR - DAY,"In [50、INT. VICKI'S CAR - DAY], What behavioral state does Vicki exhibit after the cars honk?",Snaps out of her stupor.,She snaps out of her stupor.,character states
11,32、INT. CAR - NIGHT,What does Vicki imply about her own work choice?,She's not like most women,Guess I'm not like most women.,dialogue/beliefs
12,3、INT. LUMBERYARD WAREHOUSE - DAY,How is Walter described in terms of age and physical appearance?,"Early 40s, handsome but hardened by time.","He is WALTER, early forties, features handsome but hardened by time.",detailed description
13,50、INT. VICKI'S CAR - DAY,"In [50、INT. VICKI'S CAR - DAY], What is Vicki's emotional state as she drives?",Crying and emotionally distressed.,Tears stream down her face.,character states
14,44、EXT. WAREHOUSE - LATER,"In [44、EXT. WAREHOUSE - LATER], What is Vicki's current action when she interacts with Walter?",She is hollering to him from her Jeep and waving him over.,Vicki hollers to him from her Jeep. Vicki waves him over.,character states
15,56、INT. WAREHOUSE LOCKER ROOM - DAY,"In [56、INT. WAREHOUSE LOCKER ROOM - DAY], What is Walter's behavioral state as he leaves the room?",Closes his locker loudly and walks brusquely past,"Walter looks at her, closes his locker loudly, and walks brusquely past.",character states
16,34、INT. WALTER'S BEDROOM - NIGHT,Why does Vicki drop her cigarette and slide deeper under the covers?,Because Walter has run out of excuses,Walter has run out of excuses. Vicki drops her cigarette in an empty beer bottle and slides deeper under the covers.,causal/relational queries
17,31、EXT. WAREHOUSE - DUSK,What does Vicki claim about the weather?,It's fucking freezing out here.,VICKI It's fucking freezing out here.,dialogue/beliefs
18,42、INT. WAREHOUSE CAFETERIA - DAY,When does Walter retaliate against Vicki?,After Vicki blows a straw wrapper,"fter a moment, without glancing up, Walter retaliates",temporal references
19,28、INT. WALTER'S APARTMENT - NIGHT,What causes Walter to turn off the TV?,The baseball game ends.,Walter switches off the TV.,causal/relational queries
20,12、INT. WALTER'S APARTMENT - DAY,When do the birds flutter away?,After Walter lifts the blinds,Walter lifts the blinds. The birds flutter away.,temporal references
21,"21、EXT. PHARMACY, STRIP MALL - NIGHT","In [21、EXT. PHARMACY, STRIP MALL - NIGHT], What does Walter do after being cut off by the kids?",He pauses and watches them pass.,"He pauses for them to pass, watches after them momentarily, then proceeds inside.",character states
22,40、INT. BUS - MORNING,What does Walter do after helping the girl who stumbles on the bus?,"Walter watches her for a moment, then looks away and scans the faces of the other passengers, none of whom meet his gaze.","Walter watches her for a moment, then looks away, glancing at the other passengers around him. No one meets his gaze.",character states
23,26、INT. WAREHOUSE CAFETERIA - DAY | 10、INT. LUMBERYARD OFFICE - DAY,What does Bob state when Mary-Kay asks about Walter's past?,Bob tells Mary-Kay to mind her own business.,Mary-Kay asks him what the new guy did. Bob tells her to mind her own business.,character states
24,43、INT. WAREHOUSE BATHROOM - DAY | 25、INT. WAREHOUSE - DAY,How does Mary-Kay react after Vicki insults her?,"Mary-Kay stops smiling, sneers at Vicki, and leaves the restroom without saying anything.","After Vicki compares Mary-Kay's help to a broken sewer pipe, Mary-Kay's smile fades. She stares at Vicki in the mirror, her expression hardening into a sneer. Without speaking, she drops her lipstick into her bag and walks out of the restroom.",character states
25,24、EXT. SCHOOLYARD - DAWN,What happens after Walter reaches the school entrance and touches it?,"The sound of children playing begins to fade in from a distance, a red ball bounces to his feet and then disappears, the children's voices fade out, and the rhythmic squeak of a swing chain replaces the silence.","Walter reaches the school entrance and touches it, marking his count at one hundred and twenty. The sound of children playing begins to fade in from a distance. A red ball bounces across the frost-covered ground and comes to rest at his feet. When he looks down again, the ball is gone. The children's voices fade out as quickly as they appeared. The rhythmic squeak of a swing chain replaces the silence.",temporal references
26,24、EXT. SCHOOLYARD - DAWN,What happens after Walter reaches the school entrance and touches it?,"The sound of children playing begins to fade in, a red ball bounces to his feet, and then the ball disappears while the children's voices fade out.","Walter reaches the school entrance and touches it, marking his count at one hundred and twenty. The sound of children playing begins to fade in from a distance. A red ball bounces across the frost-covered ground and comes to rest at his feet. When he looks down again, the ball is gone. The children's voices fade out as quickly as they appeared.",temporal references
27,33、INT. WALTER'S APARTMENT - NIGHT | 49、INT. WALTER'S BEDROOM - MORNING | 50、INT. VICKI'S CAR - DAY | 32、INT. CAR - NIGHT,What does Walter state about his past criminal offense?,Walter states that he molested little girls and served twelve years in prison for it.,Walter tells Vicki he molested little girls and confirms he served twelve years in prison.,character states
28,29、EXT. WALTER'S APARTMENT - DAY | 24、EXT. SCHOOLYARD - DAWN,What does Walter observe about the man in the Volvo?,"Walter observes that the man in the Volvo is well-dressed, in his twenties, with a solid build, sitting with the engine off and staring intently toward the schoolyard without noticing him.","A man sits inside. The man is in his twenties, well-dressed, with a solid build. He stares down the street toward the schoolyard, his attention fixed. The engine is off. Walter looks at the man as he passes by, then glances in the direction the man is watching. The man remains still and unaware.",character states
29,29、EXT. WALTER'S APARTMENT - DAY | 24、EXT. SCHOOLYARD - DAWN,What does Walter observe about the man in the Volvo?,"Walter observes that the man in the Volvo is well-dressed, in his twenties, and intently watching the schoolyard while sitting in a parked car with the engine off.","A man sits inside [the white Volvo], in his twenties, well-dressed, with a solid build. He stares down the street toward the schoolyard, his attention fixed. The engine is off.",character states
30,31、EXT. WAREHOUSE - DUSK | 35、INT. WALTER'S APARTMENT - MORNING | 37、INT. APARTMENT - DAY,What does Walter state about wanting a ride from Vicki?,"Walter states that he is all right and does not need a ride, though he hesitates and ultimately accepts.","Walter says he's all right, but hesitates and looks down the road, where no bus is in sight. Vicki tells him it's freezing outside and urges him to get in. He opens the door and climbs into the passenger seat.",character states
31,40、INT. BUS - MORNING,What does Walter do after the girl he helps moves down the aisle?,Walter looks at the other passengers to see if anyone noticed the incident.,"Walter watches the girl move down the aisle, then quickly turns away, glancing at the passengers around him. He looks from face to face, but no one seems to be paying attention.",character states
32,24、EXT. SCHOOLYARD - DAWN,What does Walter say when he reaches the school entrance while counting his steps?,He says that the number is one hundred and twenty.,"When he reaches the school entrance, he touches it and says, 'One hundred and twenty.'",character states
33,39、INT./EXT. APARTMENT - DAY | 29、EXT. WALTER'S APARTMENT - DAY | 24、EXT. SCHOOLYARD - DAWN,What does Walter observe about the man near the white Volvo at the school gate?,"Walter observes that the man stands by a white Volvo, eats M&Ms, drops the wrappers on the ground, and speaks to a group of fifth and sixth graders, lingering near those with fair faces and smiling as they respond.","A man stands by a white Volvo, leaning against it as he watches the students. He eats M&Ms, dropping the empty wrappers on the ground. When a group of boys, fifth and sixth graders, passes by, he speaks to them. He lingers near those with fair faces, smiling as they respond.",character states
34,20、INT. OFFICE - NIGHT | 38、INT. ROSEN'S OFFICE - DAY,What does Walter state about his feelings toward attending therapy sessions?,Walter states that he dislikes attending therapy sessions.,Walter admits honestly that he does when Rosen asks if he dislikes coming to the sessions.,character states
35,32、INT. CAR - NIGHT | 31、EXT. WAREHOUSE - DUSK | 33、INT. WALTER'S APARTMENT - NIGHT,What does Walter state about why he rides the bus?,Walter states that people without cars ride the bus.,Walter replies that people without cars do.,character states
36,49、INT. WALTER'S BEDROOM - MORNING | 50、INT. VICKI'S CAR - DAY | 32、INT. CAR - NIGHT,What does Walter state about his past criminal offense?,Walter states that he molested little girls and served twelve years in prison for it.,"He tells Vicki he molested little girls and confirms he served twelve years in prison, adding that he was lucky to have a good lawyer or he might have gotten a much longer sentence.",character states
