doc_title,chunk_id,description,scene_context
1、EXT. RUDY'S - NIGHT,doc_0_chunk_2,Carl hugs her.,
110、INT. LINCOLN AIRPORT,doc_109_chunk_1,Carl looks at the box.,
120、INT. CHRIS PARKER'S OFFICE - DAY,doc_119_chunk_1,Carl shakes Chris's hand.,
107、EXT. LESTER F. LARSEN TRACTOR TEST AND POWER MUSEUM,doc_106_chunk_0,Carl and Renee stand outside.,
11、INT. CARL'S APARTMENT,doc_10_chunk_0,Carl watches Survivor while eating Lean Cuisine.,
117、INT. COFFEE SHOP,doc_116_chunk_0,Carl sits across from Renee.,
109、EXT. ANTELOPE PARK AND SUNKEN GARDENS,doc_108_chunk_0,Carl and Renee walk around a surprisingly pretty city park.,
12、INT. CARL'S LIVING ROOM/BEDROOM,doc_11_chunk_0,Carl lays down and closes his eyes.,
108、EXT. FIELD - MOMENTS LATER,doc_107_chunk_0,Carl takes the wheel.,"Carl and Renee are riding a tractor through a field, going increasingly fast."
104、INT. PLANE,doc_103_chunk_0,"Carl asks, Where's your seat?","On a plane, during a seat switch request from a young woman."
119、INT. SOUTHWEST BANK CORPORATE OFFICES,doc_118_chunk_0,Carl stumbles into the lounge outside Chris's office.,"Lounge outside Chris's office, waiting to meet Chris."
115、INT. JAIL - OUTSIDE THE INTERROGATION ROOM,doc_114_chunk_0,We see Carl freaking out through the one-way mirror behind them as they talk.,"Scene: Behind a one-way mirror, while two cops discuss him."
105、INT. LINCOLN AIRPORT - LATER,doc_104_chunk_0,"Carl points to an advertisement for a telephone museum: ""Come to the Frank H. Woods Telephone Pioneer Museum.""",Carl and Renee are in the airport.
111、INT. AIRPORT - SECURITY,doc_110_chunk_0,Carl walks through security.,
111、INT. AIRPORT - SECURITY,doc_110_chunk_0,He puts the package on the conveyor belt.,
120、INT. CHRIS PARKER'S OFFICE - DAY,doc_119_chunk_0,"Carl walks into Chris's office carrying a cup of coffee a Diet Coke, and a bottle of water.","Scene: Chris's office, beginning of the meeting."
102、INT. AIRPORT - TICKET COUNTER,doc_101_chunk_1,Carl and Renee take the tickets.,
102、INT. AIRPORT - TICKET COUNTER,doc_101_chunk_1,Carl nervously hands the Airline Rep his credit card.,
104、INT. PLANE,doc_103_chunk_1,Carl puts on a saccharin smile and waves back.,Carl is seated between the crying baby and the ENORMOUS MAN; Renee turns and waves to him from a couple rows up.
118、INT. BLOOD BANK,doc_117_chunk_0,Carl's strapped to a giant plasma donation machine.,
118、INT. BLOOD BANK,doc_117_chunk_0,"As he donates plasma, he could not look more depressed.",
124、INT. CHRIS PARKER'S OFFICE,doc_123_chunk_0,Carl's in the middle of a heated discussion with Chris.,
114、INT. JAIL - INTERROGATION ROOM,doc_113_chunk_1,Carl stares at them.,
114、INT. JAIL - INTERROGATION ROOM,doc_113_chunk_1,Carl nods.,
114、INT. JAIL - INTERROGATION ROOM,doc_113_chunk_1,Carl (WEEPING),
127、INT. SOUTHWEST BANK CORPORATE OFFICES,doc_126_chunk_0,Carl runs up the service entrance to the corporate offices.,
