doc_title,chunk_id,description,scene_context
六十二、程宅春黄昏,doc_59_chunk_0,程蝶衣抽着大烟。,
五十二、故宫墙外春夜,doc_49_chunk_0,蝶衣目光呆滞，怀中抱着剑。,
五十六、日军军部春夜,doc_53_chunk_0,程蝶衣正在为日军军官演唱《牡丹亭》,
六十五、科班院内,doc_62_chunk_1,蝶衣不接。,
五十四、戏园 春夜,doc_51_chunk_0,程蝶衣饮酒，扔杯。,舞台，传单洒下
四十、照相馆春日晴,doc_37_chunk_0,蝶衣为晓楼系上扣子。,照相馆内，换装后
六十三、戏园子大街春日阴,doc_60_chunk_0,蝶衣站在戏园子门口。,戏园子门口
六十三、戏园子大街春日阴,doc_60_chunk_0,蝶衣掏出手绢，轻声咳嗽。,戏园子门口
七十、戏园冬日阴,doc_67_chunk_0,蝶衣被晃得睁不开眼。,前台
七十、戏园冬日阴,doc_67_chunk_0,蝶衣向上场门退去，被几个军人堵住，他又向下场门跑去，又被堵住。,前台
六十五、科班院内,doc_62_chunk_3,蝶衣站起来。,
六十五、科班院内,doc_62_chunk_3,段、程二人愣住了。,
六十五、科班院内,doc_62_chunk_3,蝶衣装了袋烟，晓楼擦着火。蝶衣吸一只，递到晓楼嘴边，晓楼深深吸了一口。,
四十四、后台春黄昏,doc_41_chunk_1,程蝶衣的手放下。,化妆间，袁四爷进门
四十四、后台春黄昏,doc_41_chunk_1,蝶衣看着戏园老板。,化妆间，老板展示头面
四十一、照相馆门外春日晴,doc_38_chunk_0,蝶衣走下楼梯,楼梯处，学生们冲过来
八十二、程宅春日,doc_79_chunk_0,程蝶衣痛苦挣扎着。,
四十九、戏园春夜,doc_46_chunk_0,程蝶衣万福致意。,戏园
四十九、戏园春夜,doc_46_chunk_0,蝶衣道万福,戏园
四十九、戏园春夜,doc_46_chunk_0,蝶衣万福致意。,戏园
五十五、程宅春 黄昏,doc_52_chunk_1,蝶衣走出内室，脱下大衣，坐下。,
五十五、程宅春 黄昏,doc_52_chunk_1,蝶衣看着菊仙。,
五十五、程宅春 黄昏,doc_52_chunk_1,程蝶衣擦着水钻头面。,
五十五、程宅春 黄昏,doc_52_chunk_1,蝶衣走过去。,
七十三、监狱春展,doc_70_chunk_0,蝶衣接过信。,
七十三、监狱春展,doc_70_chunk_0,蝶衣看信。,
七十三、监狱春展,doc_70_chunk_0,程蝶衣继续看信。,
七十三、监狱春展,doc_70_chunk_0,蝶衣拼命地抽着大烟。,
七十四、法庭,doc_71_chunk_0,程蝶衣不由自主地抖动了一下。,法庭：晓楼走过程蝶衣背后时
五十、戏园后台,doc_47_chunk_2,蝶衣背身将门打开。,
五十、戏园后台,doc_47_chunk_2,蝶衣走出来，把彩鞋扔在地上。,
七十四、法庭,doc_71_chunk_1,程蝶衣背身听着。,
四十六、后台春 黄昏,doc_43_chunk_0,镜中的蝶衣盯着晓楼。,室内
四十六、后台春 黄昏,doc_43_chunk_0,蝶衣一动不动地盯着晓楼。,室内
四十六、后台春 黄昏,doc_43_chunk_0,蝶衣怒视着晓楼。,室内
四十六、后台春 黄昏,doc_43_chunk_0,蝶衣站起，走到屏风背后。,室内
四十六、后台春 黄昏,doc_43_chunk_0,蝶衣走出来，跪在晓楼身旁。,室内
四十六、后台春 黄昏,doc_43_chunk_0,蝶衣站起来，走到门口。,室内
四十四、后台春黄昏,doc_41_chunk_0,蝶衣为晓楼卸妆。,
四十四、后台春黄昏,doc_41_chunk_0,走到晓楼身旁。,
四十四、后台春黄昏,doc_41_chunk_0,蝶衣的手放在晓楼腰上。,
四十四、后台春黄昏,doc_41_chunk_0,蝶衣看着画外的晓楼。,
四十四、后台春黄昏,doc_41_chunk_0,蝶衣的手放在晓楼腰间。,
七十六、法庭 春 黄昏,doc_73_chunk_0,蝶衣举起手，将红色印泥涂于唇上。,法庭：审判结束
五十五、程宅春 黄昏,doc_52_chunk_0,蝶衣看着一份请帖。,戏园内
五十五、程宅春 黄昏,doc_52_chunk_0,蝶衣拿起一件大褂穿上，又走出内室。,内室
五十五、程宅春 黄昏,doc_52_chunk_0,蝶衣在内室镜前站定。,内室镜前
五十五、程宅春 黄昏,doc_52_chunk_0,蝶衣冷冷的面容。,内室镜中
五十五、程宅春 黄昏,doc_52_chunk_0,蝶衣回头看。,屋内，菊仙闯入后
六十、袁宅春夜,doc_57_chunk_0,蝶衣吃惊地侧目看去,
六十、袁宅春夜,doc_57_chunk_0,蝶衣极其惊悚的脸,
六十、袁宅春夜,doc_57_chunk_0,蝶衣惊悚的脸,
六十、袁宅春夜,doc_57_chunk_0,蝶衣吃惊地看着,
六十、袁宅春夜,doc_57_chunk_0,蝶衣一笑，敲了下银杯,
六十、袁宅春夜,doc_57_chunk_0,蝶衣放下杯子,
六十、袁宅春夜,doc_57_chunk_0,蝶衣端起碗一饮而尽,
六十、袁宅春夜,doc_57_chunk_0,蝶衣已成虞姬相,
六十、袁宅春夜,doc_57_chunk_0,蝶衣在四爷脸上勾出霸王相,
六十、袁宅春夜,doc_57_chunk_0,蝶衣手放下，细细辨认,
六十、袁宅春夜,doc_57_chunk_0,蝶衣一笑,
七十、戏园冬日阴,doc_67_chunk_3,蝶衣站在舞台边缘。,戏园舞台边缘
七十、戏园冬日阴,doc_67_chunk_3,一法警取出手铐铐住蝶衣的双手。,戏园舞台边缘
七十、戏园冬日阴,doc_67_chunk_3,法警押蝶衣走向门口。,戏园舞台边缘
七十四、法庭,doc_71_chunk_2,蝶衣猛回头。,法庭审判中
五十、戏园后台,doc_47_chunk_4,蝶衣坐在椅上,室内
五十、戏园后台,doc_47_chunk_4,蝶衣绝望的面容,室内
五十、戏园后台,doc_47_chunk_4,蝶衣将一件戏衣盖在他们身上,室内
五十、戏园后台,doc_47_chunk_4,蝶衣注视着这对师兄弟,室内
五十、戏园后台,doc_47_chunk_4,蝶衣转身走向门口,室内
