doc_title,chunk_id,text,scene_context
102、EXT. ORCHARDS - DAY,doc_101_chunk_3,His name is Homer Wells...,
11、INT. DELIVERY ROOM - DAY,doc_10_chunk_0,Easier said than done.,
134、INT. BUNKHOUSE - DAY,doc_133_chunk_1,"They're going to replace me, Homer!
The Board of Trustees is looking for
my *replacement*!",
"135、EXT. CIDER HOUSE, ROOF - MORNING",doc_134_chunk_0,Sorry? I'm not 'sorry'! Not for anything I've done. I'm not even sorry that I love you!,
134、INT. BUNKHOUSE - DAY,doc_133_chunk_0,"You know everything I know, plus what you've taught yourself--you're a better doctor then I am and you know it!",
103、INT. ST. CLOUD'S - DINING HALL - EVENING,doc_102_chunk_5,"Anyway, I was just showing you this
guy as an example of what's available--
I didn't think you'd be interested.",
109、INT. DINING HALL - NIGHT,doc_108_chunk_0,Fuzzy? Fuzzy?,"Dining hall: Dr. Larch is alone with Fuzzy, who has stopped breathing, during a private film viewing."
103、INT. ST. CLOUD'S - DINING HALL - EVENING,doc_102_chunk_4,Then I suppose we can look forward to catching various diseases from him!,
103、INT. ST. CLOUD'S - DINING HALL - EVENING,doc_102_chunk_4,I'm not talking about his medical,
128、INT. LARCH'S OFFICE - NIGHT,doc_127_chunk_0,"My dear Homer, I thought you were over your adolescence, that period which I would define as the first time in our lives when we imagine we have something terrible to hide from those who love us.",
15、EXT. ORPHANAGE - EARLY MORNING,doc_14_chunk_0,What could I do with him? He kept coming back!,"Scene: Orphanage entrance at dawn; Larch speaks in voice-over, reflecting on Homer's return, while Homer arrives with a pregnant woman."
12、EXT. COUPLE #3'S HOME - DAY,doc_11_chunk_0,I told the third family to take good care--this was a special boy.,Scene: Voiceover (V.O.) as a third couple welcomes a sixteen-year-old Homer; Larch is not physically present but narrates the scene.
16、INT. LARCH'S OFFICE - DAY,doc_15_chunk_0,"Homer, if you're going to stay at St. Cloud's, I expect you to be of use.","Scene: At St. Cloud's, Larch is speaking to Homer, instructing him about his responsibilities if he stays."
136、INT. DISPENSARY - NIGHT,doc_135_chunk_0,"I think we may have lot him to the
world. He's not coming back.",Scene: Larch is sitting on his ether-bed with a letter from Homer; Angela is standing in the doorway. He expresses concern that Homer is not returning.
103、INT. ST. CLOUD'S - DINING HALL - EVENING,doc_102_chunk_6,I suppose it wouldn't hurt to *meet* him. What's his name again?,
103、INT. ST. CLOUD'S - DINING HALL - EVENING,doc_102_chunk_6,I just hope he won't expect us to say *Grace* all the time.,
103、INT. ST. CLOUD'S - DINING HALL - EVENING,doc_102_chunk_0,and his *pathetic* resume is the best I've seen. Though I find it hard to believe the Board would be interested in this character.,Scene: Around a table with the Board of Trustees; Larch is speaking to the Board members about a candidate's resume.
103、INT. ST. CLOUD'S - DINING HALL - EVENING,doc_102_chunk_3,"Does it *snow* in Bombay? One winter here and we'll be shipping him south, in a *coffin*!","Scene or location not specified: Larch argues with Mrs. Goodhall about the suitability of a man who served in a foreign mission, questioning his ability to endure cold weather."
20、EXT. INCINERATOR - DAY,doc_19_chunk_0,"God forgive me. I have *made* an orphan by loving him too much. Homer Wells will belong to St. Cloud's, forever.","Voice-over during the title sequence; Larch speaks reflectively, expressing guilt and sorrow about Homer Wells's future at St. Cloud's."
1、EXT. ST CLOUD'S - TRAIN STATION - DAWN,doc_0_chunk_0,"In other parts of the world, young men of promise leave home to make their fortunes, battle evil, or solve the problems of the world.",
