doc_title,chunk_id,fact,scene_context
第16场,doc_15_chunk_2,叶问击败了勇哥。,屋内比武场景
第35场,doc_34_chunk_0,叶问二女死于饥僮。,抗战期间
第48场,doc_47_chunk_0,叶问决定不继续踢。,
第29场,doc_28_chunk_0,一九三八年十月佛山沦陷,字幕显示
第50场,doc_49_chunk_0,叶问在香港找到了宫二。,1950年大年夜，香港
第50场,doc_49_chunk_0,叶问在给宫羽田上香。,1950年大年夜，香港
第20场,doc_19_chunk_0,叶问被雄哥拜师。,交手后，雄哥拜师
第3场,doc_2_chunk_0,叶问成为练武之人,拜师场景
第1场,doc_0_chunk_0,叶问击败了最后一个对手。,雨夜围攻场景
第62场,doc_61_chunk_0,叶问在1953年领取了香港沈飞正。,1953年
第62场,doc_61_chunk_0,叶问终生未再踏足佛山。,1960年
第68场,doc_67_chunk_0,叶问传授了无数弟子。,戏剧人之家
第68场,doc_67_chunk_0,咏春拳因叶问而兴盛。,戏剧人之家
第68场,doc_67_chunk_0,咏春拳传遍世界。,戏剧人之家
