doc_title,chunk_id,text,scene_context
28、白家上房（夏）日内,doc_28_chunk_0,大，我把人给你接回来了。,门外，白孝文对白嘉轩说接媳妇回来。
127、白家上房	（冬）	日	内,doc_126_chunk_0,民国 19 年，鹿三杀田小娥，加上肚子里我的娃，还有两口人命哩。,白孝文吃桨水面时，回应白嘉轩的回忆。
15、白鹿祠堂（秋）日内  /  外,doc_15_chunk_3,甭动我！——谁都甭动我！,祠堂内，黄昏，白孝文拒绝黑娃和鹿兆鹏触碰
55、窑洞	（深秋）	暮	外  /	内,doc_54_chunk_1,兆鹏是白鹿原民国小学的校长，鹿校长！,黑娃家，白孝文向田小娥介绍鹿兆鹏。
104、贺家坊村街	（春、夏）	日	外,doc_103_chunk_0,我讨吃四方饭哩 。子霖叔，你真个还把卖壮丁的生意做到贺家塬上头来了，你财发大了。,贺家塬门楼：白孝文被鹿子霖认出，讨论卖壮丁生意。
65、白家后院	（冬）	黎明	外,doc_64_chunk_0,小学里的粮着火了。,在火光中，白孝文对白嘉轩说小学粮着火。
130、祠堂	（冬）	日	内,doc_129_chunk_1,我大看你来了。,祠堂内，白嘉轩在门口，白孝文打招呼。
132、祠堂	（冬）	日	外,doc_131_chunk_0,嫂子，兆鹏的烈士证跟优抚证都批办下来了，今后你就凭征领取津贴，好给屋里买粮添置。,祠堂门外，白孝文对鹿兆鹏媳妇说明烈士证和优抚证已批办。
132、祠堂	（冬）	日	外,doc_131_chunk_0,不兴这个，不兴这个了，握个手就对了。,祠堂门外，白孝文阻止鹿兆鹏媳妇跪谢。
132、祠堂	（冬）	日	外,doc_131_chunk_0,嫂子，你再甭丢兆鹏的人了，都解放了，都新社会了么。你盯盯，连这乡约族规的老碑子上还写着要帮睦亲邻哩么！,祠堂门外，白孝文劝说鹿兆鹏媳妇接受新社会观念。
127、白家上房	（冬）	日	内,doc_126_chunk_3,国民党反动派几百万军队都让我们消灭了，还怕你加三层塔，你可笑不可笑？！,白嘉轩提及塔后，白孝文反驳。
127、白家上房	（冬）	日	内,doc_126_chunk_3,砸门。,白孝文吩咐来人砸门。
127、白家上房	（冬）	日	内,doc_126_chunk_3,两回事，给你说，关的就是黑娃。,白嘉轩提及黑娃后，白孝文澄清。
127、白家上房	（冬）	日	内,doc_126_chunk_1,都让你埋到塔底下去了，这事情，比烙人的鏊子还要恶么。,室内，与白嘉轩对话
127、白家上房	（冬）	日	内,doc_126_chunk_1,哄你？……我把我卖了兵，就是为了哄个你？！,室内，与白嘉轩对话
127、白家上房	（冬）	日	内,doc_126_chunk_1,俺妈怀娃，就是你的种，田小娥怀娃，就是我的种，挨的是你孙子，这是科学，是实事求是的唯物主义，是铁板上的钉子，拔下来也是钉子！,室内，与白嘉轩对话
129、白家上房	（冬）	夜	内,doc_128_chunk_0,是人民政府镇压反革命土匪哩，轮不上我。,深夜，家门，与白嘉轩讨论杀黑娃
129、白家上房	（冬）	夜	内,doc_128_chunk_0,大，你老了，话都给你说不清了，你就安分点，行不。,家门，与白嘉轩讨论安分
60、土地庙	（冬）	黄昏	外,doc_59_chunk_0,我就想把那杨排长一镢头砸死才解恨！,小庙背后，与鹿兆鹏和黑娃对话，主题为对杨排长的仇恨。
33、白孝文新房（夏）夜内,doc_32_chunk_0,药已吃了不少，无用。,家中，白嘉轩与白孝文讨论药效。
33、白孝文新房（夏）夜内,doc_32_chunk_0,这药比牲口都贵，再踢腾下去，我成败家子咧。,家中，白嘉轩与白孝文讨论药效。
55、窑洞	（深秋）	暮	外  /	内,doc_54_chunk_2,这自由恋爱下的人，啥时候才进得了祠堂，才能落下正房的名份？,鹿兆鹏讨论自由恋爱后，白孝文询问进祠堂时机。
126、白鹿原	（冬）	日	外,doc_125_chunk_0,……黑娃？……你！,青塔下，白孝文认出黑娃
126、白鹿原	（冬）	日	外,doc_125_chunk_0,埋的谁呀？,青塔下，白孝文询问塔下埋的人
126、白鹿原	（冬）	日	外,doc_125_chunk_0,谁呀？,青塔下，白孝文追问塔下埋的人
107、白鹿原	（春、夏）	日	外,doc_106_chunk_0,干大！,押送壮丁途中，白孝文向鹿三呼喊。
