doc_title,chunk_id,fact,scene_context
38、医院，夜，内,doc_37_chunk_0,金妍斗是患者。,病房门口
16、楼梯，日，外,doc_15_chunk_0,金妍斗离开了楼梯口。,楼梯口
43、走廊，夜，外,doc_42_chunk_0,金妍斗看到了校长压在成宥利身上。,校长室
31、医院病房，夜，内,doc_30_chunk_0,金妍斗脸上有伤口,医院病房
31、医院病房，夜，内,doc_30_chunk_0,金妍斗是孤儿,医院病房
39、雾津人权维护中心，日，内,doc_38_chunk_0,金妍斗在校长室,校长室
29、洗衣房，日，内,doc_28_chunk_0,金妍斗被润慈爱从洗衣机中拎出。,洗衣房，润慈爱教育金妍斗时
29、洗衣房，日，内,doc_28_chunk_0,金妍斗的脸满是伤痕且被湿透的头发盖住。,洗衣房，润慈爱教育金妍斗时
29、洗衣房，日，内,doc_28_chunk_0,金妍斗晕倒在地。,洗衣房，润慈爱教育金妍斗时
68、法庭，日，内,doc_67_chunk_1,金妍斗要求近距离看一下。,法庭
24、办公室，夜，内,doc_23_chunk_0,金妍斗在同龄学生中较为聪明伶俐。,姜仁浩在工位上查阅资料
71、雾津人权维护中心，夜，外,doc_70_chunk_0,金妍斗不知道发生了什么。,屋内，全民秀与姜仁浩讨论朴宝贤事件时
68、法庭，日，内,doc_67_chunk_3,金妍斗是听力残疾。,法庭测试
68、法庭，日，内,doc_67_chunk_3,金妍斗听到了音乐声。,法庭测试
