doc_title,chunk_id,fact,scene_context
106、INT. PETER RAWLINS' OFFICE -- DAY,doc_105_chunk_3,The target character agrees to receive a new copy of the proposal.,
108、INT. PARIS MORGUE FRONT DESK -- NIGHT,doc_107_chunk_4,Jason Bourne is the first to arrive at the front desk area.,front desk area
123、INT. WOMBOSI'S COMPOUND HALLWAY -- NIGHT,doc_122_chunk_7,Bourne's jacket is left on the floor.,during the shootout
123、INT. WOMBOSI'S COMPOUND HALLWAY -- NIGHT,doc_122_chunk_8,Bourne escapes.,
114、EXT. WOMBOSI COMPOUND -- NIGHT,doc_113_chunk_0,Bourne is alive.,"On a street, bathed in streetlight."
106、INT. PETER RAWLINS' OFFICE -- DAY,doc_105_chunk_2,Bourne explicitly agrees to Rawlins' statement about the job.,
138、INT. LIVE POULTRY SHOP -- DAY,doc_137_chunk_0,Jason Bourne makes it through the gauntlet.,"front door, glass shattering"
142、INT. MARIE'S CAR,doc_141_chunk_1,Jason Bourne successfully passes through the intersection without incident.,Intersection
139、EXT. BELLEVILLE -- STREET -- DAY,doc_138_chunk_0,Bourne is free from the immediate threat.,"Street near Marie's car, during the car chase"
144、EXT. QUAI -- DAY,doc_143_chunk_0,Bourne is leaving a trail of carnage.,Racing up the Seine past the Louvre with police pursuing.
144、EXT. QUAI -- DAY,doc_143_chunk_7,Bourne lands on the metro platform.,Descending a steep staircase and landing on the metro platform
145、INT. METRO CAR -- DAY,doc_144_chunk_5,Jason Bourne takes the gun from Marie.,
109、EXT. PARIS STREET -- NIGHT,doc_108_chunk_2,Bourne instructs Marie to go back to the hotel.,Paris night
144、EXT. QUAI -- DAY,doc_143_chunk_9,Bourne is granted a two-second head start.,Platform chase
12、EXT. FISHING BOAT -- DAY,doc_11_chunk_0,The target character is still bandaged but healing.,on a ship
12、EXT. FISHING BOAT -- DAY,doc_11_chunk_0,The target character is earning his keep.,on a ship
152、EXT. TREADSTONE PARIS -- NIGHT,doc_151_chunk_0,Jason Bourne is positioned directly behind Conklin.,"Quai, after Conklin picks up a pager"
133、EXT. BELLEVILLE -- QUIET STREET -- DAY,doc_132_chunk_1,Bourne is on the offensive.,Street firefight (before police arrival)
158、EXT. MARTHA'S VINEYARD -- DAY,doc_157_chunk_0,Bourne is permitted to rent a scooter without ID.,"Scooter rental shack near the beach, six months later"
137、INT. SMALL AFRICAN SHOP -- DAY,doc_136_chunk_0,Bourne refrains from firing his weapon upon seeing a woman behind the professor.,"Next door, professor kicks open door, Bourne refrains from firing."
20、INT. ZURICH TRAIN STATION -- NIGHT,doc_19_chunk_0,The target character has exactly enough money for one cold slice.,"Terminal, passing a pizza place closing for the night."
144、EXT. QUAI -- DAY,doc_143_chunk_3,Bourne escapes the police roadblock by using a metro staircase.,City streets: police roadblock and metro staircase escape
