doc_title,chunk_id,description,scene_context
119、INT.夜.上海 韩朵朵家 楼道,doc_188_chunk_0,刘培强背着韩朵朵在漆黑的楼道内缓步前行。,楼道内
107、EXT/INT.日.北京 航天中心/镜屋/面试评委室,doc_176_chunk_5,刘培强无法再与其对视，低下头去压抑情绪，心跳却随着550W 的话语继续升高。,
107、EXT/INT.日.北京 航天中心/镜屋/面试评委室,doc_176_chunk_2,刘培强尴尬地配合做咧嘴笑笑的表情。,
107、EXT/INT.日.北京 航天中心/镜屋/面试评委室,doc_176_chunk_2,低头看见袖口露出的租借的西服商标，小心地塞回去。,
112、INT.夜.北京 第一人民医院 病房,doc_181_chunk_0,刘培强靠在沙发床的最边缘，心疼地给朵朵的双腿做按摩，想缓解她的疼痛。,病房内，刘培强为韩朵朵按摩缓解疼痛
97-9、EXT.夜.利伯维尔 UEG 基地 生活区,doc_139_chunk_0,赶紧用身体护住韩朵朵,三楼，气浪袭来
139-3、EXT.无日夜.太空 “领航员”空间站,doc_214_chunk_0,刘培强乘坐火箭上太空，对接舱与“领航员”空间站对接。,太空对接，领航员空间站
172、INT.无日夜.太空 “领航员”空间站 指挥舱,doc_251_chunk_0,刘培强与图恒宇出发,空间站指挥舱，出发准备阶段
139-2、INT.夜.航天员出征大会,doc_213_chunk_0,刘培强在出发大会上敬礼,出发大会，第一部新闻画面
97-15、EXT.夜.利伯维尔 UEG 基地 生活区,doc_145_chunk_0,刘培强掏出一枚“戒指”递给韩朵朵,UEG 基地生活区，庆祝点火成功
132、INT.晨.北京 第一人民医院 病房,doc_201_chunk_0,病床前，陪伴着韩朵朵的刘培强突然收到航天员紧急入列通知。,医院病房
132、INT.晨.北京 第一人民医院 病房,doc_201_chunk_0,刘培强推着韩朵朵也来到窗边，一家三口看着嵌在云层里的半弦月，月的边缘一个亮点闪烁。,医院病房窗边
107、EXT/INT.日.北京 航天中心/镜屋/面试评委室,doc_176_chunk_0,刘培强独自一人坐在房间正中，面带僵硬微笑，眼睛跟随着一台吊在天花板上微微移动中的机器（550W）的摄像头，摄像头闪着微微红光。,北京航天中心，镜面墙单间
97-6、EXT.夜.利伯维尔 UEG 基地 生活区,doc_136_chunk_0,注视着发动机的方向,生活区的围栏边
104、EXT.日.北京 第一人民医院 院落,doc_173_chunk_1,赶紧给朵朵把假发重新戴好。,
104、EXT.日.北京 第一人民医院 院落,doc_173_chunk_1,一把将妻儿搂在怀里。,
12、EXT/INT.日.利伯维尔 机场至UEG 基地沿途/小巴车,doc_24_chunk_0,刘培强则难掩兴奋，四处张望。,小巴车中，从机场前往联合政府[加蓬]联合实验基地的路上
117、EXT/INT.夜.北京 北京至上海沿途 空域/J20C 驾驶舱,doc_186_chunk_0,刘培强坐在驾驶座上,北京行星发动机底部，夜空飞行
117、EXT/INT.夜.北京 北京至上海沿途 空域/J20C 驾驶舱,doc_186_chunk_0,刘培强从未如此轻柔地驾驶过战斗机,北京行星发动机底部，夜空飞行
117、EXT/INT.夜.北京 北京至上海沿途 空域/J20C 驾驶舱,doc_186_chunk_0,刘培强拉杆就是一个滚筒动作,北京行星发动机底部，夜空飞行
121、EXT.夜.上海 韩朵朵家 阳台,doc_190_chunk_0,刘培强反复查看着手机里的航天员入选结果，内容显示依旧在审核中。,阳台，夜晚，讨论航天员入选结果
121、EXT.夜.上海 韩朵朵家 阳台,doc_190_chunk_0,刘培强攥紧手机，低头静默许久。,阳台，夜晚，讨论航天员入选结果
70、 EXT.日.利伯维尔 UEG 基地 太空电梯 安检区,doc_100_chunk_0,刘培强和韩朵朵相互搀扶着往大门外走,太空电梯安检区，冲击波后基地混乱，救援开始。
