doc_title,chunk_id,fact,scene_context
111、INT. ROBERTA'S HOUSE - LIVING ROOM - NIGHT,doc_110_chunk_0,Roberta finds Dorothea's business card in the pocket of a jacket.,
114、INT. CPE 1 AUDITORIUM - THE CONCERT - STAGE - NIGHT,doc_113_chunk_0,Roberta leads the children during a musical performance.,Scene depicting a concert where children perform 'We Shall Overcome'; Roberta is on stage with them.
130、EXT. CPE 1 - DAY (EARLY MORNING),doc_129_chunk_5,Roberta receives the violin from Rachel.,
103、INT. DAN'S CAR - NIGHT,doc_102_chunk_1,Roberta rejects Dan's attempt to kiss her.,
103、INT. DAN'S CAR - NIGHT,doc_102_chunk_1,Roberta expresses uncertainty about being ready to get involved with anyone romantically.,
107、INT. JANET WILLIAMS' OFFICE - CONTINUOUS,doc_106_chunk_1,Roberta's emotional state shifts from fury to grief in the scene.,
107、INT. JANET WILLIAMS' OFFICE - CONTINUOUS,doc_106_chunk_1,Roberta exits the scene after hearing Janet's explanation.,
131、INT. CPE 1 - MUSIC ROOM - A LITTLE LATER,doc_130_chunk_4,Roberta practices in front of her refrigerator in the middle of the night.,
14、INT. JANET'S OFFICE - CONTINUOUS,doc_13_chunk_1,Roberta participates in a violin performance with the kids.,
120、INT. SERIES OF SHOTS - DAY,doc_119_chunk_1,Roberta processes filled-out ticket order forms and checks for Fiddlefest.,
120、INT. SERIES OF SHOTS - DAY,doc_119_chunk_1,Roberta helps prepare return envelopes containing Fiddlefest tickets.,
116、INT. ROBERTA'S BROWNSTONE - NIGHT,doc_115_chunk_6,Roberta selects the newspaper with the article titled 'A VIOLIN TEACHER FIGHTS BACK'.,
116、INT. ROBERTA'S BROWNSTONE - NIGHT,doc_115_chunk_6,A newspaper article features Roberta in a photograph from the Spring Concert.,
124、INT. CPE MUSIC ROOM - DAY,doc_123_chunk_0,Roberta is leading the Fiddlefest kids in practicing Bach's 'Minuet One'.,
124、INT. CPE MUSIC ROOM - DAY,doc_123_chunk_0,Roberta gives directional feedback to the Fiddlefest kids during the music practice.,
154、INT. CARNEGIE HALL - STAGE - MOMENTS LATER,doc_153_chunk_3,Roberta experiences a moment of triumph.,Scene where students and guest violinists bow on stage.
121、INT. MUSIC ROOM - DAY,doc_120_chunk_5,"Roberta recognizes Naeem, De Sean, Guadalupe, and Lucy as her former violin students.",
121、INT. MUSIC ROOM - DAY,doc_120_chunk_5,Roberta has organized a concert in which she has invited her former students to perform alongside her and the current students.,
103、INT. DAN'S CAR - NIGHT,doc_102_chunk_0,Roberta is in possession of a program from a Lincoln Center concert.,Scene: Dan pulls his car up in front of Roberta's house after a concert.
103、INT. DAN'S CAR - NIGHT,doc_102_chunk_0,Roberta acknowledges that her sons placed a personal ad on her behalf.,Scene: Dan pulls his car up in front of Roberta's house after a concert.
119、INT. ARNOLD STEINHARDT AND DOROTHEA'S APARTMENT - NIGHT,doc_118_chunk_0,Roberta has received offers from two private schools.,Scene on TV: Roberta is interviewed and mentions receiving offers from private schools.
