doc_title,chunk_id,description,scene_context
16、INT. MINISTRY OF INFORMATION LOBBY DAY,doc_15_chunk_4,(looking at his watch),
62、INT. JACK'S OFFICE DAY,doc_61_chunk_6,looking at the print-out picture of Jill over Sam's shoulder,
16、INT. MINISTRY OF INFORMATION LOBBY DAY,doc_15_chunk_3,JACK has been talking,
62、INT. JACK'S OFFICE DAY,doc_61_chunk_5,he pulls card from his pocket - pushes it towards Sam,
121、INT. INFORMATION RETRIEVAL ROOM,doc_120_chunk_6,JACK is cut down.,"Room, guards shooting from corridor"
62、INT. JACK'S OFFICE DAY,doc_61_chunk_20,admiring Sam's new look,
62、INT. JACK'S OFFICE DAY,doc_61_chunk_20,he hands Sam another executive package,
16、INT. MINISTRY OF INFORMATION LOBBY DAY,doc_15_chunk_0,on his way out of the building,"Lobby, Sam meets Jack as Jack is exiting"
62、INT. JACK'S OFFICE DAY,doc_61_chunk_15,"JACK comes from behind the screen with a look confirmingjust what SAM fears, and hands him a suit.","Behind screen, handing suit to Sam"
103、INT. LIFT EVENING,doc_102_chunk_0,whispers,
142、EXT. HOUSE AND GARDEN MORNING,doc_141_chunk_0,They both shake their heads.,"Garden scene, two heads appear and shake heads."
62、INT. JACK'S OFFICE DAY,doc_61_chunk_19,JACK presents SAM with something to sign. He then gives him the dossier.,
104、INT. INFORMATION RETRIEVAL LOBBY EVENING,doc_103_chunk_0,JACK and SAM have just emerged from the lift.,Lift exit
62、INT. JACK'S OFFICE DAY,doc_61_chunk_16,(picking up photograph of wife and kids from his desk),
62、INT. JACK'S OFFICE DAY,doc_61_chunk_9,a little heated,
121、INT. INFORMATION RETRIEVAL ROOM,doc_120_chunk_4,"JACK is very close to SAM, he is shaking.",
121、INT. INFORMATION RETRIEVAL ROOM,doc_120_chunk_4,"He lifts up his mask to reveal sweaty face, contorted with fear and anger.",
62、INT. JACK'S OFFICE DAY,doc_61_chunk_7,"goes over to the sink and turns on the taps full blast, splashing the water noisily into the basin","During conversation with Sam, at sink"
62、INT. JACK'S OFFICE DAY,doc_61_chunk_10,annoyed,
62、INT. JACK'S OFFICE DAY,doc_61_chunk_17,baffled,
62、INT. JACK'S OFFICE DAY,doc_61_chunk_17,utterly baffled,
62、INT. JACK'S OFFICE DAY,doc_61_chunk_17,taken aback,
47、INT. MOTHER'S FLAT NIGHT,doc_46_chunk_11,looking past Sam,Mr Helpmann approaches in a wheelchair
62、INT. JACK'S OFFICE DAY,doc_61_chunk_13,turns off taps and goes behind screen.,
102、INT. JACK'S OFFICE CORRIDOR & INFORMATION EVENING,doc_101_chunk_2,(steps into lift),After saying goodbye
47、INT. MOTHER'S FLAT NIGHT,doc_46_chunk_12,"JACK is taken aback, envious and eager to please.",Conversation with Helpmann and Alison
47、INT. MOTHER'S FLAT NIGHT,doc_46_chunk_12,JACK propels his WIFE away.,Conversation with Helpmann and Alison
