doc_title,chunk_id,fact,scene_context
90.大漠哈萨克营队（傍晚/夜）,doc_86_chunk_0,罗小虎在摔跤中被压倒在地上。,哈萨克人夜宴
85.岩洞外(夜),doc_81_chunk_0,罗小虎的声音停止了。,岩洞外，玉娇龙出现后
89.大漠(日),doc_85_chunk_0,罗小虎回复了特别的喊声。,场景45：通过山口时，罗小虎回复喊声。
86.岩洞内(夜),doc_82_chunk_0,罗小虎胸膛被刺伤并流血,场景44：山洞中
86.岩洞内(夜),doc_82_chunk_0,罗小虎将玉娇龙压制在地上,场景44：山洞中
72.玉府玉娇龙房（夜）,doc_68_chunk_0,罗小虎摘掉了蒙面黑纱。,玉娇龙的房间，夜深人静
96B.京城街道（日）,doc_97_chunk_0,罗小虎钻进了庭院的小门道。,场景49
72.玉府玉娇龙房（夜）,doc_68_chunk_2,罗小虎跳窗离开，消失在夜色中。,玉娇龙房间
72.玉府玉娇龙房（夜）,doc_68_chunk_2,罗小虎留下了玉梳。,玉娇龙房间
77.沙漠峭壁(日),doc_73_chunk_0,罗小虎没有随其他盗匪逃走。,
77.沙漠峭壁(日),doc_73_chunk_0,罗小虎持有玉梳子。,
77.沙漠峭壁(日),doc_73_chunk_0,罗小虎自称为‘半天云’。,
