doc_title,chunk_id,description,scene_context
128、INT. HOTEL DE LA PAIX -- LOBBY -- DAY,doc_127_chunk_1,MARIE doesn't need a second warning,
128、INT. HOTEL DE LA PAIX -- LOBBY -- DAY,doc_127_chunk_1,she's grabbing her,
108、INT. PARIS MORGUE FRONT DESK -- NIGHT,doc_107_chunk_1,back by the door,"Morgue freezer room, body search"
108、INT. PARIS MORGUE FRONT DESK -- NIGHT,doc_107_chunk_0,MARIE standing a little off -- she will not be comfortable in the morgue.,"Morgue, Bourne requesting to see body number 121"
140、INT. THE LITTLE RED CAR,doc_139_chunk_0,BOURNE and MARIE looking back nervously,On the street
69、INT. THE RED CAR -- DUSK,doc_68_chunk_3,She's furious.,
69、INT. THE RED CAR -- DUSK,doc_68_chunk_3,"She's downshifting -- she's accelerating -- pulling out to pass the truck on a blind turn, as we --",
145、INT. METRO CAR -- DAY,doc_144_chunk_2,BOURNE and MARIE finally getting a breather,First Metro Car
109、EXT. PARIS STREET -- NIGHT,doc_108_chunk_1,"she's trying to catch up, but he's walking really fast",
131、INT. CHINESE RESTAURANT -- DAY,doc_130_chunk_0,calmly walk out of the bathroom and head towards the front door,"Empty restaurant, walking from bathroom to front door"
129、EXT. HOTEL DE LA PAIX -- COURTYARD -- DAY,doc_128_chunk_1,MARIE takes off running.,Little courtyard chase
109、EXT. PARIS STREET -- NIGHT,doc_108_chunk_0,struggling to keep up,Moments after the morgue
109、EXT. PARIS STREET -- NIGHT,doc_108_chunk_0,he's scaring her,Moments after the morgue
144、EXT. QUAI -- DAY,doc_143_chunk_0,"Marie fires twice, taking out a few windshields.","Car chase on the Seine near the Louvre, with the Professor's car pulling alongside."
149、EXT. STREET/ALLEY NEAR THE PLATFORM -- DAY,doc_148_chunk_0,She turns.,Bourne gives Marie a locker key and tells her to leave.
149、EXT. STREET/ALLEY NEAR THE PLATFORM -- DAY,doc_148_chunk_0,she doesn't move.,Bourne gives Marie a locker key and tells her to leave.
149、EXT. STREET/ALLEY NEAR THE PLATFORM -- DAY,doc_148_chunk_0,She takes it.,Bourne gives Marie a locker key and tells her to leave.
149、EXT. STREET/ALLEY NEAR THE PLATFORM -- DAY,doc_148_chunk_0,Staring at him.,Bourne gives Marie a locker key and tells her to leave.
